Question,Difficulty,Ground Truth SQL,Basic Predicted SQL,Advanced Predicted SQL,EX Basic,EX Advanced
"Consider the average difference between K-12 enrollment and 15-17 enrollment of schools that are locally funded, list the names and DOC type of schools which has a difference above this average.",challenging,"SELECT T2.School, T2.DOC FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.FundingType = 'Locally funded' AND (T1.`Enrollment (K-12)` - T1.`Enrollment (Ages 5-17)`) > (SELECT AVG(T3.`Enrollment (K-12)` - T3.`Enrollment (Ages 5-17)`) FROM frpm AS T3 INNER JOIN schools AS T4 ON T3.CDSCode = T4.CDSCode WHERE T4.FundingType = 'Locally funded')","SELECT s.school_name, s.doc_type FROM schools s JOIN frpm f ON s.cdscode = f.cdscode WHERE s.fundingtype = 'Locally Funded' AND (s.enrollment_k_12 - s.enrollment_ages_5_17) > (     SELECT AVG(enrollment_k_12 - enrollment_ages_5_17)     FROM schools     WHERE fundingtype = 'Locally Funded' )",NULL,0,0
Under whose administration is the school with the highest number of students scoring 1500 or more on the SAT? Indicate their full names.,challenging,"SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmFName2, T2.AdmLName2, T2.AdmFName3, T2.AdmLName3 FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1","SELECT    admfname1,    admlname1,    admfname2,    admlname2,    admfname3,    admlname3  FROM    schools  WHERE    ncesschool IN (     SELECT        ncesschool      FROM        satscores      WHERE        numge1500 = (         SELECT            MAX(numge1500)          FROM            satscores       )   )","SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmEmail1 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode INNER JOIN satscores AS T3 ON T2.CDSCode = T3.CDS WHERE T3.NumGE1500 >= 1500 ORDER BY T1.`Enrollment (K-12)` DESC LIMIT 1",0,0
What is the total number of non-chartered schools in the county of Los Angeles with a percent (%) of eligible free meals for grades 1 through 12 that is less than 0.18%?,challenging,SELECT COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.Charter = 0 AND CAST(T1.`Free Meal Count (K-12)` AS REAL) * 100 / T1.`Enrollment (K-12)` < 0.18,SELECT COUNT(*) AS total_non_chartered_schools FROM frpm f JOIN schools s ON f.cdscode = s.cdscode WHERE s.charter = 0 AND f.county_name = 'Los Angeles' AND (f.`Free Meal Count (K-12)` * 100.0 / f.`Enrollment (K-12)`) < 0.18,NULL,0,0
"Of the schools that offers a magnet program serving a grade span of Kindergarten to 8th grade, how many offers Multiple Provision Types? List the number of cities that offers a Kindergarten to 8th grade span and indicate how many schools are there serving such grade span for each city.",challenging,"SELECT T2.City, COUNT(T2.CDSCode) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T2.GSoffered = 'K-8' AND T1.`NSLP Provision Status` = 'Multiple Provision Types' GROUP BY T2.City","SELECT    COUNT(DISTINCT city) AS num_cities,   city,   COUNT(school) AS num_schools FROM    schools WHERE    magnet = 1 AND   (low_grade = 'K' OR low_grade = '1') AND   (high_grade = '8' OR high_grade = '2') AND   NSLP_Provision_Status = 'Multiple Provision Types' GROUP BY    city","SELECT T2.City, COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T1.lowgrade = 0 AND T1.highgrade = 8 AND T2.soc = 62 AND T2.soctype = 'Intermediate/Middle Schools' AND T1.nslpprovisionstatus = 'Multiple Provision Types' GROUP BY T2.City",0,0
"What are the valid e-mail addresses of the administrator of the school located in the San Bernardino county, City of San Bernardino City Unified that opened between 1/1/2009 to 12/31/2010 whose school types are public Intermediate/Middle Schools and Unified Schools?",challenging,"SELECT T2.AdmEmail1, T2.AdmEmail2 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'San Bernardino' AND T2.City = 'San Bernardino' AND T2.DOC = 54 AND strftime('%Y', T2.OpenDate) BETWEEN '2009' AND '2010' AND T2.SOC = 62","SELECT admemail1, admemail2, admemail3 FROM schools WHERE county = 'San Bernardino' AND city = 'San Bernardino City Unified' AND opendate BETWEEN '2009-01-01' AND '2010-12-31' AND (SOC = 62 OR DOC = 54)",NULL,0,0
"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary?",challenging,"SELECT T1.account_id , ( SELECT MAX(A11) - MIN(A11) FROM district ) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T1.account_id = T3.account_id INNER JOIN client AS T4 ON T3.client_id = T4.client_id WHERE T2.district_id = ( SELECT district_id FROM client WHERE gender = 'F' ORDER BY birth_date ASC LIMIT 1 ) ORDER BY T2.A11 DESC LIMIT 1",SELECT    a.account_id FROM    account a JOIN    disp d ON a.account_id = d.account_id JOIN    client c ON d.client_id = c.client_id JOIN    district d2 ON c.district_id = d2.district_id WHERE    c.gender = 'F' ORDER BY    c.birth_date ASC LIMIT    1,NULL,0,0
"For the branch which located in the south Bohemia with biggest number of inhabitants, what is the percentage of the male clients?",challenging,SELECT CAST(SUM(T1.gender = 'M') AS REAL) * 100 / COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A3 = 'south Bohemia' GROUP BY T2.A4 ORDER BY T2.A4 DESC LIMIT 1,"SELECT    DIVIDE(COUNT(client.client_id), COUNT(DISTINCT client.client_id)) * 100 AS percentage_of_male_clients FROM    client JOIN    district ON client.district_id = district.district_id WHERE    district.a3 = 'south Bohemia'",SELECT (COUNT(T1.client_id) FILTER (WHERE T1.gender = 'M') * 100.0 / COUNT(T1.client_id)) AS PercentageOfMaleClients FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.a3 = 'South Bohemia',0,0
"For the client whose loan was approved first in 1993/7/5, what is the increase rate of his/her account balance from 1993/3/22 to 1998/12/27?",challenging,"SELECT CAST((SUM(IIF(T3.date = '1998-12-27', T3.balance, 0)) - SUM(IIF(T3.date = '1993-03-22', T3.balance, 0))) AS REAL) * 100 / SUM(IIF(T3.date = '1993-03-22', T3.balance, 0)) FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T3.account_id = T2.account_id WHERE T1.date = '1993-07-05'",SELECT (   (     (SELECT balance      FROM trans      WHERE account_id = (        SELECT account_id        FROM loan        WHERE date = '1993/7/5'      ) AND date = '1998/12/27'   ) - (SELECT balance        FROM trans        WHERE account_id = (          SELECT account_id          FROM loan          WHERE date = '1993/7/5'        ) AND date = '1993/3/22'   ) ) / (SELECT balance      FROM trans      WHERE account_id = (        SELECT account_id        FROM loan        WHERE date = '1993/7/5'      ) AND date = '1993/3/22' ) ) * 100 AS increase_rate,SELECT ((SELECT T1.balance FROM trans AS T1 WHERE T1.account_id = (SELECT T2.account_id FROM loan AS T2 WHERE T2.date = '1993/7/5') AND T1.date = '1998/12/27') - (SELECT T3.balance FROM trans AS T3 WHERE T3.account_id = (SELECT T4.account_id FROM loan AS T4 WHERE T4.date = '1993/7/5') AND T3.date = '1993/3/22')) / (SELECT T5.balance FROM trans AS T5 WHERE T5.account_id = (SELECT T6.account_id FROM loan AS T6 WHERE T6.date = '1993/7/5') AND T5.date = '1993/3/22')) * 100 AS IncreaseRate,0,0
"For loans contracts which are still running where client are in debt, list the district of the and the state the percentage unemployment rate increment from year 1995 to 1996.",challenging,SELECT CAST((T3.A13 - T3.A12) AS REAL) * 100 / T3.A12 FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T1.status = 'D',"SELECT      d.district_id,     d.a12 AS unemployment_rate_1995,     d.a13 AS unemployment_rate_2016,     ((d.a13 - d.a12) / d.a12) * 100 AS unemployment_rate_increment_percentage FROM      district d JOIN      loan l ON d.district_id = l.account_id WHERE      l.status = 'D'     AND d.a12 IS NOT NULL     AND d.a13 IS NOT NULL","SELECT T2.district_id, T4.A12, T4.A13 FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN client AS T3 ON T2.district_id = T3.district_id INNER JOIN district AS T4 ON T2.district_id = T4.district_id WHERE T1.status = 'D' AND (CAST(T4.A13 AS REAL) - CAST(T4.A12 AS REAL)) / CAST(T4.A12 AS REAL) * 100",0,0
"Please list the account types that are not eligible for loans, and the average income of residents in the district where the account is located exceeds $8000 but is no more than $9000.",challenging,SELECT T3.type FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T2.account_id = T3.account_id WHERE T3.type != 'OWNER' AND T1.A11 BETWEEN 8000 AND 9000,"SELECT d.a11 AS average_income, acc.type AS account_type FROM district d JOIN account acc ON d.district_id = acc.district_id WHERE d.a11 BETWEEN 8000 AND 9000 AND acc.type != 'OWNER'",SELECT DISTINCT T1.type FROM disp AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE T2.type != 'OWNER' AND T2.district_id IN (SELECT district_id FROM district WHERE a11 * 1000 > 8000 AND a11 * 1000 <= 9000),0,0
