Question,Difficulty,Ground Truth SQL,Basic Predicted SQL,Advanced Predicted SQL,EX Basic,EX Advanced
"Consider the average difference between K-12 enrollment and 15-17 enrollment of schools that are locally funded, list the names and DOC type of schools which has a difference above this average.",challenging,"SELECT T2.School, T2.DOC FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.FundingType = 'Locally funded' AND (T1.`Enrollment (K-12)` - T1.`Enrollment (Ages 5-17)`) > (SELECT AVG(T3.`Enrollment (K-12)` - T3.`Enrollment (Ages 5-17)`) FROM frpm AS T3 INNER JOIN schools AS T4 ON T3.CDSCode = T4.CDSCode WHERE T4.FundingType = 'Locally funded')","SELECT s.school, s.doctype FROM schools AS s JOIN (     SELECT f.cdscode, (f['enrollment (k-12)'] - f['enrollment (ages 5-17)']) AS diff     FROM frpm AS f     WHERE f['educational option type'] = 'Locally Funded' ) AS subquery ON s.cdscode = subquery.cdscode WHERE subquery.diff > (     SELECT AVG(diff)     FROM (         SELECT (f['enrollment (k-12)'] - f['enrollment (ages 5-17)']) AS diff         FROM frpm AS f         WHERE f['educational option type'] = 'Locally Funded'     ) ) ",NULL,0,0
Under whose administration is the school with the highest number of students scoring 1500 or more on the SAT? Indicate their full names.,challenging,"SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmFName2, T2.AdmLName2, T2.AdmFName3, T2.AdmLName3 FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1","SELECT schools.admfname1, schools.admlname1, schools.admfname2, schools.admlname2, schools.admfname3, schools.admlname3 FROM schools JOIN satscores ON schools.cdscode = satscores.cds WHERE satscores.numge1500 = (SELECT MAX(numge1500) FROM satscores)","SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmFName2, T2.AdmLName2, T2.AdmFName3, T2.AdmLName3 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode INNER JOIN satscores AS T3 ON T1.CDSCode = T3.CDSCode WHERE T3.NumGE1500 >= 1500 ORDER BY T1.`Enrollment (K-12)` DESC LIMIT 1",1,0
What is the total number of non-chartered schools in the county of Los Angeles with a percent (%) of eligible free meals for grades 1 through 12 that is less than 0.18%?,challenging,SELECT COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.Charter = 0 AND CAST(T1.`Free Meal Count (K-12)` AS REAL) * 100 / T1.`Enrollment (K-12)` < 0.18,SELECT COUNT(*)  FROM schools  JOIN frpm ON schools.cdscode = frpm.cdscode  WHERE schools.charter = 0  AND frpm.`county name` = 'Los Angeles'  AND frpm.`percent (%) eligible free (k-12)` < 0.18,NULL,0,0
"Of the schools that offers a magnet program serving a grade span of Kindergarten to 8th grade, how many offers Multiple Provision Types? List the number of cities that offers a Kindergarten to 8th grade span and indicate how many schools are there serving such grade span for each city.",challenging,"SELECT T2.City, COUNT(T2.CDSCode) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T2.GSoffered = 'K-8' AND T1.`NSLP Provision Status` = 'Multiple Provision Types' GROUP BY T2.City","SELECT COUNT(DISTINCT s.city) AS NumberOfCities, s.city, COUNT(s.cdscode) AS NumberOfSchools FROM schools AS s JOIN frpm AS f ON s.cdscode = f.cdscode WHERE s.magnet = 1 AND f.low_grade = 'K' AND f.high_grade = '8' AND f.nslp_provision_status = 'Multiple Provision Types' GROUP BY s.city","SELECT T2.City, COUNT(T2.School) FROM schools AS T2 INNER JOIN frpm AS T1 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T1.`Low Grade` <= 'K' AND T1.`High Grade` >= '8' AND T1.`NSLP Provision Status` = 'Multiple Provision Types' GROUP BY T2.City",0,1
"What are the valid e-mail addresses of the administrator of the school located in the San Bernardino county, City of San Bernardino City Unified that opened between 1/1/2009 to 12/31/2010 whose school types are public Intermediate/Middle Schools and Unified Schools?",challenging,"SELECT T2.AdmEmail1, T2.AdmEmail2 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'San Bernardino' AND T2.City = 'San Bernardino' AND T2.DOC = 54 AND strftime('%Y', T2.OpenDate) BETWEEN '2009' AND '2010' AND T2.SOC = 62","SELECT schools.admemail1, schools.admemail2, schools.admemail3 FROM schools JOIN frpm ON schools.cdscode = frpm.cdscode WHERE frpm.county_name = 'San Bernardino' AND schools.city = 'San Bernardino City Unified' AND schools.opendate BETWEEN '2009-01-01' AND '2010-12-31' AND (schools.doc = '54' OR schools.soc = '62') AND schools.admemail1 IS NOT NULL OR schools.admemail2 IS NOT NULL OR schools.admemail3 IS NOT NULL",NULL,0,0
"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary?",challenging,"SELECT T1.account_id , ( SELECT MAX(A11) - MIN(A11) FROM district ) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T1.account_id = T3.account_id INNER JOIN client AS T4 ON T3.client_id = T4.client_id WHERE T2.district_id = ( SELECT district_id FROM client WHERE gender = 'F' ORDER BY birth_date ASC LIMIT 1 ) ORDER BY T2.A11 DESC LIMIT 1","SELECT a.account_id, b.a11 as average_salary, (SELECT MAX(a11) FROM district) - b.a11 as gap FROM account a JOIN disp d ON a.account_id = d.account_id JOIN client c ON d.client_id = c.client_id JOIN district b ON c.district_id = b.district_id WHERE c.gender = 'F' ORDER BY c.birth_date ASC LIMIT 1",SELECT T1.account_id FROM account AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T2.gender = 'F' AND T2.birth_date = (SELECT MAX(T3.birth_date) FROM client AS T3 WHERE T3.gender = 'F') AND T1.a11 = (SELECT MIN(T4.a11) FROM account AS T4 INNER JOIN client AS T5 ON T4.district_id = T5.district_id WHERE T5.gender = 'F' AND T5.birth_date = (SELECT MAX(T6.birth_date) FROM client AS T6 WHERE T6.gender = 'F')),0,0
"For the branch which located in the south Bohemia with biggest number of inhabitants, what is the percentage of the male clients?",challenging,SELECT CAST(SUM(T1.gender = 'M') AS REAL) * 100 / COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A3 = 'south Bohemia' GROUP BY T2.A4 ORDER BY T2.A4 DESC LIMIT 1,SELECT    (SELECT      (COUNT(client.client_id) * 100.0) / (SELECT COUNT(*) FROM client)   FROM      client   INNER JOIN      disp    ON      client.client_id = disp.client_id   INNER JOIN      account    ON      disp.account_id = account.account_id   INNER JOIN      district    ON      account.district_id = district.district_id   WHERE      client.gender = 'M' AND district.a3 = 'south Bohemia'   ) AS male_clients_percentage,SELECT (SELECT COUNT(*) FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id WHERE T1.gender = 'M' AND T3.district_id = T2.account_id) / (SELECT COUNT(*) FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id WHERE T3.district_id = T2.account_id) * 100 AS Percentage FROM district AS T3 ORDER BY T3.a4 DESC LIMIT 1,0,0
"For the client whose loan was approved first in 1993/7/5, what is the increase rate of his/her account balance from 1993/3/22 to 1998/12/27?",challenging,"SELECT CAST((SUM(IIF(T3.date = '1998-12-27', T3.balance, 0)) - SUM(IIF(T3.date = '1993-03-22', T3.balance, 0))) AS REAL) * 100 / SUM(IIF(T3.date = '1993-03-22', T3.balance, 0)) FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T3.account_id = T2.account_id WHERE T1.date = '1993-07-05'",SELECT    (((SELECT balance FROM trans WHERE account_id = (SELECT account_id FROM loan WHERE status = 'A' AND date = '1993/7/5' LIMIT 1) AND date = '1993/3/22' LIMIT 1)    -    (SELECT balance FROM trans WHERE account_id = (SELECT account_id FROM loan WHERE status = 'A' AND date = '1993/7/5' LIMIT 1) AND date = '1998/12/27' LIMIT 1))    /    ((SELECT balance FROM trans WHERE account_id = (SELECT account_id FROM loan WHERE status = 'A' AND date = '1993/7/5' LIMIT 1) AND date = '1993/3/22' LIMIT 1))    * 100) AS balance_increase_rate,"SELECT (T2.balance - T1.balance) / T1.balance * 100 AS IncreaseRate FROM (SELECT T.balance FROM trans AS T WHERE T.account_id = (SELECT D.account_id FROM disp AS D INNER JOIN client AS C ON D.client_id = C.client_id WHERE C.birth_date = '1993-07-05' LIMIT 1) AND T.date = '1993-03-22') AS T1, (SELECT T.balance FROM trans AS T WHERE T.account_id = (SELECT D.account_id FROM disp AS D INNER JOIN client AS C ON D.client_id = C.client_id WHERE C.birth_date = '1993-07-05' LIMIT 1) AND T.date = '1998-12-27') AS T2",0,0
"For loans contracts which are still running where client are in debt, list the district of the and the state the percentage unemployment rate increment from year 1995 to 1996.",challenging,SELECT CAST((T3.A13 - T3.A12) AS REAL) * 100 / T3.A12 FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T1.status = 'D',"SELECT d.a2 AS District_Name,         (((d.a13 - d.a12) / d.a12) * 100) AS Unemployment_Increment_Rate FROM loan AS l JOIN account AS a ON l.account_id = a.account_id JOIN district AS d ON a.district_id = d.district_id WHERE l.status = 'D' GROUP BY a.district_id","SELECT T2.a5, ((T2.a13 - T2.a12) / T2.a12) * 100 as UnemploymentIncrement FROM loan AS T1 INNER JOIN district AS T2 ON T1.account_id = T2.district_id WHERE T1.status = 'D'",0,0
"Please list the account types that are not eligible for loans, and the average income of residents in the district where the account is located exceeds $8000 but is no more than $9000.",challenging,SELECT T3.type FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T2.account_id = T3.account_id WHERE T3.type != 'OWNER' AND T1.A11 BETWEEN 8000 AND 9000,SELECT DISTINCT disp.type  FROM disp  INNER JOIN account ON disp.account_id = account.account_id  INNER JOIN district ON account.district_id = district.district_id  WHERE district.a11 > 8000 AND district.a11 <= 9000 AND disp.type != 'OWNER',SELECT DISTINCT T1.type FROM account AS T1 LEFT JOIN loan AS T2 ON T1.account_id = T2.account_id WHERE T2.account_id IS NULL AND T1.district_id IN (SELECT T3.district_id FROM district AS T3 WHERE T3.a11 > 8000 AND T3.a11 <= 9000),1,0
