Question,Difficulty,Ground Truth SQL,Basic Predicted SQL,Advanced Predicted SQL,EX Basic,EX Advanced
"Consider the average difference between K-12 enrollment and 15-17 enrollment of schools that are locally funded, list the names and DOC type of schools which has a difference above this average.",challenging,"SELECT T2.School, T2.DOC FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.FundingType = 'Locally funded' AND (T1.`Enrollment (K-12)` - T1.`Enrollment (Ages 5-17)`) > (SELECT AVG(T3.`Enrollment (K-12)` - T3.`Enrollment (Ages 5-17)`) FROM frpm AS T3 INNER JOIN schools AS T4 ON T3.CDSCode = T4.CDSCode WHERE T4.FundingType = 'Locally funded')","SELECT schools.school, schools.doc FROM schools JOIN frpm ON schools.cdscode = frpm.cdscode WHERE schools.fundingtype = 'Local' AND (frpm.enrollment (k-12) - frpm.enrollment (ages 5-17)) > (   SELECT AVG(frpm.enrollment (k-12) - frpm.enrollment (ages 5-17))   FROM frpm   JOIN schools ON frpm.cdscode = schools.cdscode   WHERE schools.fundingtype = 'Local' ) ORDER BY schools.school","SELECT T2.School, T2.DOC FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.FundingType = 'Locally funded' AND (T1.`Enrollment (K-12)` - T1.`Enrollment (Ages 5-17)`) > (SELECT AVG(T3.`Enrollment (K-12)` - T3.`Enrollment (Ages 5-17)`) FROM frpm AS T3 INNER JOIN schools AS T4 ON T3.CDSCode = T4.CDSCode WHERE T4.FundingType = 'Locally funded')",0,1
Under whose administration is the school with the highest number of students scoring 1500 or more on the SAT? Indicate their full names.,challenging,"SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmFName2, T2.AdmLName2, T2.AdmFName3, T2.AdmLName3 FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1",NULL,"SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmFName2, T2.AdmLName2, T2.AdmFName3, T2.AdmLName3 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode INNER JOIN satscores AS T3 ON T1.CDSCode = T3.CDS WHERE T3.NumGE1500 >= 1500 ORDER BY T1.`Enrollment (K-12)` DESC LIMIT 1",0,0
What is the total number of non-chartered schools in the county of Los Angeles with a percent (%) of eligible free meals for grades 1 through 12 that is less than 0.18%?,challenging,SELECT COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.Charter = 0 AND CAST(T1.`Free Meal Count (K-12)` AS REAL) * 100 / T1.`Enrollment (K-12)` < 0.18,SELECT COUNT(*) FROM schools WHERE county = 'Los Angeles' AND percent_eligible_free_meals_k_12 < 0.18 AND charter = 0,SELECT COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.Charter = 0 AND CAST(T1.`Free Meal Count (K-12)` AS REAL) * 100 / T1.`Enrollment (K-12)` < 0.18,0,1
"Of the schools that offers a magnet program serving a grade span of Kindergarten to 8th grade, how many offers Multiple Provision Types? List the number of cities that offers a Kindergarten to 8th grade span and indicate how many schools are there serving such grade span for each city.",challenging,"SELECT T2.City, COUNT(T2.CDSCode) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T2.GSoffered = 'K-8' AND T1.`NSLP Provision Status` = 'Multiple Provision Types' GROUP BY T2.City","SELECT COUNT(DISTINCT city) AS num_cities,        SUM(CASE WHEN gsserved LIKE '%K%' AND gsserved LIKE '%8%' THEN 1 ELSE 0 END) AS num_schools FROM schools WHERE Magnet = 1 AND gsserved LIKE '%K%' AND gsserved LIKE '%8%' GROUP BY city","SELECT T2.City, COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T2.GSServed = 'K-8' AND T1.`NSLP Provision Status` = 'Multiple Provision Types' GROUP BY T2.City",0,1
"What are the valid e-mail addresses of the administrator of the school located in the San Bernardino county, City of San Bernardino City Unified that opened between 1/1/2009 to 12/31/2010 whose school types are public Intermediate/Middle Schools and Unified Schools?",challenging,"SELECT T2.AdmEmail1, T2.AdmEmail2 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'San Bernardino' AND T2.City = 'San Bernardino' AND T2.DOC = 54 AND strftime('%Y', T2.OpenDate) BETWEEN '2009' AND '2010' AND T2.SOC = 62","SELECT admfname1, admlname1, admemail1, admfname2, admlname2, admemail2, admfname3, admlname3, admemail3 FROM schools WHERE county = 'San Bernardino' AND city = 'City of San Bernardino City Unified' AND opendate BETWEEN '2009-01-01' AND '2010-12-31' AND (soc = '62' OR doc = '54') AND admfname1 IS NOT NULL AND admlname1 IS NOT NULL AND admemail1 IS NOT NULL AND admfname2 IS NOT NULL AND admlname2 IS NOT NULL AND admemail2 IS NOT NULL AND admfname3 IS NOT NULL AND admlname3 IS NOT NULL AND admemail3 IS NOT NULL","SELECT T2.AdmEmail1, T2.AdmEmail2 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'San Bernardino' AND T2.City = 'San Bernardino' AND T2.DOC = 54 AND strftime('%Y', T2.OpenDate) BETWEEN '2009' AND '2010' AND T2.SOC = 62",0,1
"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary?",challenging,"SELECT T1.account_id , ( SELECT MAX(A11) - MIN(A11) FROM district ) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T1.account_id = T3.account_id INNER JOIN client AS T4 ON T3.client_id = T4.client_id WHERE T2.district_id = ( SELECT district_id FROM client WHERE gender = 'F' ORDER BY birth_date ASC LIMIT 1 ) ORDER BY T2.A11 DESC LIMIT 1",SELECT account_id FROM account WHERE client_id IN (   SELECT client_id   FROM client   WHERE gender = 'F' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM district   WHERE a11 = (     SELECT MIN(a11)     FROM district   ) ) AND client_id IN (   SELECT client_id   FROM district   WHERE a11 = (     SELECT MAX(a11)     FROM district   ) ) AND client_id IN (   SELECT client_id   FROM client   WHERE birth_date = (     SELECT MIN(birth_date)     FROM client   ) ) AND client_id IN (   SELECT client_id   FROM client   WHERE birth_date = (     SELECT MAX(birth_date)     FROM client   ) ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   FROM disp   WHERE type = 'OWNER' ) AND client_id IN (   SELECT client_id   ,"SELECT T1.account_id, T2.a11, T2.a11 - (SELECT MAX(T3.a11) FROM district AS T3) AS Gap FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' AND T1.birth_date = (SELECT MIN(T4.birth_date) FROM client AS T4) ORDER BY T2.a11 ASC",0,0
"For the branch which located in the south Bohemia with biggest number of inhabitants, what is the percentage of the male clients?",challenging,SELECT CAST(SUM(T1.gender = 'M') AS REAL) * 100 / COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A3 = 'south Bohemia' GROUP BY T2.A4 ORDER BY T2.A4 DESC LIMIT 1,NULL,"SELECT DIVIDE(COUNT(T2.client_id), COUNT(T1.client_id)) * 100 FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.a3 = 'South Bohemia' AND T2.a4 = (SELECT MAX(T3.a4) FROM district AS T3 WHERE T3.a3 = 'South Bohemia')",0,0
"For the client whose loan was approved first in 1993/7/5, what is the increase rate of his/her account balance from 1993/3/22 to 1998/12/27?",challenging,"SELECT CAST((SUM(IIF(T3.date = '1998-12-27', T3.balance, 0)) - SUM(IIF(T3.date = '1993-03-22', T3.balance, 0))) AS REAL) * 100 / SUM(IIF(T3.date = '1993-03-22', T3.balance, 0)) FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T3.account_id = T2.account_id WHERE T1.date = '1993-07-05'",SELECT (     (         (             SELECT balance             FROM trans             WHERE account_id = (                     SELECT account_id                     FROM loan                     WHERE status = 'A'                         AND date = '1993-07-05'                     LIMIT 1                 )                 AND date = '1993-03-22'         ) - (             SELECT balance             FROM trans             WHERE account_id = (                     SELECT account_id                     FROM loan                     WHERE status = 'A'                         AND date = '1993-07-05'                     LIMIT 1                 )                 AND date = '1998-12-27'         )     ) / (         SELECT balance         FROM trans         WHERE account_id = (                 SELECT account_id                 FROM loan                 WHERE status = 'A'                     AND date = '1993-07-05'                 LIMIT 1             )             AND date = '1998-12-27'     ) ) * 100 AS increase_rate,SELECT (T1.balance - T2.balance) / T2.balance * 100 FROM trans AS T1 INNER JOIN trans AS T2 ON T1.account_id = T2.account_id WHERE T1.date = '1993-07-05' AND T2.date = '1993-03-22' AND T1.account_id = (SELECT T3.account_id FROM loan AS T3 WHERE T3.status = 'A' AND T3.date = '1993-07-05' ORDER BY T3.date LIMIT 1),0,0
"For loans contracts which are still running where client are in debt, list the district of the and the state the percentage unemployment rate increment from year 1995 to 1996.",challenging,SELECT CAST((T3.A13 - T3.A12) AS REAL) * 100 / T3.A12 FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T1.status = 'D',"SELECT d.a3 AS district, d.a2 AS state, (d.a13 - d.a12) / d.a12 * 100 AS unemployment_rate_increment FROM loan l JOIN account a ON l.account_id = a.account_id JOIN client c ON a.account_id = c.client_id JOIN disp d ON c.client_id = d.client_id WHERE l.status = 'D' AND l.date >= '1995-01-01' AND l.date < '1996-01-01' ORDER BY unemployment_rate_increment DESC","SELECT T1.A2, T1.A3, (T1.A13 - T1.A12) / T1.A12 * 100 AS UnemploymentIncrementRate FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T2.client_id = T3.client_id INNER JOIN account AS T4 ON T3.account_id = T4.account_id INNER JOIN loan AS T5 ON T4.account_id = T5.account_id WHERE T5.status = 'D'",0,0
"Please list the account types that are not eligible for loans, and the average income of residents in the district where the account is located exceeds $8000 but is no more than $9000.",challenging,SELECT T3.type FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T2.account_id = T3.account_id WHERE T3.type != 'OWNER' AND T1.A11 BETWEEN 8000 AND 9000,SELECT DISTINCT d.type FROM disp d JOIN account a ON d.account_id = a.account_id JOIN district dis ON a.district_id = dis.district_id WHERE d.type != 'OWNER' AND dis.a11 > 8000 AND dis.a11 <= 9000,"SELECT T1.type, T2.a11 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.type != 'OWNER' AND T2.a11 > 8000 AND T2.a11 <= 9000",1,0
