Question,Difficulty,Ground Truth SQL,Basic Predicted SQL,Advanced Predicted SQL,EX Basic,EX Advanced
"Consider the average difference between K-12 enrollment and 15-17 enrollment of schools that are locally funded, list the names and DOC type of schools which has a difference above this average.",challenging,"SELECT T2.School, T2.DOC FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.FundingType = 'Locally funded' AND (T1.`Enrollment (K-12)` - T1.`Enrollment (Ages 5-17)`) > (SELECT AVG(T3.`Enrollment (K-12)` - T3.`Enrollment (Ages 5-17)`) FROM frpm AS T3 INNER JOIN schools AS T4 ON T3.CDSCode = T4.CDSCode WHERE T4.FundingType = 'Locally funded')",NULL,"SELECT T2.School, T2.DOC FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.FundingType = 'Locally funded' AND (T1.`Enrollment (K-12)` - T1.`Enrollment (Ages 5-17)`) > (SELECT AVG(T3.`Enrollment (K-12)` - T3.`Enrollment (Ages 5-17)`) FROM frpm AS T3 INNER JOIN schools AS T4 ON T3.CDSCode = T4.CDSCode WHERE T4.FundingType = 'Locally funded')",0,1
Under whose administration is the school with the highest number of students scoring 1500 or more on the SAT? Indicate their full names.,challenging,"SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmFName2, T2.AdmLName2, T2.AdmFName3, T2.AdmLName3 FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1",NULL,"SELECT T2.admfname1, T2.admlname1, T2.admfname2, T2.admlname2, T2.admfname3, T2.admlname3 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.cdscode = T2.cdscode WHERE T1.numtsttakr = (SELECT MAX(numtsttakr) FROM frpm) AND T1.numge1500 = (SELECT MAX(numge1500) FROM frpm)",0,0
What is the total number of non-chartered schools in the county of Los Angeles with a percent (%) of eligible free meals for grades 1 through 12 that is less than 0.18%?,challenging,SELECT COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.Charter = 0 AND CAST(T1.`Free Meal Count (K-12)` AS REAL) * 100 / T1.`Enrollment (K-12)` < 0.18,SELECT COUNT(*) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.cdscode = T2.cdscode WHERE T2.county = 'Los Angeles' AND T2.charter = 0 AND (T1.`Free Meal Count (K-12)` * 100 / T1.`Enrollment (K-12)`) < 0.18,SELECT COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.Charter = 0 AND CAST(T1.`Free Meal Count (K-12)` AS REAL) * 100 / T1.`Enrollment (K-12)` < 0.18,1,1
"Of the schools that offers a magnet program serving a grade span of Kindergarten to 8th grade, how many offers Multiple Provision Types? List the number of cities that offers a Kindergarten to 8th grade span and indicate how many schools are there serving such grade span for each city.",challenging,"SELECT T2.City, COUNT(T2.CDSCode) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T2.GSoffered = 'K-8' AND T1.`NSLP Provision Status` = 'Multiple Provision Types' GROUP BY T2.City",NULL,NULL,0,0
"What are the valid e-mail addresses of the administrator of the school located in the San Bernardino county, City of San Bernardino City Unified that opened between 1/1/2009 to 12/31/2010 whose school types are public Intermediate/Middle Schools and Unified Schools?",challenging,"SELECT T2.AdmEmail1, T2.AdmEmail2 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'San Bernardino' AND T2.City = 'San Bernardino' AND T2.DOC = 54 AND strftime('%Y', T2.OpenDate) BETWEEN '2009' AND '2010' AND T2.SOC = 62","SELECT DISTINCT T1.admemail1, T1.admemail2, T1.admemail3 FROM schools AS T1 WHERE T1.county = 'San Bernardino' AND T1.city = 'San Bernardino' AND T1.opendate BETWEEN '2009-01-01' AND '2010-12-31' AND (T1.schooltype = 'Public Intermediate/Middle Schools' OR T1.schooltype = 'Unified Schools') AND (T1.SOC = 62 OR T1.DOC = 54)","SELECT T2.AdmEmail1, T2.AdmEmail2 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'San Bernardino' AND T2.City = 'San Bernardino' AND T2.DOC = 54 AND strftime('%Y', T2.OpenDate) BETWEEN '2009' AND '2010' AND T2.SOC = 62",0,1
"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary?",challenging,"SELECT T1.account_id , ( SELECT MAX(A11) - MIN(A11) FROM district ) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T1.account_id = T3.account_id INNER JOIN client AS T4 ON T3.client_id = T4.client_id WHERE T2.district_id = ( SELECT district_id FROM client WHERE gender = 'F' ORDER BY birth_date ASC LIMIT 1 ) ORDER BY T2.A11 DESC LIMIT 1","select the first one. To find the average salary, we need to join the client table with the district table and calculate the average of the a11 column. To find the highest average salary, we need to use a subquery to find the maximum value of the a11 column. Finally, we need to calculate the gap between the highest and lowest average salary.  To find the oldest female client, we need to sort the clients by birth_date in ascending order and select the first one. To find the average salary, we need to join the client table with the district table and calculate the average of the a11 column. To find the highest average salary, we need to use a subquery to find the maximum value of the a11 column. Finally, we need to calculate the gap between the highest and lowest average salary.  To find the oldest female client, we need to sort the clients by birth_date in ascending order and select the first one. To find the average salary, we need to join the client table with the district table and calculate the average of the a11 column. To find the highest average salary, we need to use a subquery to find the maximum value of the a11 column. Finally, we need to calculate the gap between the highest and lowest average salary.  To find the oldest female client, we need to sort the clients by birth_date in ascending order and select the first one. To find the average salary, we need to join the client table with the district table and calculate the average of the a11 column. To find the highest average salary, we need to use a subquery to find the maximum value of the a11 column. Finally, we need to calculate the gap between the highest and lowest average salary.  To find the oldest female client, we need to sort the clients by birth_date in ascending order and select the first one. To find the average salary, we need to join the client table with the district table and calculate the average of the a11 column. To find the highest average salary, we need to use a subquery to find the maximum value of the a11 column. Finally, we need to calculate the gap between the highest and lowest average salary.  To find the oldest female client, we need to sort the clients by birth_date in ascending order and select the first one. To find the average salary, we need to join the client table with the district table and calculate the average of the a11 column. To find the highest average salary, we need to use a subquery to find the maximum","SELECT T1.account_id, T3.a11 - (SELECT MIN(T3.a11) FROM client AS T2 INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T2.gender = 'F') AS gap FROM client AS T1 INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T1.gender = 'F' AND T1.birth_date = (SELECT MIN(T1.birth_date) FROM client AS T1 INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T1.gender = 'F')",0,0
"For the branch which located in the south Bohemia with biggest number of inhabitants, what is the percentage of the male clients?",challenging,SELECT CAST(SUM(T1.gender = 'M') AS REAL) * 100 / COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A3 = 'south Bohemia' GROUP BY T2.A4 ORDER BY T2.A4 DESC LIMIT 1,NULL,SELECT CAST(COUNT(CASE WHEN T1.gender = 'M' THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(T1.gender) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.a3 = 'South Bohemia' ORDER BY T2.a4 DESC LIMIT 1,0,0
"For the client whose loan was approved first in 1993/7/5, what is the increase rate of his/her account balance from 1993/3/22 to 1998/12/27?",challenging,"SELECT CAST((SUM(IIF(T3.date = '1998-12-27', T3.balance, 0)) - SUM(IIF(T3.date = '1993-03-22', T3.balance, 0))) AS REAL) * 100 / SUM(IIF(T3.date = '1993-03-22', T3.balance, 0)) FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T3.account_id = T2.account_id WHERE T1.date = '1993-07-05'",NULL,NULL,0,0
"For loans contracts which are still running where client are in debt, list the district of the and the state the percentage unemployment rate increment from year 1995 to 1996.",challenging,SELECT CAST((T3.A13 - T3.A12) AS REAL) * 100 / T3.A12 FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T1.status = 'D',"SELECT T2.a12, T2.a13, (T2.a13 - T2.a12) / T2.a12 * 100 FROM district AS T2 INNER JOIN loan AS T1 ON T1.status = 'D' INNER JOIN account AS T3 ON T3.account_id = T1.account_id INNER JOIN client AS T4 ON T4.client_id = T3.client_id INNER JOIN disp AS T5 ON T5.account_id = T3.account_id INNER JOIN district AS T6 ON T6.district_id = T4.district_id WHERE T1.status = 'D' AND T4.district_id = T6.district_id","SELECT T1.a2, T1.a3, ((T1.a13 - T1.a12) / T1.a12) * 100 FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T2.client_id = T3.client_id WHERE T3.status = 'D'",0,0
"Please list the account types that are not eligible for loans, and the average income of residents in the district where the account is located exceeds $8000 but is no more than $9000.",challenging,SELECT T3.type FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T2.account_id = T3.account_id WHERE T3.type != 'OWNER' AND T1.A11 BETWEEN 8000 AND 9000,SELECT T1.type FROM card AS T1 JOIN account AS T2 ON T1.account_id = T2.account_id JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T1.type != 'OWNER' AND T3.a11 BETWEEN 8000 AND 9000,NULL,0,0
