Question,hardness,Gold,Prediction_0.1,Prediction_0.5,Prediction_1.0,EX_0.1,EX_0.5,EX_1.0
Are there more male patients with creatinine not within the normal range than female? True or False?,challenging,SELECT CASE WHEN SUM(CASE WHEN T1.SEX = 'M' THEN 1 ELSE 0 END) > SUM(CASE WHEN T1.SEX = 'F' THEN 1 ELSE 0 END) THEN 'True' ELSE 'False' END FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.CRE >= 1.5,SELECT (SUM(SEX = 'M') > SUM(SEX = 'F')) AS more_male_patients FROM patient WHERE EXISTS (     SELECT 1     FROM laboratory     WHERE patient.id = laboratory.id     AND laboratory.cre >= 1.5 ),NULL,NULL,0,0,0
What elements are in the TR004_8_9 bond atoms?,challenging,SELECT DISTINCT T1.element FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id = 'TR004_8_9',SELECT element FROM atom WHERE atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id = 'TR004_8_9' ),SELECT element FROM atom WHERE atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id = 'TR004_8_9' ),NULL,1,1,0
What is the ratio of Hydrogen elements in molecule ID TR006? List the ratio with its label.,challenging,"WITH SubQuery AS (SELECT DISTINCT T1.atom_id, T1.element, T1.molecule_id, T2.label FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.molecule_id = 'TR006') SELECT CAST(COUNT(CASE WHEN element = 'h' THEN atom_id ELSE NULL END) AS REAL) / (CASE WHEN COUNT(atom_id) = 0 THEN NULL ELSE COUNT(atom_id) END) AS ratio, label FROM SubQuery GROUP BY label","SELECT ratio, label FROM ( SELECT molecule_id, SUM(element = 'h') AS ratio, label FROM molecule JOIN atom ON molecule.molecule_id = atom.molecule_id GROUP BY molecule_id ) AS subquery WHERE molecule_id = 'TR006'","SELECT ratio, label FROM molecule WHERE molecule_id = 'TR006'","SELECT SUM(element = 'h') / COUNT(*) AS ratio, label FROM atom JOIN molecule ON atom.molecule_id = molecule.molecule_id WHERE atom.molecule_id = 'TR006' GROUP BY label",0,0,0
"For the teams with normal build-up play dribbling class in 2014, List the names of the teams with less than average chance creation passing, in descending order of chance creation passing.",challenging,"SELECT t3.team_long_name FROM Team AS t3 INNER JOIN Team_Attributes AS t4 ON t3.team_api_id = t4.team_api_id WHERE t4.buildUpPlayDribblingClass = 'Normal' AND t4.chanceCreationPassing < ( SELECT CAST(SUM(t2.chanceCreationPassing) AS REAL) / COUNT(t1.id) FROM Team AS t1 INNER JOIN Team_Attributes AS t2 ON t1.team_api_id = t2.team_api_id WHERE t2.buildUpPlayDribblingClass = 'Normal' AND SUBSTR(t2.`date`, 1, 4) = '2014') ORDER BY t4.chanceCreationPassing DESC",SELECT team_long_name FROM team WHERE team_api_id IN (     SELECT team_api_id     FROM team_attributes     WHERE buildUpPlayDribblingClass = 'Normal'     AND date >= '2014-01-01 00:00:00'     AND date <= '2014-01-31 00:00:00' ) AND team_api_id IN (     SELECT team_api_id     FROM team_attributes     WHERE chanceCreationPassing < (         SELECT AVG(chanceCreationPassing)         FROM team_attributes     ) ) ORDER BY chanceCreationPassing DESC,SELECT team_long_name FROM team INNER JOIN team_attributes ON team.team_api_id = team_attributes.team_api_id WHERE buildUpPlayDribblingClass = 'Normal' AND date > '2014-01-01 00:00:00' AND date < '2014-01-31 00:00:00' AND chanceCreationPassing < (SELECT AVG(chanceCreationPassing) FROM team_attributes) ORDER BY chanceCreationPassing DESC,"SELECT team_long_name AS team_name,        SUM(chanceCreationPassing) / COUNT(id) AS chance_creation_passing FROM team JOIN team_attributes ON team.team_api_id = team_attributes.team_api_id WHERE buildUpPlayDribblingClass = 'Normal'   AND date >= '2014-01-01 00:00:00'   AND date < '2015-01-01 00:00:00' GROUP BY team.team_api_id HAVING chance_creation_passing < (SELECT AVG(chanceCreationPassing) FROM team_attributes) ORDER BY chance_creation_passing DESC",0,0,0
"What is the difference in the annual average consumption of the customers with the least amount of consumption paid in CZK for 2013 between SME and LAM, LAM and KAM, and KAM and SME?",challenging,"SELECT CAST(SUM(IIF(T1.Segment = 'SME', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) - CAST(SUM(IIF(T1.Segment = 'LAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) , CAST(SUM(IIF(T1.Segment = 'LAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) - CAST(SUM(IIF(T1.Segment = 'KAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) , CAST(SUM(IIF(T1.Segment = 'KAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) - CAST(SUM(IIF(T1.Segment = 'SME', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'CZK' AND T2.Consumption = ( SELECT MIN(Consumption) FROM yearmonth ) AND T2.Date BETWEEN 201301 AND 201312",NULL,"SELECT (SELECT AVG(consumption) FROM (SELECT SUM(amount) AS consumption FROM transactions_1k t1 JOIN yearmonth t2 ON t1.customerid = t2.customerid AND t1.date = t2.date WHERE t1.currency = 'CZK' AND t2.date BETWEEN 201301 AND 201312 GROUP BY t1.customerid, t2.date) WHERE customerid IN (SELECT customerid FROM (SELECT customerid, SUM(amount) AS consumption FROM transactions_1k t1 JOIN yearmonth t2 ON t1.customerid = t2.customerid AND t1.date = t2.date WHERE t1.currency = 'CZK' AND t2.date BETWEEN 201301 AND 201312 GROUP BY t1.customerid, t2.date) WHERE consumption = (SELECT MIN(consumption) FROM (SELECT customerid, SUM(amount) AS consumption FROM transactions_1k t1 JOIN yearmonth t2 ON t1.customerid = t2.customerid AND t1.date = t2.date WHERE t1.currency = 'CZK' AND t2.date BETWEEN 201301 AND 201312 GROUP BY t1.customerid, t2.date) WHERE t1.customerid = t2","SELECT customerid FROM customers WHERE segment = 'SME') THEN amount ELSE 0 END) /     (SELECT COUNT(DISTINCT customerid) FROM customers WHERE segment = 'SME') -     SUM(CASE WHEN customerid IN (SELECT customerid FROM customers WHERE segment = 'LAM') THEN amount ELSE 0 END) /     (SELECT COUNT(DISTINCT customerid) FROM customers WHERE segment = 'LAM') AS difference FROM transactions_1k WHERE currency = 'CZK'   AND date BETWEEN 201301 AND 201312 UNION SELECT     'LAM - KAM' AS customer_group,     SUM(CASE WHEN customerid IN (SELECT customerid FROM customers WHERE segment = 'LAM') THEN amount ELSE 0 END) /     (SELECT COUNT(DISTINCT customerid) FROM customers WHERE segment = 'LAM') -     SUM(CASE WHEN customerid IN (SELECT customerid FROM customers WHERE segment = 'KAM') THEN amount ELSE 0 END) /     (SELECT COUNT(DISTINCT customerid) FROM customers WHERE segment = 'KAM') AS difference FROM transactions_1k WHERE currency = 'CZK'   AND date BETWEEN 201301 AND 201312 UNION SELECT",0,0,0
"Of the schools that offers a magnet program serving a grade span of Kindergarten to 8th grade, how many offers Multiple Provision Types? List the number of cities that offers a Kindergarten to 8th grade span and indicate how many schools are there serving such grade span for each city.",challenging,"SELECT T2.City, COUNT(T2.CDSCode) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T2.GSoffered = 'K-8' AND T1.`NSLP Provision Status` = 'Multiple Provision Types' GROUP BY T2.City","SELECT COUNT(DISTINCT city) AS num_cities,        SUM(CASE WHEN gsserved LIKE '%K%' AND gsserved LIKE '%8%' THEN 1 ELSE 0 END) AS num_schools_k_8,        SUM(CASE WHEN gsserved LIKE '%K%' AND gsserved LIKE '%8%' THEN 1 ELSE 0 END) AS num_schools_k_8 FROM schools WHERE magnet = 1 AND gsserved LIKE '%K%' AND gsserved LIKE '%8%' GROUP BY city","SELECT COUNT(DISTINCT city) AS num_cities, SUM(num_schools) AS total_schools FROM ( SELECT city, COUNT(DISTINCT cdscode) AS num_schools FROM schools WHERE Magnet = 1 AND gsoffered LIKE '%K%' AND gsoffered LIKE '%8%' GROUP BY city ) AS subquery",NULL,0,0,0
Please calculate the race completion percentage of Japanese drivers from 2007 to 2009.,challenging,"SELECT CAST(SUM(IIF(T1.time IS NOT NULL, 1, 0)) AS REAL) * 100 / COUNT(T1.raceId) FROM results AS T1 INNER JOIN races AS T2 on T1.raceId = T2.raceId INNER JOIN drivers AS T3 on T1.driverId = T3.driverId WHERE T3.nationality = 'Japanese' AND T2.year BETWEEN 2007 AND 2009",SELECT (COUNT(DriverID) * 100.0 / (SELECT COUNT(DriverID) FROM drivers WHERE nationality = 'Japanese' AND year BETWEEN 2007 AND 2009)) AS race_completion_percentage FROM results WHERE nationality = 'Japanese' AND year BETWEEN 2007 AND 2009 AND time IS NOT NULL,SELECT (COUNT(DriverID) * 100.0 / (SELECT COUNT(DriverID) FROM drivers WHERE nationality = 'Japanese' AND year BETWEEN 2007 AND 2009)) AS race_completion_percentage FROM results WHERE nationality = 'Japanese' AND year BETWEEN 2007 AND 2009 AND time IS NOT NULL,NULL,0,0,0
"Which superhero has the same eyes, hair and skin colour? Indicate the publisher of the superhero.",challenging,"SELECT T1.superhero_name, T2.publisher_name FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T1.eye_colour_id = T1.hair_colour_id AND T1.eye_colour_id = T1.skin_colour_id","SELECT superhero_name, publisher_name FROM superhero JOIN publisher ON superhero.publisher_id = publisher.id WHERE hair_colour_id = skin_colour_id AND hair_colour_id = eye_colour_id","SELECT superhero_name, publisher_name FROM superhero s JOIN publisher p ON s.publisher_id = p.id WHERE hair_colour_id = skin_colour_id AND hair_colour_id = eye_colour_id","SELECT superhero_name, full_name, publisher_name FROM superhero JOIN publisher ON superhero.publisher_id = publisher.id WHERE eye_colour_id = hair_colour_id AND eye_colour_id = skin_colour_id ORDER BY superhero_name",1,1,0
"Which constructor scored most points from Monaco Grand Prix between 1980 and 2010? List the score, name and nationality of this team.",challenging,"SELECT SUM(T1.points), T2.name, T2.nationality FROM constructorResults AS T1 INNER JOIN constructors AS T2 ON T1.constructorId = T2.constructorId INNER JOIN races AS T3 ON T3.raceid = T1.raceid WHERE T3.name = 'Monaco Grand Prix' AND T3.year BETWEEN 1980 AND 2010 GROUP BY T2.name ORDER BY SUM(T1.points) DESC LIMIT 1","SELECT c.name, c.nationality, SUM(cr.points) AS total_points FROM constructors c JOIN constructorstandings cr ON c.constructorid = cr.constructorid JOIN races r ON cr.raceid = r.raceid JOIN circuits ci ON r.circuitid = ci.circuitid WHERE ci.name = 'Monaco Grand Prix' AND r.year BETWEEN 1980 AND 2010 GROUP BY c.name, c.nationality ORDER BY total_points DESC LIMIT 1","SELECT c.name, c.nationality, SUM(cr.points) AS total_points FROM constructors c JOIN constructorstandings cr ON c.constructorid = cr.constructorid JOIN races r ON cr.raceid = r.raceid JOIN circuits ci ON r.circuitid = ci.circuitid WHERE ci.name = 'Monaco Grand Prix' AND r.year BETWEEN 1980 AND 2010 GROUP BY c.name, c.nationality ORDER BY total_points DESC LIMIT 1","SELECT c.name, c.nationality, r.points FROM constructors c JOIN results r ON c.constructorid = r.constructorid JOIN races ra ON r.raceid = ra.raceid JOIN circuits ci ON ra.circuitid = ci.circuitid WHERE ci.name = 'Monaco Grand Prix' AND ra.year BETWEEN 1980 AND 2010 ORDER BY r.points DESC LIMIT 1",0,0,0
What are the elements of the toxicology and label of molecule TR060?,challenging,"SELECT DISTINCT T1.element, T2.label FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.molecule_id = 'TR060'","SELECT molecule.label, atom.element FROM molecule JOIN atom ON molecule.molecule_id = atom.molecule_id WHERE molecule.molecule_id = 'TR060'","SELECT molecule.label, atom.element FROM molecule JOIN atom ON molecule.molecule_id = atom.molecule_id WHERE molecule.molecule_id = 'TR060'","SELECT molecule.label, atom.element FROM molecule JOIN atom ON atom.molecule_id = molecule.molecule_id WHERE molecule.molecule_id = 'TR060'",0,0,0
