Question,hardness,Gold,Prediction_0.1,Prediction_0.5,Prediction_1.0,EX_0.1,EX_0.5,EX_1.0
"Among the patients whose total bilirubin is over the normal range, how many of them have a peripheral pattern observed in the sheet of ANA examination?",challenging,SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID INNER JOIN Examination AS T3 ON T1.ID = T3.ID WHERE T2.`T-BIL` >= 2 AND T3.`ANA Pattern` LIKE '%P%',SELECT COUNT(*) FROM examination e JOIN laboratory l ON e.id = l.id WHERE l.t_bil > NORMAL_RANGE AND e.ana_pattern = 'peripheral',SELECT COUNT(*) FROM examination JOIN patient ON examination.id = patient.id JOIN laboratory ON examination.id = laboratory.id WHERE t_bil > normal_range AND ana_pattern = 'peripheral',SELECT COUNT(*) FROM examination JOIN laboratory ON examination.id = laboratory.id JOIN patient ON patient.id = examination.id WHERE laboratory.t-bil > normal_range AND examination.ana_pattern = 'peripheral',0,0,0
"What sex is the patient who in a medical examination was diagnosed with PSS and in a laboratory examination had a blood level of C-reactive protein de 2+, createnine 1 and LDH 123?",challenging,SELECT T1.SEX FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID INNER JOIN Laboratory AS T3 ON T3.ID = T2.ID WHERE T2.Diagnosis = 'PSS' AND T3.CRP = '2+' AND T3.CRE = 1.0 AND T3.LDH = 123,SELECT p.sex FROM patient p JOIN examination e ON p.id = e.id JOIN laboratory l ON p.id = l.id WHERE e.diagnosis = 'PSS' AND l.crp = 2 AND l.cre = 1 AND l.ldh = 123,SELECT p.sex FROM patient p JOIN examination e ON p.id = e.id JOIN laboratory l ON p.id = l.id WHERE e.diagnosis = 'PSS' AND l.crp = 2 AND l.cre = 1 AND l.ldh = 123,SELECT p.sex FROM patient p JOIN examination e ON p.id = e.id JOIN laboratory l ON p.id = l.id WHERE e.diagnosis = 'PSS' AND l.crp = 2 AND l.cre = 1 AND l.ldh = 123,0,0,0
"For the patients with a normal range of creatinine phosphokinase, how many of them have a positive measure of degree of coagulation?",challenging,SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID INNER JOIN Examination AS T3 ON T1.ID = T3.ID WHERE T2.CPK < 250 AND (T3.KCT = '+' OR T3.RVVT = '+' OR T3.LAC = '+'),SELECT COUNT(*) FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.cpk BETWEEN 30 AND 170 AND (laboratory.pt IS NOT NULL OR laboratory.aptt IS NOT NULL OR laboratory.fg IS NOT NULL OR laboratory.pic IS NOT NULL OR laboratory.tat IS NOT NULL OR laboratory.tat2 IS NOT NULL),SELECT COUNT(*) FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.cpk BETWEEN 50 AND 170 AND (laboratory.pt IS NOT NULL OR laboratory.aptt IS NOT NULL OR laboratory.fg IS NOT NULL OR laboratory.pic IS NOT NULL OR laboratory.tat IS NOT NULL OR laboratory.tat2 IS NOT NULL),SELECT COUNT(*) FROM patient INNER JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.cpk BETWEEN 40 AND 200 AND (laboratory.pt IS NOT NULL OR laboratory.aptt IS NOT NULL OR laboratory.fg IS NOT NULL OR laboratory.pic IS NOT NULL OR laboratory.tat IS NOT NULL OR laboratory.tat2 IS NOT NULL),0,0,0
What percentage of cards with format commander and legal status do not have a content warning?,challenging,SELECT CAST(SUM(CASE WHEN T1.hasContentWarning = 0 THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(T1.id) FROM cards AS T1 INNER JOIN legalities AS T2 ON T1.uuid = T2.uuid WHERE T2.format = 'commander' AND T2.status = 'Legal',SELECT (COUNT(c.id) * 100.0 / (SELECT COUNT(id) FROM cards WHERE id IN (SELECT card_id FROM legalities WHERE format = 'commander' AND status = 'legal'))) AS percentage_no_content_warning FROM cards c LEFT JOIN legalities l ON c.id = l.card_id WHERE l.format = 'commander' AND l.status = 'legal' AND c.hascontentwarning = 0,SELECT (COUNT(c.id) * 100.0 / (SELECT COUNT(id) FROM cards WHERE id IN (SELECT cardid FROM legalities WHERE format = 'commander' AND status = 'legal'))) AS percentage_no_content_warning FROM cards c WHERE c.id IN (SELECT cardid FROM legalities WHERE format = 'commander' AND status = 'legal') AND c.hascontentwarning = 0,SELECT (COUNT(c.id) * 100.0 / (SELECT COUNT(id) FROM cards WHERE id IN (SELECT id FROM legalities WHERE format = 'commander' AND status = 'legal'))) AS percentage_no_content_warning FROM cards c LEFT JOIN legalities l ON c.id = l.id WHERE l.format = 'commander' AND l.status = 'legal' AND c.hascontentwarning = 0,0,0,0
Which publisher created more superheroes: DC or Marvel Comics? Find the difference in the number of superheroes.,challenging,SELECT SUM(CASE WHEN T2.publisher_name = 'DC Comics' THEN 1 ELSE 0 END) - SUM(CASE WHEN T2.publisher_name = 'Marvel Comics' THEN 1 ELSE 0 END) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id,"SELECT publisher_name, COUNT(superhero.id) AS hero_count FROM publisher JOIN superhero ON publisher.id = superhero.publisher_id WHERE publisher_name IN ('DC', 'Marvel Comics') GROUP BY publisher_name ORDER BY hero_count DESC","SELECT publisher_name, COUNT(superhero.id) as hero_count FROM publisher JOIN superhero ON publisher.id = superhero.publisher_id WHERE publisher_name IN ('DC', 'Marvel Comics') GROUP BY publisher_name ORDER BY hero_count DESC","SELECT publisher_name, COUNT(id) AS hero_count FROM superhero JOIN publisher ON superhero.publisher_id = publisher.id WHERE publisher_name IN ('DC', 'Marvel Comics') GROUP BY publisher_name ORDER BY hero_count DESC",0,0,0
"For all the female patient age 50 and above, who has abnormal red blood cell count. State if they were admitted to hospital.",challenging,"SELECT DISTINCT T1.ID, T1.Admission FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.SEX = 'F' AND (T2.RBC <= 3.5 OR T2.RBC >= 6.0) AND STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) >= 50","SELECT p.id, p.admission FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'female' AND p.birthday <= DATE('now', '-50 years') AND (l.rbc < 'normal_lower_limit' OR l.rbc > 'normal_upper_limit')","SELECT p.id, p.admission FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'female' AND p.birthday <= DATE('now', '-50 years') AND (l.rbc < 'normal_lower_limit' OR l.rbc > 'normal_upper_limit')","SELECT p.id, p.admission         FROM patient p         JOIN laboratory l ON p.id = l.id         WHERE p.sex = 'female'         AND ABS(julianday('now') - julianday(p.birthday)) / 365.25 >= 50         AND (l.rbc < 'normal_lower_limit' OR l.rbc > 'normal_upper_limit')",0,0,0
"Between DC and Marvel Comics, which publisher has published more superheroes? Find the difference in the number of superheroes they have published.",challenging,SELECT SUM(CASE WHEN T2.publisher_name = 'Marvel Comics' THEN 1 ELSE 0 END) - SUM(CASE WHEN T2.publisher_name = 'DC Comics' THEN 1 ELSE 0 END) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id,"SELECT publisher_name, COUNT(id) AS num_superheroes FROM superhero JOIN publisher ON superhero.publisher_id = publisher.id GROUP BY publisher_name ORDER BY num_superheroes DESC LIMIT 2","SELECT publisher_name, COUNT(id) AS num_superheroes FROM superhero JOIN publisher ON superhero.publisher_id = publisher.id GROUP BY publisher_name ORDER BY num_superheroes DESC LIMIT 2","SELECT publisher_name, COUNT(id) AS hero_count FROM superhero JOIN publisher ON superhero.publisher_id = publisher.id GROUP BY publisher_name ORDER BY hero_count DESC LIMIT 2",0,0,0
How many elements are contained in bond_id TR001_3_4?,challenging,SELECT COUNT(DISTINCT T1.element) FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id = 'TR001_3_4',SELECT COUNT(DISTINCT element) FROM atom JOIN connected ON atom.atom_id = connected.atom_id WHERE connected.bond_id = 'TR001_3_4',SELECT COUNT(DISTINCT element) FROM atom JOIN connected ON atom.atom_id = connected.atom_id WHERE connected.bond_id = 'TR001_3_4',SELECT COUNT(DISTINCT element) FROM atom JOIN connected ON atom.atom_id = connected.atom_id WHERE connected.bond_id = 'TR001_3_4',1,1,1
Who has the highest average finishing rate between the highest and shortest football player?,challenging,"SELECT A FROM ( SELECT AVG(finishing) result, 'Max' A FROM Player AS T1 INNER JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id WHERE T1.height = ( SELECT MAX(height) FROM Player ) UNION SELECT AVG(finishing) result, 'Min' A FROM Player AS T1 INNER JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id WHERE T1.height = ( SELECT MIN(height) FROM Player ) ) ORDER BY result DESC LIMIT 1","SELECT player.player_name, AVG(player_attributes.finishing) as average_finishing FROM player JOIN player_attributes ON player.player_api_id = player_attributes.player_api_id WHERE player.height = (SELECT MAX(height) FROM player) OR player.height = (SELECT MIN(height) FROM player) GROUP BY player.player_name ORDER BY average_finishing DESC LIMIT 1","SELECT player.player_name, AVG(player_attributes.finishing) as average_finishing FROM player JOIN player_attributes ON player.player_api_id = player_attributes.player_api_id WHERE player.height = (SELECT MIN(height) FROM player) OR player.height = (SELECT MAX(height) FROM player) GROUP BY player.player_name ORDER BY average_finishing DESC LIMIT 1","SELECT player.player_name, AVG(player_attributes.finishing) as average_finishing FROM player JOIN player_attributes ON player.player_api_id = player_attributes.player_api_id WHERE player.height = (SELECT MAX(height) FROM player) OR player.height = (SELECT MIN(height) FROM player) GROUP BY player.player_name ORDER BY average_finishing DESC LIMIT 1",0,0,0
What is the percentage of carcinogenic molecules in triple type bonds?,challenging,SELECT CAST(COUNT(DISTINCT CASE WHEN T2.label = '+' THEN T2.molecule_id ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T2.molecule_id = T3.molecule_id WHERE T3.bond_type = '#',"SELECT (COUNT(DISTINCT m.molecule_id) * 100.0 / (SELECT COUNT(DISTINCT molecule_id) FROM molecule)) AS carcinogenic_percentage FROM molecule m JOIN bond b ON m.molecule_id = b.molecule_id JOIN connected c ON b.bond_id = c.bond_id WHERE m.label = 'carcinogenic' AND b.bond_type = 'triple' GROUP BY m.label, b.bond_type","SELECT (COUNT(DISTINCT m.molecule_id) * 100.0 / (SELECT COUNT(DISTINCT molecule_id) FROM molecule)) AS carcinogenic_percentage FROM molecule m JOIN bond b ON m.molecule_id = b.molecule_id JOIN connected c ON b.bond_id = c.bond_id WHERE m.label = 'carcinogenic' AND b.bond_type = 'triple' GROUP BY m.label, b.bond_type","SELECT molecule_id     FROM molecule     WHERE label = 'carcinogenic' ), triple_bond_molecules AS (     SELECT molecule_id     FROM bond     WHERE bond_type = 'triple' ), SELECT (COUNT(carcinogenic_molecules.molecule_id) * 100.0 / COUNT(triple_bond_molecules.molecule_id)) AS percentage FROM carcinogenic_molecules JOIN triple_bond_molecules ON carcinogenic_molecules.molecule_id = triple_bond_molecules.molecule_id",0,0,0
"Calculate the percentage of players who prefer left foot, who were born between 1987 and 1992.",challenging,"SELECT CAST(COUNT(CASE WHEN t2.preferred_foot = 'left' THEN t1.id ELSE NULL END) AS REAL) * 100 / COUNT(t1.id) percent FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE SUBSTR(t1.birthday, 1, 4) BETWEEN '1987' AND '1992'","SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM player WHERE strftime('%Y', birthday) BETWEEN '1987' AND '1992')) AS left_foot_percentage FROM player WHERE preferred_foot = 'left' AND strftime('%Y', birthday) BETWEEN '1987' AND '1992'","SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM player WHERE strftime('%Y', birthday) BETWEEN '1987' AND '1992')) AS left_foot_percentage FROM player WHERE preferred_foot = 'left' AND strftime('%Y', birthday) BETWEEN '1987' AND '1992'","SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM player WHERE strftime('%Y', birthday) BETWEEN '1987' AND '1992')) AS left_foot_percentage FROM player WHERE preferred_foot = 'left' AND strftime('%Y', birthday) BETWEEN '1987' AND '1992'",0,0,0
What is the constructor reference name of the champion in the 2009 Singapore Grand Prix? Please give its website.,challenging,"SELECT T3.constructorRef, T3.url FROM results AS T1 INNER JOIN races AS T2 on T1.raceId = T2.raceId INNER JOIN constructors AS T3 on T1.constructorId = T3.constructorId WHERE T2.name = 'Singapore Grand Prix' AND T2.year = 2009 AND T1.time LIKE '_:%:__.___'","SELECT c.constructorref, c.url FROM constructorresults cr JOIN constructors c ON cr.constructorid = c.constructorid JOIN races r ON cr.raceid = r.raceid WHERE r.year = 2009 AND r.name = 'Singapore Grand Prix' ORDER BY cr.points DESC LIMIT 1","SELECT c.constructorref, c.url FROM constructorresults cr JOIN constructors c ON cr.constructorid = c.constructorid JOIN races r ON cr.raceid = r.raceid WHERE r.year = 2009 AND r.name = 'Singapore Grand Prix' ORDER BY cr.points DESC LIMIT 1","SELECT c.constructorref, c.url FROM constructorresults cr JOIN constructors c ON cr.constructorid = c.constructorid JOIN races r ON cr.raceid = r.raceid WHERE r.name = 'Singapore Grand Prix' AND r.year = 2009 ORDER BY cr.points DESC LIMIT 1",1,1,1
Which user added a bounty amount of 50 to the post title mentioning variance?,challenging,"SELECT T3.DisplayName, T1.Title FROM posts AS T1 INNER JOIN votes AS T2 ON T1.Id = T2.PostId INNER JOIN users AS T3 ON T3.Id = T2.UserId WHERE T2.BountyAmount = 50 AND T1.Title LIKE '%variance%'",SELECT users.displayname FROM users JOIN votes ON users.id = votes.userid JOIN posts ON votes.postid = posts.id WHERE votes.bountyamount = 50 AND posts.title LIKE '%variance%',SELECT users.displayname FROM users JOIN votes ON users.id = votes.userid JOIN posts ON votes.postid = posts.id WHERE votes.bountyamount = 50 AND posts.title LIKE '%variance%',SELECT users.displayname FROM votes JOIN posts ON votes.postid = posts.id JOIN users ON votes.userid = users.id WHERE votes.bountyamount = 50 AND posts.title LIKE '%variance%',0,0,0
List down top 3 German drivers who has the shortest average pit stop duration and were born between 1980-1985.,challenging,"SELECT T2.forename, T2.surname FROM pitStops AS T1 INNER JOIN drivers AS T2 on T1.driverId = T2.driverId WHERE T2.nationality = 'German' AND STRFTIME('%Y', T2.dob) BETWEEN '1980' AND '1985' GROUP BY T2.forename, T2.surname ORDER BY AVG(T1.duration) LIMIT 3","SELECT d.forename, d.surname, AVG(p.duration) AS avg_pit_duration FROM drivers d JOIN pitstops p ON d.driverid = p.driverid WHERE d.nationality = 'German' AND d.dob BETWEEN '1980-01-01' AND '1980-12-31' GROUP BY d.driverid ORDER BY avg_pit_duration LIMIT 3","SELECT d.forename, d.surname, AVG(p.duration) AS avg_pit_duration FROM drivers d JOIN pitstops p ON d.driverid = p.driverid WHERE d.nationality = 'German' AND d.dob BETWEEN '1980-01-01' AND '1980-12-31' GROUP BY d.driverid ORDER BY avg_pit_duration LIMIT 3","SELECT d.forename, d.surname, AVG(p.duration) AS avg_duration FROM drivers d JOIN pitstops p ON d.driverid = p.driverid WHERE d.nationality = 'German' AND d.dob BETWEEN '1980-01-01' AND '1980-12-31' OR d.dob BETWEEN '1981-01-01' AND '1981-12-31' OR d.dob BETWEEN '1982-01-01' AND '1982-12-31' OR d.dob BETWEEN '1983-01-01' AND '1983-12-31' OR d.dob BETWEEN '1984-01-01' AND '1984-12-31' OR d.dob BETWEEN '1985-01-01' AND '1985-12-31' GROUP BY d.driverid ORDER BY avg_duration ASC LIMIT 3",0,0,0
"Among all superheroes created by George Lucas, identify the percentage of female superheroes.",challenging,SELECT CAST(COUNT(CASE WHEN T3.gender = 'Female' THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(T1.id) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id INNER JOIN gender AS T3 ON T1.gender_id = T3.id WHERE T2.publisher_name = 'George Lucas',SELECT (COUNT(CASE WHEN s.gender_id = (SELECT id FROM gender WHERE gender = 'Female') THEN 1 END) * 100.0 / COUNT(*)) AS female_percentage FROM superhero s WHERE s.publisher_id = (SELECT id FROM publisher WHERE publisher_name = 'George Lucas'),SELECT (COUNT(CASE WHEN s.gender_id = (SELECT id FROM gender WHERE gender = 'Female') THEN 1 END) * 100.0 / COUNT(*)) AS female_percentage FROM superhero s JOIN publisher p ON s.publisher_id = p.id WHERE p.publisher_name = 'George Lucas',NULL,1,1,0
