Question,hardness,Gold,Prediction_0.1,Prediction_0.5,Prediction_1.0,EX_0.1,EX_0.5,EX_1.0
List the names of all the cards in the set Hour of Devastation and find the formats in which these cards are legal.,challenging,"SELECT DISTINCT T2.name , CASE WHEN T1.status = 'Legal' THEN T1.format ELSE NULL END FROM legalities AS T1 INNER JOIN cards AS T2 ON T2.uuid = T1.uuid WHERE T2.setCode IN ( SELECT code FROM sets WHERE name = 'Hour of Devastation' )","SELECT c.name, l.format FROM cards c JOIN legalities l ON c.id = l.id WHERE c.setcode = 'HOU'","SELECT c.name, l.format FROM cards c JOIN legalities l ON c.id = l.id WHERE c.setcode = 'HOU'","SELECT c.name, l.format FROM cards c JOIN legalities l ON c.id = l.id JOIN sets s ON c.setcode = s.code WHERE s.name = 'Hour of Devastation'",0,0,0
"For the patient who was diagnosed SLE on 1997/1/27, what was his/her original diagnose when he/she came to the hospital for the first time?",challenging,SELECT T1.Diagnosis FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID WHERE T1.ID = ( SELECT ID FROM Examination WHERE `Examination Date` = '1997-01-27' AND Diagnosis = 'SLE' ) AND T2.`Examination Date` = T1.`First Date`,SELECT p.diagnosis FROM patient p WHERE p.diagnosis = 'SLE' AND p.first_date = '1997/1/27',SELECT p.diagnosis FROM patient p WHERE p.first_date = (     SELECT MIN(first_date)     FROM patient     WHERE diagnosis = 'SLE' ) AND p.diagnosis = 'SLE',SELECT p.diagnosis AS original_diagnosis FROM patient p JOIN examination e ON p.id = e.id WHERE e.diagnosis = 'SLE' AND e.examination_date = '1997/1/27',0,0,0
List the elements of all the triple bonds.,challenging,SELECT DISTINCT T3.element FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id INNER JOIN atom AS T3 ON T2.atom_id = T3.atom_id WHERE T1.bond_type = '#',SELECT atom.element FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON atom.molecule_id = bond.molecule_id WHERE bond.bond_type = 'triple',SELECT atom.element FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON atom.molecule_id = bond.molecule_id WHERE bond.bond_type = 'triple',SELECT a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id WHERE b.bond_type = 'triple',0,0,0
"What is the average time in seconds of champion for each year, before year 1975?",challenging,"WITH time_in_seconds AS ( SELECT T2.year, T2.raceId, T1.positionOrder, CASE WHEN T1.positionOrder = 1 THEN (CAST(SUBSTR(T1.time, 1, 1) AS REAL) * 3600) + (CAST(SUBSTR(T1.time, 3, 2) AS REAL) * 60) + CAST(SUBSTR(T1.time, 6,2) AS REAL )   + CAST(SUBSTR(T1.time, 9) AS REAL)/1000 ELSE 0 END AS time_seconds FROM results AS T1 INNER JOIN races AS T2 ON T1.raceId = T2.raceId WHERE T1.time IS NOT NULL ), champion_time AS ( SELECT year, raceId, time_seconds FROM time_in_seconds WHERE positionOrder = 1 ) SELECT year, AVG(time_seconds) FROM champion_time WHERE year < 1975 GROUP BY year HAVING AVG(time_seconds) IS NOT NULL","SELECT      r.year,      AVG(CAST(SUBSTR(r.time, 1, 2) AS INTEGER) * 60 + CAST(SUBSTR(r.time, 4, 2) AS INTEGER) + CAST(SUBSTR(r.time, 7, 2) / 1000 AS INTEGER)) AS avg_time_seconds FROM      races r JOIN      results res ON r.raceid = res.raceid WHERE      r.year < 1975 AND res.position = 1 GROUP BY      r.year","SELECT year, AVG(time_seconds) AS average_time FROM (     SELECT r.year, r.name AS race_name, res.time,            CASE                 WHEN res.time LIKE '%:%' THEN                     CAST(SUBSTR(res.time, 1, 2) * 60 + SUBSTR(res.time, 4, 5) AS FLOAT)                ELSE                     CAST(res.time AS FLOAT)            END AS time_seconds     FROM results res     JOIN races r ON res.raceid = r.raceid     WHERE res.position = 1 AND r.year < 1975 ) subquery GROUP BY year ORDER BY year","SELECT year, AVG(time_seconds) AS avg_time_seconds FROM (     SELECT r.year, r.name AS race_name, res.time,            CAST(SUBSTR(res.time, 1, 2) * 60 + SUBSTR(res.time, 4, 2) + SUBSTR(res.time, 7, 2) / 60.0 AS FLOAT) AS time_seconds     FROM races r     JOIN results res ON r.raceid = res.raceid     WHERE res.position = 1 AND r.year < 1975 ) AS champion_times GROUP BY year ORDER BY year",0,0,0
How many underage patients were examined during the course of the three-year period from 1990 to 1993?,challenging,"SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', T2.`Examination Date`) BETWEEN '1990' AND '1993' AND STRFTIME('%Y', T2.`Examination Date`) - STRFTIME('%Y', T1.Birthday) < 18","SELECT COUNT(*) FROM examination e JOIN patient p ON e.id = p.id WHERE p.birthday >= '1990-01-01' AND p.birthday <= '1993-12-31' AND p.birthday > DATE('now', '-18 years')",SELECT COUNT(*) AS underage_patients FROM examination e JOIN patient p ON e.id = p.id WHERE (YEAR(e.examination_date) BETWEEN 1990 AND 1993) AND (YEAR(p.birthday) > YEAR(DATE('now')) - 18),SELECT COUNT(*) AS underage_patients FROM examination e JOIN patient p ON e.id = p.id WHERE DATE(p.birthday) BETWEEN '1990-01-01' AND '1993-12-31' AND YEAR(p.birthday) > YEAR(DATE(p.first_date)) OR (YEAR(p.birthday) = YEAR(DATE(p.first_date)) AND MONTH(p.birthday) > MONTH(DATE(p.first_date))) OR (YEAR(p.birthday) = YEAR(DATE(p.first_date)) AND MONTH(p.birthday) = MONTH(DATE(p.first_date)) AND DAY(p.birthday) >= DAY(DATE(p.first_date))),0,0,0
"What sex is the patient who in a medical examination was diagnosed with PSS and in a laboratory examination had a blood level of C-reactive protein de 2+, createnine 1 and LDH 123?",challenging,SELECT T1.SEX FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID INNER JOIN Laboratory AS T3 ON T3.ID = T2.ID WHERE T2.Diagnosis = 'PSS' AND T3.CRP = '2+' AND T3.CRE = 1.0 AND T3.LDH = 123,SELECT sex FROM patient JOIN examination ON patient.id = examination.id JOIN laboratory ON patient.id = laboratory.id WHERE examination.diagnosis = 'PSS' AND laboratory.crp = '2+' AND laboratory.cre = '1' AND laboratory.ldh = '123',SELECT sex FROM patient WHERE id IN (SELECT patient_id FROM examination WHERE diagnosis = 'PSS' AND id IN (SELECT examination_id FROM laboratory WHERE crp = '2+' AND createnine = 1 AND LDH = 123)),SELECT patient.sex FROM patient JOIN examination ON patient.id = examination.id JOIN laboratory ON patient.id = laboratory.id WHERE examination.diagnosis = 'PSS' AND laboratory.crp = '2+' AND laboratory.cre = '1' AND laboratory.ldh = '123',1,0,1
What is the percentage of carcinogenic molecules in triple type bonds?,challenging,SELECT CAST(COUNT(DISTINCT CASE WHEN T2.label = '+' THEN T2.molecule_id ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T2.molecule_id = T3.molecule_id WHERE T3.bond_type = '#',SELECT (COUNT(DISTINCT m.molecule_id) / (SELECT COUNT(DISTINCT molecule_id) FROM molecule)) * 100 AS percentage_carcinogenic FROM molecule m JOIN molecule_atom ma ON m.molecule_id = ma.molecule_id JOIN atom a ON ma.atom_id = a.atom_id JOIN bond b ON m.molecule_id = b.molecule_id JOIN connected c ON ma.atom_id = c.atom_id OR ma.atom_id2 = c.atom_id WHERE b.bond_type = 'triple' AND a.element = 'C' GROUP BY m.molecule_id,SELECT (COUNT(DISTINCT m.molecule_id) / (SELECT COUNT(DISTINCT molecule_id) FROM molecule)) * 100 AS percentage_carcinogenic FROM molecule m JOIN molecule_molecule mm ON m.molecule_id = mm.molecule_id JOIN bond b ON mm.molecule_id = b.molecule_id JOIN connected c ON b.bond_id = c.bond_id WHERE b.bond_type = 'triple' AND EXISTS (     SELECT 1     FROM atom a1     JOIN atom a2 ON c.atom_id = a1.atom_id     WHERE a1.element = 'C' AND a2.element = 'C' ),SELECT (COUNT(DISTINCT m.molecule_id) * 100.0 / (SELECT COUNT(DISTINCT molecule_id) FROM molecule)) AS percentage_carcinogenic FROM molecule m JOIN molecule_has_bond mb ON m.molecule_id = mb.molecule_id JOIN bond b ON mb.bond_id = b.bond_id WHERE b.bond_type = 'triple',0,0,0
"Among the male patients who have a normal level of white blood cells, how many of them have an abnormal fibrinogen level?",challenging,SELECT COUNT(DISTINCT T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.FG <= 150 OR T2.FG >= 450 AND T2.WBC > 3.5 AND T2.WBC < 9.0 AND T1.SEX = 'M',SELECT COUNT(*) FROM patient JOIN laboratory ON patient.id = laboratory.id WHERE patient.sex = 'male' AND laboratory.fg IS NULL,SELECT COUNT(*) AS abnormal_fibrinogen_count FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'male' AND l.wbc = 'normal' AND l.fg <> 'normal',SELECT COUNT(*) FROM patient p JOIN laboratory l ON p.id = l.id WHERE p.sex = 'male' AND l.fg IS NULL,0,0,0
List the superheroes from Marvel Comics who have the super power of 'Super Strength'.,challenging,SELECT superhero_name FROM superhero AS T1 WHERE EXISTS (SELECT 1 FROM hero_power AS T2 INNER JOIN superpower AS T3 ON T2.power_id = T3.id WHERE T3.power_name = 'Super Strength' AND T1.id = T2.hero_id)AND EXISTS (SELECT 1 FROM publisher AS T4 WHERE T4.publisher_name = 'Marvel Comics' AND T1.publisher_id = T4.id),SELECT s.superhero_name FROM superhero s JOIN hero_power hp ON s.id = hp.hero_id JOIN superpower sp ON hp.power_id = sp.id WHERE s.publisher_id IN (     SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics' ) AND sp.power_name = 'Super Strength',SELECT s.superhero_name FROM superhero s JOIN hero_power hp ON s.id = hp.hero_id JOIN superpower sp ON hp.power_id = sp.id WHERE s.publisher_id IN (     SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics' ) AND sp.power_name = 'Super Strength',SELECT s.superhero_name FROM superhero s JOIN hero_power hp ON s.id = hp.hero_id JOIN superpower sp ON hp.power_id = sp.id WHERE s.publisher_id IN (     SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics' ) AND sp.power_name = 'Super Strength',1,1,1
"Between DC and Marvel Comics, which publisher has published more superheroes? Find the difference in the number of superheroes they have published.",challenging,SELECT SUM(CASE WHEN T2.publisher_name = 'Marvel Comics' THEN 1 ELSE 0 END) - SUM(CASE WHEN T2.publisher_name = 'DC Comics' THEN 1 ELSE 0 END) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id,"SELECT      publisher_name,      COUNT(superhero_name) AS superhero_count FROM      superhero JOIN      publisher ON superhero.publisher_id = publisher.id WHERE      publisher.publisher_name IN ('DC', 'Marvel Comics') GROUP BY      publisher_name ORDER BY      superhero_count DESC LIMIT 2","SELECT      publisher_name,      COUNT(superhero_name) AS number_of_superheroes FROM      superhero JOIN      publisher ON superhero.publisher_id = publisher.id WHERE      publisher.publisher_name IN ('DC', 'Marvel Comics') GROUP BY      publisher_name ORDER BY      number_of_superheroes DESC LIMIT 2","SELECT      publisher_name,      COUNT(superhero_name) AS num_superheroes FROM      superhero JOIN      publisher ON superhero.publisher_id = publisher.id WHERE      publisher.publisher_name IN ('DC', 'Marvel Comics') GROUP BY      publisher_name ORDER BY      num_superheroes DESC LIMIT 1",0,0,0
List the name of leagues in which the average goals by the home team is higher than the away team in the 2009/2010 season.,challenging,SELECT t1.name FROM League AS t1 INNER JOIN Match AS t2 ON t1.id = t2.league_id WHERE t2.season = '2009/2010' GROUP BY t1.name HAVING (CAST(SUM(t2.home_team_goal) AS REAL) / COUNT(DISTINCT t2.id)) - (CAST(SUM(t2.away_team_goal) AS REAL) / COUNT(DISTINCT t2.id)) > 0,SELECT l.name FROM league l JOIN match m ON l.id = m.league_id WHERE m.season = '2009/2010' GROUP BY l.name HAVING AVG(m.home_team_goal) > AVG(m.away_team_goal),SELECT l.name FROM league l JOIN match m ON l.id = m.league_id WHERE m.season = '2009/2010' GROUP BY l.name HAVING AVG(m.home_team_goal) > AVG(m.away_team_goal),SELECT l.name FROM league l JOIN match m ON l.id = m.league_id WHERE m.season = '2009/2010' GROUP BY l.name HAVING AVG(m.home_team_goal) > AVG(m.away_team_goal),1,1,1
What is the ratio of male to female patients among all those with abnormal uric acid counts?,challenging,SELECT CAST(SUM(CASE WHEN T2.UA <= 8.0 AND T1.SEX = 'M' THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN T2.UA <= 6.5 AND T1.SEX = 'F' THEN 1 ELSE 0 END) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID,SELECT      (SELECT COUNT(*) FROM patient WHERE sex = 'male' AND ua != 'normal') /      (SELECT COUNT(*) FROM patient WHERE ua != 'normal') AS male_to_female_ratio FROM patient,"SELECT      (SELECT COUNT(*) FROM patient WHERE sex = 'male' AND glu < 6.8) AS male_count,     (SELECT COUNT(*) FROM patient WHERE sex = 'female' AND glu < 6.8) AS female_count,     (SELECT COUNT(*) FROM patient WHERE glu < 6.8) AS total_abnormal_count,     (SELECT COUNT(*) FROM patient WHERE sex = 'male') AS total_male_count,     (SELECT COUNT(*) FROM patient WHERE sex = 'female') AS total_female_count,     ((SELECT COUNT(*) FROM patient WHERE sex = 'male' AND glu < 6.8) / (SELECT COUNT(*) FROM patient WHERE sex = 'male')) / ((SELECT COUNT(*) FROM patient WHERE glu < 6.8) / (SELECT COUNT(*) FROM patient)) AS male_ratio,     ((SELECT COUNT(*) FROM patient WHERE sex = 'female' AND glu < 6.8) / (SELECT COUNT(*) FROM patient WHERE sex = 'female')) / ((SELECT COUNT(*) FROM patient WHERE glu < 6.8) / (SELECT COUNT(*) FROM patient)) AS female_ratio FROM patient LIMIT 1",SELECT      SUM(CASE WHEN p.sex = 'male' THEN 1 ELSE 0 END) / SUM(CASE WHEN p.sex = 'female' THEN 1 ELSE 0 END) AS male_to_female_ratio FROM      patient p JOIN      laboratory l ON p.id = l.id WHERE      l.ua > 0,0,0,0
"List the eyes, hair and skin colour of all female superheroes published by Dark Horse Comics.",challenging,"SELECT T1.eye_colour_id, T1.hair_colour_id, T1.skin_colour_id FROM superhero AS T1 INNER JOIN publisher AS T2 ON T2.id = T1.publisher_id INNER JOIN gender AS T3 ON T3.id = T1.gender_id WHERE T2.publisher_name = 'Dark Horse Comics' AND T3.gender = 'Female'","SELECT s.eye_colour_id, s.hair_colour_id, s.skin_colour_id FROM superhero s JOIN publisher p ON s.publisher_id = p.id WHERE s.gender_id = (SELECT id FROM gender WHERE gender = 'Female') AND p.publisher_name = 'Dark Horse Comics'","SELECT s.eye_colour_id, s.hair_colour_id, s.skin_colour_id FROM superhero s JOIN publisher p ON s.publisher_id = p.id WHERE s.gender_id = (SELECT id FROM gender WHERE gender = 'Female') AND p.publisher_name = 'Dark Horse Comics'","SELECT s.eye_colour_id, s.hair_colour_id, s.skin_colour_id FROM superhero s JOIN publisher p ON s.publisher_id = p.id WHERE s.gender_id = (SELECT id FROM gender WHERE gender = 'Female') AND p.publisher_name = 'Dark Horse Comics'",1,1,1
How many percent of female heroes were published by Marvel Comics?,challenging,SELECT CAST(COUNT(CASE WHEN T2.publisher_name = 'Marvel Comics' THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(T1.id) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id INNER JOIN gender AS T3 ON T1.gender_id = T3.id WHERE T3.gender = 'Female',SELECT      (SELECT COUNT(*) FROM superhero WHERE gender_id = (SELECT id FROM gender WHERE gender = 'Female') AND publisher_id = (SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics')) * 1.0 /      (SELECT COUNT(*) FROM superhero WHERE gender_id = (SELECT id FROM gender WHERE gender = 'Female')) * 100 AS percentage FROM superhero LIMIT 1,SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM superhero WHERE gender_id = (SELECT id FROM gender WHERE gender = 'Female'))) AS percentage_female_heroes_published_by_marvel FROM superhero WHERE gender_id = (SELECT id FROM gender WHERE gender = 'Female') AND publisher_id = (SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics'),SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM superhero WHERE gender_id = (SELECT id FROM gender WHERE gender = 'Female'))) AS percentage_female_heroes_published_by_marvel FROM superhero WHERE gender_id = (SELECT id FROM gender WHERE gender = 'Female') AND publisher_id = (SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics'),0,0,0
What are the elements of the toxicology and label of molecule TR060?,challenging,"SELECT DISTINCT T1.element, T2.label FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.molecule_id = 'TR060'","SELECT atom.element, molecule.label FROM atom JOIN molecule ON atom.molecule_id = molecule.molecule_id WHERE molecule.label = 'TR060'","SELECT atom.element, molecule.label FROM atom JOIN molecule ON atom.molecule_id = molecule.molecule_id WHERE molecule.label = 'TR060'","SELECT atom.element, molecule.label FROM atom JOIN molecule ON atom.molecule_id = molecule.molecule_id WHERE molecule.label = 'TR060'",0,0,0
How much faster in percentage is the champion than the driver who finished the race last in the 2008 Australian Grand Prix?,challenging,"WITH time_in_seconds AS ( SELECT T1.positionOrder, CASE WHEN T1.positionOrder = 1 THEN (CAST(SUBSTR(T1.time, 1, 1) AS REAL) * 3600) + (CAST(SUBSTR(T1.time, 3, 2) AS REAL) * 60) + CAST(SUBSTR(T1.time, 6) AS REAL) ELSE CAST(SUBSTR(T1.time, 2) AS REAL) END AS time_seconds FROM results AS T1 INNER JOIN races AS T2 ON T1.raceId = T2.raceId WHERE T2.name = 'Australian Grand Prix' AND T1.time IS NOT NULL AND T2.year = 2008 ), champion_time AS ( SELECT time_seconds FROM time_in_seconds WHERE positionOrder = 1), last_driver_incremental AS ( SELECT time_seconds FROM time_in_seconds WHERE positionOrder = (SELECT MAX(positionOrder) FROM time_in_seconds) ) SELECT (CAST((SELECT time_seconds FROM last_driver_incremental) AS REAL) * 100) / (SELECT time_seconds + (SELECT time_seconds FROM last_driver_incremental) FROM champion_time)","SELECT      ROUND((         (SELECT MIN(r.time) FROM results r JOIN races ra ON r.raceid = ra.raceid WHERE ra.name = 'Australian Grand Prix' AND r.year = 2008) -         (SELECT r.time FROM results r JOIN races ra ON r.raceid = ra.raceid WHERE ra.name = 'Australian Grand Prix' AND r.year = 2008 ORDER BY r.time DESC LIMIT 1)     ) /      (SELECT MIN(r.time) FROM results r JOIN races ra ON r.raceid = ra.raceid WHERE ra.name = 'Australian Grand Prix' AND r.year = 2008) * 100, 2) AS speed_difference_percentage","SELECT      ROUND((         (SELECT MIN(r.time) FROM results r WHERE r.raceid = (SELECT raceid FROM races WHERE year = 2008 AND name = 'Australian Grand Prix')) -         (SELECT r2.time FROM results r2 WHERE r2.raceid = (SELECT raceid FROM races WHERE year = 2008 AND name = 'Australian Grand Prix') AND r2.position = 1)     ) * 100.0 / (         SELECT r3.time FROM results r3 WHERE r3.raceid = (SELECT raceid FROM races WHERE year = 2008 AND name = 'Australian Grand Prix') AND r3.position = (             SELECT MAX(r4.position) FROM results r4 WHERE r4.raceid = (SELECT raceid FROM races WHERE year = 2008 AND name = 'Australian Grand Prix')         )     ), 2) AS speed_difference_percentage FROM results LIMIT 1",SELECT ((SELECT MIN(r.time) FROM results r JOIN races ra ON r.raceid = ra.raceid WHERE ra.name = 'Australian Grand Prix' AND r.year = 2008) - (SELECT r.time FROM results r JOIN races ra ON r.raceid = ra.raceid WHERE ra.name = 'Australian Grand Prix' AND r.year = 2008 AND r.position = 1)) * 100.0 / (SELECT MIN(r.time) FROM results r JOIN races ra ON r.raceid = ra.raceid WHERE ra.name = 'Australian Grand Prix' AND r.year = 2008) AS speed_difference_percentage FROM dual,0,0,0
