Question,hardness,Gold,Prediction_0.1,Prediction_0.5,Prediction_1.0,EX_0.1,EX_0.5,EX_1.0
What is the total number of non-chartered schools in the county of Los Angeles with a percent (%) of eligible free meals for grades 1 through 12 that is less than 0.18%?,challenging,SELECT COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.Charter = 0 AND CAST(T1.`Free Meal Count (K-12)` AS REAL) * 100 / T1.`Enrollment (K-12)` < 0.18,SELECT COUNT(*)  FROM frpm  JOIN schools ON frpm.cdscode = schools.cdscode  WHERE schools.charter = 0  AND county = 'Los Angeles'  AND `Percent (%) eligible free (k-12)` < 0.18,SELECT COUNT(*)  FROM frpm  JOIN schools ON frpm.cdscode = schools.cdscode  WHERE schools.charter = 0  AND county = 'Los Angeles'  AND (frpm.`Free Meal Count (K-12)` * 100 / frpm.`Enrollment (K-12)`) < 0.18,SELECT COUNT(*)  FROM frpm  JOIN schools ON frpm.cdscode = schools.cdscode  WHERE schools.charter = 0  AND frpm.county_name = 'Los Angeles'  AND (frpm.`free meal count (k-12)` * 100 / frpm.`enrollment (k-12)`) < 0.18,0,1,0
What are the toxicology elements associated with bond ID TR000_1_2?,challenging,SELECT T1.element FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id = 'TR000_1_2',SELECT a.element  FROM atom a  JOIN connected c ON a.atom_id = c.atom_id  JOIN bond b ON c.bond_id = b.bond_id  WHERE b.bond_id = 'TR000_1_2',SELECT a.element  FROM atom a  JOIN connected c ON a.atom_id = c.atom_id  JOIN bond b ON c.bond_id = b.bond_id  WHERE b.bond_id = 'TR000_1_2',"SELECT a.element FROM atom a, connected c, bond b WHERE a.atom_id = c.atom_id AND b.bond_id = c.bond_id AND b.bond_id = 'TR000_1_2'",1,1,1
Which user added a bounty amount of 50 to the post title mentioning variance?,challenging,"SELECT T3.DisplayName, T1.Title FROM posts AS T1 INNER JOIN votes AS T2 ON T1.Id = T2.PostId INNER JOIN users AS T3 ON T3.Id = T2.UserId WHERE T2.BountyAmount = 50 AND T1.Title LIKE '%variance%'",SELECT users.displayname  FROM users  JOIN votes ON users.id = votes.userid  JOIN posts ON votes.postid = posts.id  WHERE votes.bountyamount = 50 AND posts.title LIKE '%variance%',SELECT users.displayname  FROM users  JOIN votes ON users.id = votes.userid  JOIN posts ON votes.postid = posts.id  WHERE votes.bountyamount = 50 AND posts.title LIKE '%variance%',"SELECT users.displayname FROM users JOIN posts ON users.id = posts.owneruserid JOIN votes ON posts.id = votes.postid WHERE votes.bountyamount = 50 AND posts.title LIKE ""%variance%""",0,0,0
What is the percentage difference of student badges given during 2010 and 2011?,challenging,"SELECT CAST(SUM(IIF(STRFTIME('%Y', Date) = '2010', 1, 0)) AS REAL) * 100 / COUNT(Id) - CAST(SUM(IIF(STRFTIME('%Y', Date) = '2011', 1, 0)) AS REAL) * 100 / COUNT(Id) FROM badges WHERE Name = 'Student'","SELECT (     (         SELECT COUNT(*) FROM badges WHERE name = 'Student' AND strftime('%Y', date) = '2010'     ) -      (         SELECT COUNT(*) FROM badges WHERE name = 'Student' AND strftime('%Y', date) = '2011'     ) ) / (     SELECT COUNT(*) FROM badges WHERE name = 'Student' ) * 100 AS 'Percentage Difference'","SELECT (     (         (             SELECT COUNT(*) FROM badges WHERE name = 'Student' AND strftime('%Y', date) = '2010'         ) * 1.0 / (SELECT COUNT(*) FROM badges)     ) -      (         (             SELECT COUNT(*) FROM badges WHERE name = 'Student' AND strftime('%Y', date) = '2011'         ) * 1.0 / (SELECT COUNT(*) FROM badges)     ) ) * 100 AS PercentageDifference","SELECT (     (         SELECT COUNT(*) FROM badges WHERE name='Student' AND strftime('%Y', date) = '2010'     )      -      (         SELECT COUNT(*) FROM badges WHERE name='Student' AND strftime('%Y', date) = '2011'     ) ) * 100.0 /  (     SELECT COUNT(*) FROM badges WHERE name='Student' ) AS 'Percentage Difference'",0,0,0
List the name of leagues in which the average goals by the home team is higher than the away team in the 2009/2010 season.,challenging,SELECT t1.name FROM League AS t1 INNER JOIN Match AS t2 ON t1.id = t2.league_id WHERE t2.season = '2009/2010' GROUP BY t1.name HAVING (CAST(SUM(t2.home_team_goal) AS REAL) / COUNT(DISTINCT t2.id)) - (CAST(SUM(t2.away_team_goal) AS REAL) / COUNT(DISTINCT t2.id)) > 0,SELECT League.name  FROM Match  JOIN League ON Match.league_id = League.id  WHERE Match.season = '2009/2010'  GROUP BY League.name  HAVING AVG(Match.home_team_goal) > AVG(Match.away_team_goal),SELECT League.name  FROM Match  JOIN League ON Match.league_id = League.id  WHERE Match.season = '2009/2010'  GROUP BY League.name  HAVING AVG(Match.home_team_goal) > AVG(Match.away_team_goal),SELECT DISTINCT League.name  FROM Match  JOIN League ON Match.league_id = League.id  WHERE Match.season = '2009/2010' GROUP BY League.name HAVING AVG(Match.home_team_goal) > AVG(Match.away_team_goal),1,1,1
Tally the toxicology element of the 4th atom of each molecule that was carcinogenic.,challenging,"SELECT DISTINCT T1.element FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND SUBSTR(T1.atom_id, -1) = '4' AND LENGTH(T1.atom_id) = 7","SELECT element, COUNT(*)  FROM atom  INNER JOIN molecule ON atom.molecule_id = molecule.molecule_id  WHERE substr(atom.atom_id, 7, 1) = '4' AND molecule.label = '+'  GROUP BY element","SELECT element, COUNT(*)  FROM atom  INNER JOIN molecule ON atom.molecule_id = molecule.molecule_id  WHERE molecule.label = '+' AND substr(atom.atom_id, 7, 1) = '4'  GROUP BY element","SELECT element, COUNT(*)  FROM atom  INNER JOIN molecule ON atom.molecule_id = molecule.molecule_id  WHERE substr(atom.atom_id, 7, 1) = '4' AND molecule.label = '+'  GROUP BY atom.element",0,0,0
"For laboratory examinations take in 1984, list all patients below 50 years old with normal platelet level.",challenging,"SELECT DISTINCT T1.ID FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.PLT BETWEEN 100 AND 400 AND STRFTIME('%Y', T2.Date) - STRFTIME('%Y', T1.Birthday) < 50 AND STRFTIME('%Y', T2.Date) = '1984'","SELECT patient.id, patient.birthday, patient.sex, laboratory.plt  FROM patient  JOIN examination ON patient.id = examination.id  JOIN laboratory ON patient.id = laboratory.id  WHERE YEAR(laboratory.date) = '1984'  AND (SUBTRACT(year(current_timestamp), year(patient.birthday)) < 50)  AND (laboratory.plt BETWEEN 100 AND 400)","SELECT patient.id, patient.birthday, patient.sex, laboratory.date, laboratory.plt  FROM patient  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE YEAR(laboratory.date) = '1984'  AND (SUBTRACT(year(current_timestamp), year(patient.birthday)) < 50)  AND (laboratory.plt BETWEEN 100 AND 400)","SELECT patient.id, patient.birthday, patient.sex, laboratory.date, laboratory.plt FROM patient INNER JOIN laboratory ON patient.id = laboratory.id WHERE (SUBTRACT(year(current_timestamp), year(patient.Birthday)) < 50) AND (YEAR(laboratory.Date) = '1984') AND (laboratory.plt BETWEEN 100 AND 400)",0,0,0
Which toxic element can be found in the molecule TR151?,challenging,SELECT DISTINCT T.element FROM atom AS T WHERE T.molecule_id = 'TR151',"SELECT element  FROM atom  INNER JOIN molecule ON atom.molecule_id = molecule.molecule_id  WHERE molecule.label = 'TR151' AND atom.element IN ('br', 'f', 'i', 'sn', 'pb', 'te')","SELECT element  FROM atom  JOIN molecule ON atom.molecule_id = molecule.molecule_id  WHERE molecule.label = 'TR151' AND atom.element IN ('br', 'f', 'i', 'sn', 'pb', 'te')","SELECT element  FROM atom  JOIN molecule ON atom.molecule_id = molecule.molecule_id  WHERE molecule.label = 'TR151' AND atom.element IN ('f', 'br', 'i', 's')",0,0,0
"Among the patients whose total bilirubin is over the normal range, how many of them have a peripheral pattern observed in the sheet of ANA examination?",challenging,SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID INNER JOIN Examination AS T3 ON T1.ID = T3.ID WHERE T2.`T-BIL` >= 2 AND T3.`ANA Pattern` LIKE '%P%',SELECT COUNT(*)  FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE T-BIL >= 2.0 AND ANA_Pattern LIKE '%P%',SELECT COUNT(*)  FROM patient  INNER JOIN examination ON patient.id = examination.id  WHERE examination.`T-BIL` >= 2.0 AND examination.`ANA Pattern` LIKE '%P%',SELECT COUNT(*)  FROM patient  INNER JOIN examination ON patient.id = examination.id  WHERE examination.`T-BIL` >= 2.0 AND examination.`ANA Pattern` LIKE '%P%',0,0,0
"Which constructor scored most points from Monaco Grand Prix between 1980 and 2010? List the score, name and nationality of this team.",challenging,"SELECT SUM(T1.points), T2.name, T2.nationality FROM constructorResults AS T1 INNER JOIN constructors AS T2 ON T1.constructorId = T2.constructorId INNER JOIN races AS T3 ON T3.raceid = T1.raceid WHERE T3.name = 'Monaco Grand Prix' AND T3.year BETWEEN 1980 AND 2010 GROUP BY T2.name ORDER BY SUM(T1.points) DESC LIMIT 1","SELECT MAX(c.points), con.name, con.nationality  FROM constructorresults AS c  JOIN constructors AS con ON c.constructorid = con.constructorid  JOIN races AS r ON c.raceid = r.raceid  WHERE r.name LIKE '%Monaco Grand Prix%' AND r.year BETWEEN 1980 AND 2010","SELECT c.name, c.nationality, SUM(cr.points) as total_points FROM constructors as c JOIN constructorresults as cr ON c.constructorid = cr.constructorid JOIN races as r ON r.raceid = cr.raceid WHERE r.name LIKE '%Monaco Grand Prix%' AND r.year BETWEEN 1980 AND 2010 GROUP BY c.constructorid ORDER BY total_points DESC LIMIT 1","SELECT c.name, c.nationality, SUM(cr.points) as TotalPoints FROM constructors as c  JOIN constructorresults as cr ON c.constructorid = cr.constructorid JOIN races as r ON r.raceid = cr.raceid WHERE r.name LIKE ""%Monaco Grand Prix%"" AND r.year BETWEEN 1980 AND 2010 GROUP BY c.constructorid ORDER BY TotalPoints DESC LIMIT 1",0,0,0
