Question,Difficulty,Ground Truth SQL,Predicted SQL,EX
"Consider the average difference between K-12 enrollment and 15-17 enrollment of schools that are locally funded, list the names and DOC type of schools which has a difference above this average.",challenging,"SELECT T2.School, T2.DOC FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.FundingType = 'Locally funded' AND (T1.`Enrollment (K-12)` - T1.`Enrollment (Ages 5-17)`) > (SELECT AVG(T3.`Enrollment (K-12)` - T3.`Enrollment (Ages 5-17)`) FROM frpm AS T3 INNER JOIN schools AS T4 ON T3.CDSCode = T4.CDSCode WHERE T4.FundingType = 'Locally funded')","SELECT school, doctype FROM frpm JOIN schools ON frpm.school = schools.school WHERE charter_funding_type = 'Local' GROUP BY school, doctype HAVING (enrollment_k_12 - enrollment_ages_5_17) > ( SELECT AVG(enrollment_k_12 - enrollment_ages_5_17) FROM frpm WHERE charter_funding_type = 'Local' )",0
Under whose administration is the school with the highest number of students scoring 1500 or more on the SAT? Indicate their full names.,challenging,"SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmFName2, T2.AdmLName2, T2.AdmFName3, T2.AdmLName3 FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1","SELECT admfname1, admlname1, admfname2, admlname2, admfname3, admlname3 FROM satscores JOIN schools ON satscores.cds = schools.cdscode WHERE numge1500 = (SELECT MAX(numge1500) FROM satscores)",1
What is the total number of non-chartered schools in the county of Los Angeles with a percent (%) of eligible free meals for grades 1 through 12 that is less than 0.18%?,challenging,SELECT COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.Charter = 0 AND CAST(T1.`Free Meal Count (K-12)` AS REAL) * 100 / T1.`Enrollment (K-12)` < 0.18,SELECT COUNT(*) FROM frpm JOIN schools ON frpm.cdscode = schools.cdscode WHERE (frpm.county_name = 'Los Angeles' OR schools.county = 'Los Angeles') AND (frpm.`percent (%) eligible free (k-12)` < 0.18) AND (frpm.`charter school (y/n)` = 0 OR schools.charter = 0),0
"Of the schools that offers a magnet program serving a grade span of Kindergarten to 8th grade, how many offers Multiple Provision Types? List the number of cities that offers a Kindergarten to 8th grade span and indicate how many schools are there serving such grade span for each city.",challenging,"SELECT T2.City, COUNT(T2.CDSCode) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T2.GSoffered = 'K-8' AND T1.`NSLP Provision Status` = 'Multiple Provision Types' GROUP BY T2.City","SELECT COUNT(*) AS num_schools, schools.city FROM frpm JOIN schools ON frpm.cdscode = schools.cdscode WHERE schools.magnet = 1 AND frpm.low_grade <= 8 AND frpm.high_grade >= 5 AND frpm.nslp_provision_status = 'Multiple Provision Types' GROUP BY schools.city",0
"What are the valid e-mail addresses of the administrator of the school located in the San Bernardino county, City of San Bernardino City Unified that opened between 1/1/2009 to 12/31/2010 whose school types are public Intermediate/Middle Schools and Unified Schools?",challenging,"SELECT T2.AdmEmail1, T2.AdmEmail2 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'San Bernardino' AND T2.City = 'San Bernardino' AND T2.DOC = 54 AND strftime('%Y', T2.OpenDate) BETWEEN '2009' AND '2010' AND T2.SOC = 62","SELECT admemail1, admemail2, admemail3 FROM schools WHERE county = 'San Bernardino' AND city = 'San Bernardino City Unified' AND opendate BETWEEN '2009-01-01' AND '2009-12-31' AND (soc = 62 OR doc = 54)",0
"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary?",challenging,"SELECT T1.account_id , ( SELECT MAX(A11) - MIN(A11) FROM district ) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T1.account_id = T3.account_id INNER JOIN client AS T4 ON T3.client_id = T4.client_id WHERE T2.district_id = ( SELECT district_id FROM client WHERE gender = 'F' ORDER BY birth_date ASC LIMIT 1 ) ORDER BY T2.A11 DESC LIMIT 1","SELECT account.account_id, MIN(AVG(trans.amount)) AS lowest_avg_salary, MAX(AVG(trans.amount)) AS highest_avg_salary, MAX(AVG(trans.amount)) - MIN(AVG(trans.amount)) AS salary_gap FROM account JOIN client ON account.account_id = client.account_id JOIN trans ON account.account_id = trans.account_id WHERE client.gender = 'F' GROUP BY client.client_id ORDER BY client.birth_date ASC LIMIT 1",0
"For the branch which located in the south Bohemia with biggest number of inhabitants, what is the percentage of the male clients?",challenging,SELECT CAST(SUM(T1.gender = 'M') AS REAL) * 100 / COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A3 = 'south Bohemia' GROUP BY T2.A4 ORDER BY T2.A4 DESC LIMIT 1,"SELECT DIVIDE(COUNT(CASE WHEN gender = 'M' THEN 1 END), COUNT(*)) * 100 AS percentage_male_clients FROM client JOIN district ON client.district_id = district.district_id WHERE district.a3 = 'South Bohemia' GROUP BY district.district_id ORDER BY district.a4 DESC LIMIT 1",0
"For the client whose loan was approved first in 1993/7/5, what is the increase rate of his/her account balance from 1993/3/22 to 1998/12/27?",challenging,"SELECT CAST((SUM(IIF(T3.date = '1998-12-27', T3.balance, 0)) - SUM(IIF(T3.date = '1993-03-22', T3.balance, 0))) AS REAL) * 100 / SUM(IIF(T3.date = '1993-03-22', T3.balance, 0)) FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T3.account_id = T2.account_id WHERE T1.date = '1993-07-05'","WITH first_loan AS ( SELECT account_id FROM loan WHERE status = 'approved' ORDER BY date LIMIT 1 ), balance_a AS ( SELECT balance FROM trans WHERE account_id = (SELECT account_id FROM first_loan) AND date = '1993-03-22' ), balance_b AS ( SELECT balance FROM trans WHERE account_id = (SELECT account_id FROM first_loan) AND date = '1998-12-27' ) SELECT ((SELECT balance FROM balance_b) - (SELECT balance FROM balance_a)) / (SELECT balance FROM balance_a) * 100 AS increase_rate",0
"For loans contracts which are still running where client are in debt, list the district of the and the state the percentage unemployment rate increment from year 1995 to 1996.",challenging,SELECT CAST((T3.A13 - T3.A12) AS REAL) * 100 / T3.A12 FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T1.status = 'D',"SELECT district.district_id, ((A13 - A12) / A12) * 100 AS unemployment_increment FROM loan JOIN account ON loan.account_id = account.account_id JOIN disp ON account.account_id = disp.account_id JOIN client ON disp.client_id = client.client_id JOIN district ON client.district_id = district.district_id WHERE loan.status = 'D'",0
"Please list the account types that are not eligible for loans, and the average income of residents in the district where the account is located exceeds $8000 but is no more than $9000.",challenging,SELECT T3.type FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T2.account_id = T3.account_id WHERE T3.type != 'OWNER' AND T1.A11 BETWEEN 8000 AND 9000,SELECT disp.type FROM account JOIN disp ON account.account_id = disp.account_id JOIN district ON disp.district_id = district.district_id WHERE disp.type <> 'OWNER' GROUP BY disp.type HAVING AVG(district.a11) BETWEEN 8000 AND 9000,0
