Question,Difficulty,Ground Truth SQL,Predicted SQL,EX
"Consider the average difference between K-12 enrollment and 15-17 enrollment of schools that are locally funded, list the names and DOC type of schools which has a difference above this average.",challenging,"SELECT T2.School, T2.DOC FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.FundingType = 'Locally funded' AND (T1.`Enrollment (K-12)` - T1.`Enrollment (Ages 5-17)`) > (SELECT AVG(T3.`Enrollment (K-12)` - T3.`Enrollment (Ages 5-17)`) FROM frpm AS T3 INNER JOIN schools AS T4 ON T3.CDSCode = T4.CDSCode WHERE T4.FundingType = 'Locally funded')","SELECT s.school, s.doctype FROM schools s JOIN frpm f ON s.cdscode = f.cdscode WHERE s.fundingtype = 'Locally Funded' AND (f.enrollment_k_12 - f.enrollment_ages_5_17) > ( SELECT AVG(f2.enrollment_k_12 - f2.enrollment_ages_5_17) FROM frpm f2 JOIN schools s2 ON f2.cdscode = s2.cdscode WHERE s2.fundingtype = 'Locally Funded' )",0
Under whose administration is the school with the highest number of students scoring 1500 or more on the SAT? Indicate their full names.,challenging,"SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmFName2, T2.AdmLName2, T2.AdmFName3, T2.AdmLName3 FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1","SELECT a.admfname1, a.admlname1, a.admfname2, a.admlname2, a.admfname3, a.admlname3 FROM schools s JOIN ( SELECT s.cdscode, COUNT(*) AS num_students_ge1500 FROM schools s JOIN satscores ss ON s.cdscode = ss.cds WHERE ss.numge1500 > 0 GROUP BY s.cdscode ORDER BY num_students_ge1500 DESC LIMIT 1 ) highest_num_students ON s.cdscode = highest_num_students.cdscode LEFT JOIN ( SELECT s.cdscode, a.admfname1, a.admlname1, a.admfname2, a.admlname2, a.admfname3, a.admlname3 FROM schools s JOIN ( SELECT s.cdscode, a.admfname, a.admlname FROM schools s JOIN administrators a ON s.cdscode = a.school_cdscode ) a ON s.cdscode = a.cdscode ) admin ON s.cdscode = admin.cdscode",0
What is the total number of non-chartered schools in the county of Los Angeles with a percent (%) of eligible free meals for grades 1 through 12 that is less than 0.18%?,challenging,SELECT COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.Charter = 0 AND CAST(T1.`Free Meal Count (K-12)` AS REAL) * 100 / T1.`Enrollment (K-12)` < 0.18,SELECT COUNT(*) FROM schools WHERE county = 'Los Angeles' AND charter = 0 AND (`Free Meal Count (K-12)` * 100 / `Enrollment (K-12)`) < 0.18,0
"Of the schools that offers a magnet program serving a grade span of Kindergarten to 8th grade, how many offers Multiple Provision Types? List the number of cities that offers a Kindergarten to 8th grade span and indicate how many schools are there serving such grade span for each city.",challenging,"SELECT T2.City, COUNT(T2.CDSCode) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Magnet = 1 AND T2.GSoffered = 'K-8' AND T1.`NSLP Provision Status` = 'Multiple Provision Types' GROUP BY T2.City","SELECT s.city, COUNT(s.school) AS num_schools FROM schools s JOIN frpm f ON s.cdscode = f.cdscode WHERE f.educational_option_type = 'K-8' AND s.magnet = 1 AND f.nslp_provision_status = 'Multiple Provision Types' GROUP BY s.city ORDER BY num_schools DESC",0
"What are the valid e-mail addresses of the administrator of the school located in the San Bernardino county, City of San Bernardino City Unified that opened between 1/1/2009 to 12/31/2010 whose school types are public Intermediate/Middle Schools and Unified Schools?",challenging,"SELECT T2.AdmEmail1, T2.AdmEmail2 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'San Bernardino' AND T2.City = 'San Bernardino' AND T2.DOC = 54 AND strftime('%Y', T2.OpenDate) BETWEEN '2009' AND '2010' AND T2.SOC = 62","SELECT admemail1, admemail2, admemail3 FROM schools WHERE county = 'San Bernardino' AND city = 'San Bernardino City Unified' AND opendate BETWEEN '2009-01-01' AND '2010-12-31' AND (SOC = 62 OR DOC = 54)",0
"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary?",challenging,"SELECT T1.account_id , ( SELECT MAX(A11) - MIN(A11) FROM district ) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T1.account_id = T3.account_id INNER JOIN client AS T4 ON T3.client_id = T4.client_id WHERE T2.district_id = ( SELECT district_id FROM client WHERE gender = 'F' ORDER BY birth_date ASC LIMIT 1 ) ORDER BY T2.A11 DESC LIMIT 1",SELECT d.a11 AS lowest_average_salary FROM client c JOIN district d ON c.district_id = d.district_id WHERE c.gender = 'F' ORDER BY c.birth_date ASC LIMIT 1 SELECT d.a11 AS highest_average_salary FROM client c JOIN district d ON c.district_id = d.district_id WHERE c.gender = 'F' ORDER BY c.birth_date DESC LIMIT 1 SELECT (highest_average_salary - lowest_average_salary) AS salary_gap FROM ( SELECT d.a11 AS lowest_average_salary FROM client c JOIN district d ON c.district_id = d.district_id WHERE c.gender = 'F' ORDER BY c.birth_date ASC LIMIT 1 ) AS lowest CROSS JOIN ( SELECT d.a11 AS highest_average_salary FROM client c JOIN district d ON c.district_id = d.district_id WHERE c.gender = 'F' ORDER BY c.birth_date DESC LIMIT 1 ) AS highest,0
"For the branch which located in the south Bohemia with biggest number of inhabitants, what is the percentage of the male clients?",challenging,SELECT CAST(SUM(T1.gender = 'M') AS REAL) * 100 / COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A3 = 'south Bohemia' GROUP BY T2.A4 ORDER BY T2.A4 DESC LIMIT 1,SELECT (COUNT(client.client_id) FILTER (WHERE client.gender = 'M') / COUNT(client.client_id)) * 100 AS percentage_male_clients FROM client JOIN district ON client.district_id = district.district_id WHERE district.a3 = 'South Bohemia',0
"For the client whose loan was approved first in 1993/7/5, what is the increase rate of his/her account balance from 1993/3/22 to 1998/12/27?",challenging,"SELECT CAST((SUM(IIF(T3.date = '1998-12-27', T3.balance, 0)) - SUM(IIF(T3.date = '1993-03-22', T3.balance, 0))) AS REAL) * 100 / SUM(IIF(T3.date = '1993-03-22', T3.balance, 0)) FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T3.account_id = T2.account_id WHERE T1.date = '1993-07-05'","SELECT ((balance_date_A - balance_date_B) / balance_date_B) * 100 AS increase_rate FROM (SELECT t1.balance AS balance_date_A, t2.balance AS balance_date_B FROM trans t1 JOIN trans t2 ON t1.account_id = t2.account_id WHERE t1.date = '1998-12-27' AND t2.date = '1993-03-22' ) AS subquery JOIN loan ON subquery.account_id = loan.account_id WHERE loan.date = '1993-07-05' LIMIT 1",0
"For loans contracts which are still running where client are in debt, list the district of the and the state the percentage unemployment rate increment from year 1995 to 1996.",challenging,SELECT CAST((T3.A13 - T3.A12) AS REAL) * 100 / T3.A12 FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T1.status = 'D',"SELECT d.a2 AS district, d.a3 AS state, ((d.a13 - d.a12) / d.a12) * 100 AS unemployment_rate_increment FROM district d JOIN disp d1 ON d.district_id = d1.district_id JOIN loan l ON d1.account_id = l.account_id WHERE l.status = 'D' AND d.a12 IS NOT NULL AND d.a13 IS NOT NULL",0
"Please list the account types that are not eligible for loans, and the average income of residents in the district where the account is located exceeds $8000 but is no more than $9000.",challenging,SELECT T3.type FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T2.account_id = T3.account_id WHERE T3.type != 'OWNER' AND T1.A11 BETWEEN 8000 AND 9000,SELECT a.type FROM account a JOIN district d ON a.district_id = d.district_id WHERE a.account_id NOT IN ( SELECT account_id FROM loan ) AND d.a11 > 8000 AND d.a11 <= 9000,0
