Question,Hardness,Gold,Without Description,With Description,EM Without,EX Without,EM With,EX With,SYM_DIFF_Without,SYM_DIFF_With
How many singers do we have?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1,1,1,1,1
What is the total number of singers?,easy,SELECT count(*) FROM singer,SELECT COUNT(singer_id) FROM singer,SELECT COUNT(*) AS total_singers FROM singer,0,1,0,1,1,1
"Show name, country, age for all singers ordered by age from the oldest to the youngest.",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",1,1,1,1,1,1
"What are the names, countries, and ages for every singer in descending order of age?",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",1,1,1,1,1,1
"What is the average, minimum, and maximum age of all singers from France?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France'",0,1,0,1,1,1
"What is the average, minimum, and maximum age for all French singers?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'French'",0,1,0,0,1,0
Show the name and the release year of the song by the youngest singer.,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer)","SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer)",0,1,0,1,1,1
What are the names and release years for all the songs of the youngest singer?,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer)","SELECT song_name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)",0,1,0,1,1,1
What are all distinct countries where singers above age 20 are from?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20,1,1,1,1,1,1
What are  the different countries with singers above age 20?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20,1,1,1,1,1,1
Show all countries and the number of singers in each country.,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(singer_id) AS num_singers FROM singer GROUP BY country","SELECT country, COUNT(singer_id) AS num_singers FROM singer GROUP BY country",0,1,0,1,1,1
How many singers are from each country?,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(singer_id) AS num_singers FROM singer GROUP BY country","SELECT country, COUNT(singer_id) AS num_singers FROM singer GROUP BY country",0,1,0,1,1,1
List all song names by singers above the average age.,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.song_name FROM singer s WHERE s.age > (SELECT AVG(age) FROM singer),SELECT song_name FROM singer WHERE age > (SELECT AVG(age) FROM singer),0,1,1,1,1,1
