Question,Hardness,Gold,Without Description,With Description,EM Without,EX Without,EM With,EX With,SYM_DIFF_Without,SYM_DIFF_With
How many singers do we have?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1,1,1,1,1
What is the total number of singers?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1,1,1,1,1
"Show name, country, age for all singers ordered by age from the oldest to the youngest.",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT s.name, s.country, s.age FROM singer AS s ORDER BY s.age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",1,1,1,1,1,1
"What are the names, countries, and ages for every singer in descending order of age?",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT s.name, s.country, s.age FROM singer AS s ORDER BY s.age DESC","SELECT Name, Country, Age FROM Singer ORDER BY Age DESC",1,1,1,1,1,1
"What is the average, minimum, and maximum age of all singers from France?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France' AND is_male = 1","SELECT AVG(age) AS Average_Age, MIN(age) AS Min_Age, MAX(age) AS Max_Age FROM singer WHERE country = 'France' AND is_male = TRUE",0,0,0,0,0,0
"What is the average, minimum, and maximum age for all French singers?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) AS average_age, MIN(age) AS min_age, MAX(age) AS max_age FROM singer WHERE country = 'France' AND is_male = 1","SELECT AVG(age) AS Average_Age, MIN(age) AS Min_Age, MAX(age) AS Max_Age FROM singer WHERE country = 'France' AND is_male = 'F'",0,0,0,0,0,0
Show the name and the release year of the song by the youngest singer.,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.name, s.song_release_year FROM singer AS s WHERE s.age = (SELECT MIN(s2.age) FROM singer AS s2)","SELECT s.name AS singer_name, ss.song_release_year AS song_release_year FROM singer AS s JOIN (SELECT si.singer_id, si.song_release_year FROM singer_in_concert AS sic JOIN singer AS si ON sic.singer_id = si.singer_id) AS ss ON s.singer_id = ss.singer_id WHERE s.age = (SELECT MIN(s2.age) FROM singer AS s2)",0,0,0,0,0,0
What are the names and release years for all the songs of the youngest singer?,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.name AS singer_name, so.song_name AS song_name, so.release_year AS song_release_year FROM singer AS s INNER JOIN (SELECT si.singer_id FROM singer AS si ORDER BY si.age ASC LIMIT 1) AS youngest_singer ON s.singer_id = youngest_singer.youngest_singer_id INNER JOIN song AS so ON s.singer_id = so.song_owner_id","SELECT s.name AS song_name, s.song_release_year FROM song s INNER JOIN singer y ON y.youngest_singer = s.singer_id WHERE y.age = MIN(y.age) ORDER BY s.song_release_year",0,0,0,0,0,0
What are all distinct countries where singers above age 20 are from?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20,1,1,1,1,1,1
What are  the different countries with singers above age 20?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT s.country FROM singer AS s WHERE s.age > 20,SELECT DISTINCT Country FROM Singer WHERE Age > 20,1,1,1,1,1,1
