Question,Hardness,Gold,Without Description,With Description,EM Without,EX Without,EM With,EX With
How many singers do we have?,easy,SELECT count(*) FROM singer,NULL,SELECT COUNT(*) FROM singer,0,0,True,1
What is the total number of singers?,easy,SELECT count(*) FROM singer,NULL,SELECT COUNT(*) FROM singer,0,0,True,1
"Show name, country, age for all singers ordered by age from the oldest to the youngest.",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",True,1,True,1
"What are the names, countries, and ages for every singer in descending order of age?",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT s.name, s.country, s.age FROM singer AS s ORDER BY s.age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",True,1,True,1
"What is the average, minimum, and maximum age of all singers from France?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",NULL,"SELECT AVG(age) AS Average_Age, MIN(age) AS Minimum_Age, MAX(age) AS Maximum_Age FROM singer WHERE country = 'France' AND is_male = 1",0,0,0,0
"What is the average, minimum, and maximum age for all French singers?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",NULL,"SELECT AVG(age) AS Average_Age, MIN(age) AS Min_Age, MAX(age) AS Max_Age FROM singer WHERE country = 'France' AND is_male = 'T'",0,0,0,0
Show the name and the release year of the song by the youngest singer.,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT * FROM singer ORDER BY age ASC LIMIT 1"", engine)  # getting the song name and release year of that song by this singer song_details = pd.read_sql_query(f""SELECT song_name, song_release_year FROM singer WHERE singer_id={youngest_singer['singer_id']}"", engine)   print(f""","SELECT Name, Song_release_year FROM Singer WHERE Age=(SELECT MIN(Age) FROM Singer)",0,0,0,0
What are the names and release years for all the songs of the youngest singer?,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",NULL,"SELECT name, song_release_year FROM singer ORDER BY age ASC LIMIT 1",0,0,0,0
What are all distinct countries where singers above age 20 are from?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,NULL,SELECT DISTINCT country FROM singer WHERE age > 20,0,0,True,1
What are  the different countries with singers above age 20?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,NULL,SELECT DISTINCT Country FROM Singer WHERE Age > 20,0,0,True,1
Show all countries and the number of singers in each country.,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(singer_id)  FROM singer  GROUP BY country","SELECT COUNTRY, COUNT(*) FROM SINGER GROUP BY COUNTRY",0,1,True,1
How many singers are from each country?,medium,"SELECT country ,  count(*) FROM singer GROUP BY country",NULL,"SELECT Country, COUNT(*) FROM Singer GROUP BY Country",0,0,True,1
List all song names by singers above the average age.,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.song_name FROM singer AS s INNER JOIN (SELECT c.concert_id FROM concert AS c INNER JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id) AS cc ON s.singer_id = cc.singer_id WHERE s.age > (SELECT AVG(age) FROM singer),SELECT Song_Name FROM Singer WHERE Age > (SELECT AVG(Age) FROM Singer),0,0,True,1
What are all the song names by singers who are older than average?,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),NULL,SELECT Song_Name FROM Singer WHERE Age > (SELECT AVG(Age) FROM Singer),0,0,True,1
Show location and name for all stadiums with a capacity between 5000 and 10000.,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",NULL,"SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",0,0,True,1
What are the locations and names of all stations with capacity between 5000 and 10000?,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM station WHERE capacity BETWEEN 5000 AND 10000",True,1,0,0
What is the maximum capacity and the average of all stadiums ?,medium,"select max(capacity), average from stadium",SELECT MAX(capacity) FROM stadium,"SELECT MAX(capacity), AVG(average) FROM stadium WHERE stadium_id=stadium_id",0,0,0,0
What is the average and maximum capacities for all stadiums ?,medium,"select avg(capacity) ,  max(capacity) from stadium",select all stadium records. ,"SELECT AVG(capacity), MAX(capacity) FROM stadium",0,0,True,1
What is the name and capacity for the stadium with highest average attendance?,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity  FROM stadium  ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadium WHERE highest = (SELECT MAX(average) FROM stadium)",True,1,0,0
What is the name and capacity for the stadium with the highest average attendance?,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",NULL,"SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)",0,0,0,1
How many concerts are there in year 2014 or 2015?,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,NULL,"SELECT COUNT(*) FROM (SELECT year FROM concert WHERE year IN (2014, 2015)) AS subquery",0,0,0,1
How many concerts occurred in 2014 or 2015?,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,NULL,"SELECT COUNT(*) FROM Concert WHERE Year IN (2014, 2015)",0,0,0,1
Show the stadium name and the number of concerts in each stadium.,medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT s.name, COUNT(c.concert_id)  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  GROUP BY s.name","SELECT s.name, COUNT(c.concert_id) FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY s.name",0,1,0,1
"For each stadium, how many concerts play there?",medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",NULL,"SELECT s.name AS stadium_name, COUNT(c.concert_id) as num_of_concerts FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY stadium_name",0,0,0,1
Show the stadium name and capacity with most number of concerts in year 2014 or after.,extra,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",NULL,"SELECT stadium.name, stadium.capacity FROM stadium INNER JOIN (SELECT concert.stadium_id, COUNT(*) as num_concerts FROM concert WHERE YEAR(concert.date) >= 2014 GROUP BY concert.stadium_id ORDER BY num_concerts DESC LIMIT 1) AS most_concerts ON stadium.stadium_id = most_concerts.stadium_id",0,0,0,0
What is the name and capacity of the stadium with the most concerts after 2013 ?,extra,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT * FROM stadium INNER JOIN (SELECT stadium_id, COUNT(*) as concert_count FROM concert WHERE year > 2013 GROUP BY stadium_id) as stadium_with_concerts ON stadium.stadium_id = stadium_with_concerts.stadium_id ORDER BY stadium_with_concerts.concert_count DESC, stadium.capacity DESC LIMIT 1","SELECT name, capacity FROM stadium WHERE stadium_id = (SELECT stadium_id FROM concert WHERE year > 2013 ORDER BY name DESC LIMIT 1)",0,0,0,0
Which year has most number of concerts?,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,NULL,"SELECT Year, COUNT(*) as num_concerts FROM Concert GROUP BY Year ORDER BY num_concerts DESC LIMIT 1",0,0,0,0
What is the year that had the most concerts?,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,NULL,"SELECT Year, COUNT(*) as num_concerts FROM Concert GROUP BY Year ORDER BY num_concerts DESC LIMIT 1",0,0,0,0
