Question,Hardness,Gold,Without Description,With Description,EM Without,EX Without,EM With,EX With
How many singers do we have?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1,1,1
What is the total number of singers?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1,1,1
"Show name, country, age for all singers ordered by age from the oldest to the youngest.",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",1,1,1,1
"What are the names, countries, and ages for every singer in descending order of age?",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",1,1,1,1
"What is the average, minimum, and maximum age of all singers from France?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'",1,1,1,1
"What is the average, minimum, and maximum age for all French singers?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'",1,1,1,1
Show the name and the release year of the song by the youngest singer.,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT T1.song_name, T1.song_release_year FROM singer AS T1 ORDER BY T1.age ASC LIMIT 1","SELECT T2.song_name, T2.song_release_year FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.singer_id = T2.singer_id ORDER BY T1.age ASC LIMIT 1",1,1,0,0
What are the names and release years for all the songs of the youngest singer?,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT song_name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)",select the first one. ,0,1,0,0
What are all distinct countries where singers above age 20 are from?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20,1,1,1,1
What are  the different countries with singers above age 20?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20,1,1,1,1
Show all countries and the number of singers in each country.,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country ,  COUNT(*) FROM singer GROUP BY country","SELECT country ,  COUNT(*) FROM singer GROUP BY country",1,1,1,1
How many singers are from each country?,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(*) FROM singer GROUP BY country",NULL,1,1,0,0
List all song names by singers above the average age.,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT song_name FROM singer WHERE age > (SELECT AVG(age) FROM singer),NULL,1,1,0,0
What are all the song names by singers who are older than average?,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT song_name FROM singer WHERE age > (SELECT AVG(age) FROM singer),SELECT song_name FROM singer WHERE age > ( SELECT AVG(age) FROM singer ),1,1,1,1
Show location and name for all stadiums with a capacity between 5000 and 10000.,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1,1,1,1
What are the locations and names of all stations with capacity between 5000 and 10000?,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1,1,1,1
What is the maximum capacity and the average of all stadiums ?,medium,"select max(capacity), average from stadium","SELECT max(capacity) ,  avg(capacity) FROM stadium","SELECT max(capacity) ,  avg(capacity) FROM stadium",0,0,0,0
