Question,difficulty,Ground Truth SQL,Basic Predicted SQL,Advanced Predicted SQL,EX Basic,EX Advanced
What is the highest eligible free rate for K-12 students in the schools in Alameda County?,simple,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,"SELECT MAX(eligible_free_rate) AS highest_eligible_free_rate FROM (     SELECT ""percent (%) eligible free (k-12)"" AS eligible_free_rate     FROM frpm     JOIN schools ON frpm.""cdscode"" = schools.""cdscode""     WHERE schools.""county"" = 'Alameda' ) AS subquery",SELECT MAX(CAST(T1.`Free Meal Count (K-12)` AS REAL) / T1.`Enrollment (K-12)`) AS MaxEligibleFreeRate FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Alameda',1,1
Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,moderate,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,"SELECT ""percent (%) eligible free (ages 5-17)"" FROM frpm WHERE ""educational option type"" = 'Continuation' ORDER BY ""percent (%) eligible free (ages 5-17)"" ASC LIMIT 3",SELECT `percent (%) eligible free (ages 5-17)` FROM frpm WHERE `educational option type` = 'Continuation' ORDER BY `percent (%) eligible free (ages 5-17)` ASC LIMIT 3,0,0
Please list the zip code of all the charter schools in Fresno County Office of Education.,simple,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,"SELECT DISTINCT s.zip FROM schools s JOIN frpm f ON s.cdscode = f.cdscode WHERE f.""charter school (y/n)"" = 1 AND s.county = 'Fresno County Office of Education'",SELECT DISTINCT T2.zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,0,0
What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,simple,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,"SELECT mailstreet, mailcity, mailstate, mailzip FROM schools ORDER BY frpm_count_k_12 DESC LIMIT 1","SELECT T2.mailstreet, T2.mailstrabr, T2.mailcity, T2.mailzip, T2.mailstate FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1",0,0
Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,moderate,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',SELECT phone FROM schools WHERE charter = 1 AND opendate > '2000-01-01',SELECT T2.phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.Charter = 1 AND T2.fundingtype = 'Charter' AND T2.opendate > '2000-01-01',0,0
How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,simple,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,SELECT COUNT(*) FROM satscores s JOIN schools sch ON s.cds = sch.cdscode WHERE s.avgscrmath > 400 AND sch.virtual = 'F',SELECT COUNT(T2.school) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.cdscode WHERE T1.avgscrmath > 400 AND T2.virtual = 'F',1,1
"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.",simple,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,"SELECT s.school, s.cdscode, s.magnet FROM schools s JOIN satscores sc ON s.cdscode = sc.cds WHERE sc.numtsttakr > 500 AND s.magnet = 1","SELECT DISTINCT T2.School, T2.DOC FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.cdscode WHERE T1.numtsttakr > 500 AND T2.Magnet = 1",0,0
What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,simple,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,SELECT phone FROM schools JOIN satscores ON schools.cdscode = satscores.cds WHERE satscores.numtsttakr = (     SELECT MAX(numtsttakr)     FROM satscores     WHERE numge1500 > 0 ) LIMIT 1,SELECT T2.phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.cdscode WHERE T1.numtsttakr = (SELECT MAX(numtsttakr) FROM satscores) AND T1.avgscrmath > 1500,1,0
What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,simple,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),SELECT MAX(frpm.frpm_count_k_12) AS max_frpm_count FROM frpm,SELECT T2.numtsttakr FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.cdscode = T2.cds WHERE T1.`frpm count (k-12)` = (SELECT MAX(T3.`frpm count (k-12)`) FROM frpm AS T3) ORDER BY T2.numtsttakr DESC LIMIT 1,0,1
"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",simple,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',SELECT COUNT(*) AS charter_funded_schools FROM satscores JOIN schools ON satscores.cds = schools.cdscode WHERE avgscrmath > 560 AND schools.charter = 'Y',SELECT COUNT(*) FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.cdscode = T2.cds WHERE T1.fundingtype = 'Charter-funded' AND T2.avgscrmath > 560,0,0
