Question,Hardness,Gold,Without Description,With Description,EM Without,EX Without,EM With,EX With
How many singers do we have?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) AS NumberOfSingers FROM singer,SELECT COUNT(*) AS NumberOfSingers FROM singer,0,1,0,1
What is the total number of singers?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) AS total_singers FROM singer,SELECT COUNT(*) AS total_singers FROM singer,0,1,0,1
"Show name, country, age for all singers ordered by age from the oldest to the youngest.",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name, Country, Age FROM singer ORDER BY Age DESC","SELECT Name, Country, Age FROM singer ORDER BY Age DESC",1,1,1,1
"What are the names, countries, and ages for every singer in descending order of age?",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name, Country, Age FROM singer ORDER BY Age DESC","SELECT Name, Country, Age FROM singer ORDER BY Age DESC",1,1,1,1
"What is the average, minimum, and maximum age of all singers from France?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(Age) AS Average_Age, MIN(Age) AS Minimum_Age, MAX(Age) AS Maximum_Age FROM singer WHERE Country = 'France'","SELECT AVG(Age) AS Average_Age, MIN(Age) AS Minimum_Age, MAX(Age) AS Maximum_Age FROM singer WHERE Country = 'France'",0,1,0,1
"What is the average, minimum, and maximum age for all French singers?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(Age) AS Average_Age, MIN(Age) AS Minimum_Age, MAX(Age) AS Maximum_Age FROM singer WHERE Country = 'France'","SELECT AVG(Age) AS Average_Age, MIN(Age) AS Minimum_Age, MAX(Age) AS Maximum_Age FROM singer WHERE Country = 'France'",0,1,0,1
Show the name and the release year of the song by the youngest singer.,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT Name, Song_release_year FROM singer ORDER BY Age DESC LIMIT 1","SELECT Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer)",0,0,0,0
What are the names and release years for all the songs of the youngest singer?,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer)","SELECT Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer)",0,0,0,0
What are all distinct countries where singers above age 20 are from?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT Country FROM singer WHERE Age > 20,SELECT DISTINCT Country FROM singer WHERE Age > 20,1,1,1,1
What are  the different countries with singers above age 20?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT Country FROM singer WHERE Age > 20,SELECT DISTINCT Country FROM singer WHERE Age > 20,1,1,1,1
Show all countries and the number of singers in each country.,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT Country, COUNT(Singer_ID) AS NumberOfSingers FROM singer GROUP BY Country ORDER BY NumberOfSingers DESC","SELECT Country, COUNT(Singer_ID) AS NumberOfSingers FROM singer GROUP BY Country ORDER BY NumberOfSingers DESC",0,1,0,1
How many singers are from each country?,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT Country, COUNT(*) AS NumberOfSingers FROM singer GROUP BY Country","SELECT Country, COUNT(*) AS NumberOfSingers FROM singer GROUP BY Country ORDER BY NumberOfSingers DESC",0,1,0,1
List all song names by singers above the average age.,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.Song_Name FROM singer s WHERE s.Age > (SELECT AVG(Age) FROM singer),SELECT s.Song_Name FROM singer s WHERE s.Age > (SELECT AVG(Age) FROM singer),0,1,0,1
What are all the song names by singers who are older than average?,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.Song_Name FROM singer s WHERE s.Age > (SELECT AVG(Age) FROM singer),SELECT s.Song_Name FROM singer s WHERE s.Age > (SELECT AVG(Age) FROM singer),0,1,0,1
Show location and name for all stadiums with a capacity between 5000 and 10000.,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",1,1,1,1
