Question,Hardness,Gold,Without Description,With Description,EM Without,EX Without,EM With,EX With
How many singers do we have?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1,1,1
What is the total number of singers?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1,1,1
"Show name, country, age for all singers ordered by age from the oldest to the youngest.",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name, Country, Age FROM singer ORDER BY Age DESC","SELECT Name, Country, Age  FROM singer  ORDER BY Age DESC",1,1,1,1
"What are the names, countries, and ages for every singer in descending order of age?",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name, Country, Age  FROM singer  ORDER BY Age DESC","SELECT Name, Country, Age  FROM singer  ORDER BY Age DESC",1,1,1,1
"What is the average, minimum, and maximum age of all singers from France?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(Age), MIN(Age), MAX(Age)  FROM singer  WHERE Country = 'France'","SELECT AVG(Age), MIN(Age), MAX(Age)  FROM singer  WHERE Country = 'France'",1,1,1,1
"What is the average, minimum, and maximum age for all French singers?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(Age), MIN(Age), MAX(Age)  FROM singer  WHERE Country = 'France'","SELECT AVG(Age) AS Average_Age, MIN(Age) AS Min_Age, MAX(Age) AS Max_Age FROM singer WHERE Country = 'France'",1,1,0,1
Show the name and the release year of the song by the youngest singer.,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.Name, s.Song_release_year FROM singer AS s INNER JOIN (     SELECT si.Singer_ID     FROM singer_in_concert AS si     INNER JOIN concert AS c ON si.concert_ID = c.concert_ID     INNER JOIN stadium AS st ON c.Stadium_ID = st.Stadium_ID     ORDER BY s.Age ASC     LIMIT 1 ) AS youngest_singer ON s.Singer_ID = youngest_singer.Singer_ID","SELECT s.Name, s.Song_Name, s.Song_release_year FROM singer s WHERE s.Age = (SELECT MIN(Age) FROM singer) ",0,0,0,0
What are the names and release years for all the songs of the youngest singer?,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.Name, s.Song_Name, s.Song_release_year FROM singer AS s INNER JOIN singer_in_concert ASsic ON s.Singer_ID = sic.Singer_ID INNER JOIN concert AS c ON sic.concert_ID = c.concert_ID WHERE s.Age = (SELECT MIN(Age) FROM singer) ","SELECT s.Name, s.Song_Name, s.Song_release_year FROM singer AS s WHERE s.Age = (SELECT MIN(Age) FROM singer) ",0,0,0,0
What are all distinct countries where singers above age 20 are from?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT Country  FROM singer  WHERE Age > 20,SELECT DISTINCT Country  FROM singer  WHERE Age > 20,1,1,1,1
What are  the different countries with singers above age 20?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT s.Country  FROM singer AS s  WHERE s.Age > 20,SELECT DISTINCT Country  FROM singer  WHERE Age > 20,1,1,1,1
Show all countries and the number of singers in each country.,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT Country, COUNT(Singer_ID) as Number_of_Singers FROM singer GROUP BY Country","SELECT Country, COUNT(Singer_ID) as Number_of_Singers FROM singer GROUP BY Country",0,1,0,1
How many singers are from each country?,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT Country, COUNT(*) as Number_of_Singers FROM singer GROUP BY Country","SELECT COUNT(*), Country  FROM singer  GROUP BY Country",0,1,1,0
List all song names by singers above the average age.,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.Song_Name  FROM singer AS s  WHERE s.Age > (SELECT AVG(s.Age) FROM singer AS s),SELECT s.Song_Name  FROM singer AS s  WHERE s.Age > (SELECT AVG(s.Age) FROM singer AS s),1,1,1,1
