Question,hardness,Gold,Prediction_0.1,Prediction_0.5,Prediction_1.0,EX_0.1,EX_0.5,EX_1.0
"Please list the account types that are not eligible for loans, and the average income of residents in the district where the account is located exceeds $8000 but is no more than $9000.",challenging,SELECT T3.type FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T2.account_id = T3.account_id WHERE T3.type != 'OWNER' AND T1.A11 BETWEEN 8000 AND 9000,SELECT DISTINCT disp.type FROM disp JOIN account ON disp.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A11 > 8000 AND district.A11 <= 9000 AND disp.type != 'OWNER',SELECT DISTINCT disp.type AS account_type FROM disp JOIN client ON disp.client_id = client.client_id JOIN district ON client.district_id = district.district_id WHERE disp.type != 'OWNER' AND (district.A11 BETWEEN 8000 AND 9000),SELECT type FROM account LEFT JOIN disp ON account.account_id = disp.account_id LEFT JOIN client ON disp.client_id = client.client_id LEFT JOIN district ON client.district_id = district.district_id LEFT JOIN loan ON account.account_id = loan.account_id WHERE loan.status IS NULL AND district.A11 BETWEEN 8000 AND 9000 GROUP BY type,1,1,0
"For all the female patient age 50 and above, who has abnormal red blood cell count. State if they were admitted to hospital.",challenging,"SELECT DISTINCT T1.ID, T1.Admission FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.SEX = 'F' AND (T2.RBC <= 3.5 OR T2.RBC >= 6.0) AND STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) >= 50","SELECT Patient.ID, Patient.SEX, SUBTRACT(year(current_timestamp), year(Patient.Birthday)) AS Age, Examination.RBC, Patient.Admission FROM Patient JOIN Examination ON Patient.ID = Examination.ID WHERE Patient.SEX = 'F' AND SUBTRACT(year(current_timestamp), year(Patient.Birthday)) >= 50 AND (Examination.RBC <= 3.5 OR Examination.RBC >= 6.0)","SELECT Patient.ID, Patient.SEX, Patient.Birthday, Patient.Admission, Examination.RBC FROM Patient JOIN Examination ON Patient.ID = Examination.ID WHERE Patient.SEX = 'F' AND (year(current_timestamp) - year(Patient.Birthday)) >= 50 AND (Examination.RBC <= 3.5 OR Examination.RBC >= 6.0)","SELECT Patient.ID, Patient.SEX, SUBTRACT(year(current_timestamp), year(Patient.Birthday)) as Age, Examination.RBC, Patient.Admission FROM Patient JOIN Examination ON Patient.ID = Examination.ID WHERE Patient.SEX = 'F' AND SUBTRACT(year(current_timestamp), year(Patient.Birthday)) >= 50 AND (Examination.RBC <= 3.5 OR Examination.RBC >= 6.0)",0,0,0
Which toxic element can be found in the molecule TR151?,challenging,SELECT DISTINCT T.element FROM atom AS T WHERE T.molecule_id = 'TR151',YOUR SQL QUERY HERE,YOUR SQL QUERY HERE,SELECT element FROM atom JOIN molecule ON atom.molecule_id = molecule.molecule_id WHERE molecule.label = 'TR151',0,0,0
"For all the set of cards that has Japanese translation, what is the percentage of them are only available in non-foil?",challenging,SELECT CAST(SUM(CASE WHEN isNonFoilOnly = 1 THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(id) FROM sets WHERE code IN ( SELECT setCode FROM set_translations WHERE language = 'Japanese' ),SELECT ( SELECT COUNT(*) FROM cards JOIN foreign_data ON cards.uuid = foreign_data.uuid WHERE foreign_data.language = 'Japanese' AND cards.isNonFoilOnly = 1 ) / ( SELECT COUNT(*) FROM cards JOIN foreign_data ON cards.uuid = foreign_data.uuid WHERE foreign_data.language = 'Japanese' ) * 100 AS percentage,SELECT (SUM(cards.isNonFoilOnly = 1 AND foreign_data.language = 'Japanese') / SUM(foreign_data.language = 'Japanese')) * 100 AS percentage FROM cards JOIN foreign_data ON cards.uuid = foreign_data.uuid,SELECT (SELECT COUNT(*) FROM cards WHERE isNonFoilOnly = 1 AND EXISTS (SELECT 1 FROM foreign_data WHERE cards.uuid = foreign_data.uuid AND language = 'Japanese')) / (SELECT COUNT(*) FROM cards WHERE EXISTS (SELECT 1 FROM foreign_data WHERE cards.uuid = foreign_data.uuid AND language = 'Japanese')) * 100 AS percentage,0,0,0
"List all the elements with double bond, consisted in molecule TR024.",challenging,SELECT T1.element FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.molecule_id = 'TR024' AND T2.bond_type = '=',SELECT element FROM atom JOIN bond ON atom.atom_id = bond.molecule_id JOIN molecule ON bond.molecule_id = molecule.molecule_id WHERE bond_type = '=' AND molecule.molecule_id = 'TR024',SELECT element FROM atom JOIN bond ON atom.atom_id = bond.molecule_id JOIN molecule ON bond.molecule_id = molecule.molecule_id WHERE bond_type = '=' AND molecule.molecule_id = 'TR024',SELECT element FROM atom JOIN bond ON atom.atom_id = bond.molecule_id JOIN molecule ON bond.molecule_id = molecule.molecule_id WHERE bond_type = '=' AND molecule.molecule_id = 'TR024',0,0,0
What is the percentage of superheroes who act in their own self-interest or make decisions based on their own moral code? Indicate how many of the said superheroes were published by Marvel Comics.,challenging,"SELECT (CAST(COUNT(*) AS REAL) * 100 / (SELECT COUNT(*) FROM superhero)), CAST(SUM(CASE WHEN T2.publisher_name = 'Marvel Comics' THEN 1 ELSE 0 END) AS REAL) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id INNER JOIN alignment AS T3 ON T3.id = T1.alignment_id WHERE T3.alignment = 'Bad'","SELECT (SELECT COUNT(*) FROM superhero JOIN alignment ON superhero.alignment_id = alignment.id WHERE alignment.alignment = 'Bad') AS bad_alignment_count, (SELECT COUNT(*) FROM superhero JOIN alignment ON superhero.alignment_id = alignment.id JOIN publisher ON superhero.publisher_id = publisher.id WHERE alignment.alignment = 'Bad' AND publisher.publisher_name = 'Marvel Comics') AS marvel_bad_alignment_count, (SELECT (bad_alignment_count * 100.0) / COUNT(superhero.id)) AS percentage_bad_alignment, (SELECT (marvel_bad_alignment_count * 100.0) / bad_alignment_count) AS percentage_marvel_bad_alignment FROM superhero","SELECT (SELECT COUNT(*) * 100.0 / (SELECT COUNT(*) FROM superhero) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'Bad')) AS percentage, (SELECT COUNT(*) FROM superhero WHERE publisher_id = (SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics') AND alignment_id = (SELECT id FROM alignment WHERE alignment = 'Bad')) AS marvel_bad_alignment","SELECT COUNT(*) as total_bad_alignment, (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM superhero)) as percentage, (SELECT COUNT(*) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'Bad') AND publisher_id = (SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics')) as bad_alignment_marvel_comics FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'Bad')",0,1,0
What was the average overall rating for Marko Arnautovic from 2007/2/22 to 2016/4/21?,challenging,"SELECT CAST(SUM(t2.overall_rating) AS REAL) / COUNT(t2.id) FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_fifa_api_id = t2.player_fifa_api_id WHERE t1.player_name = 'Marko Arnautovic' AND SUBSTR(t2.`date`, 1, 10) BETWEEN '2007-02-22' AND '2016-04-21'",SELECT AVG(overall_rating) FROM Player_Attributes JOIN Player ON Player_Attributes.player_api_id = Player.player_api_id WHERE Player.player_name = 'Marko Arnautovic' AND Player_Attributes.date BETWEEN '2007-02-22' AND '2016-04-21',SELECT AVG(overall_rating) FROM Player_Attributes JOIN Player ON Player_Attributes.player_api_id = Player.player_api_id WHERE Player.player_name = 'Marko Arnautovic' AND Player_Attributes.date BETWEEN '2007-02-22' AND '2016-04-21',SELECT AVG(overall_rating) FROM Player_Attributes WHERE player_name = 'Marko Arnautovic' AND date BETWEEN '2007-02-22' AND '2016-04-21',0,0,0
"Between DC and Marvel Comics, which publisher has published more superheroes? Find the difference in the number of superheroes they have published.",challenging,SELECT SUM(CASE WHEN T2.publisher_name = 'Marvel Comics' THEN 1 ELSE 0 END) - SUM(CASE WHEN T2.publisher_name = 'DC Comics' THEN 1 ELSE 0 END) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id,SELECT COUNT(*) FROM superhero JOIN publisher ON superhero.publisher_id = publisher.id WHERE publisher.publisher_name = 'Marvel Comics' MINUS SELECT COUNT(*) FROM superhero JOIN publisher ON superhero.publisher_id = publisher.id WHERE publisher.publisher_name = 'DC Comics',SELECT COUNT(*) FROM superhero JOIN publisher ON superhero.publisher_id = publisher.id WHERE publisher.publisher_name = 'Marvel Comics' MINUS SELECT COUNT(*) FROM superhero JOIN publisher ON superhero.publisher_id = publisher.id WHERE publisher.publisher_name = 'DC Comics',"SELECT COUNT(*) FROM superhero WHERE publisher_id IN ( SELECT id FROM publisher WHERE publisher_name IN ('DC Comics', 'Marvel Comics') ) GROUP BY publisher_id",0,0,0
"What are the valid e-mail addresses of the administrator of the school located in the San Bernardino county, City of San Bernardino City Unified that opened between 1/1/2009 to 12/31/2010 whose school types are public Intermediate/Middle Schools and Unified Schools?",challenging,"SELECT T2.AdmEmail1, T2.AdmEmail2 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'San Bernardino' AND T2.City = 'San Bernardino' AND T2.DOC = 54 AND strftime('%Y', T2.OpenDate) BETWEEN '2009' AND '2010' AND T2.SOC = 62",,,"SELECT schools.AdmEmail1, schools.AdmEmail2, schools.AdmEmail3 FROM schools JOIN satscores ON schools.CDSCode = satscores.cds WHERE schools.County = 'San Bernardino' AND schools.City = 'San Bernardino City Unified' AND schools.OpenDate BETWEEN '2009-01-01' AND '2010-12-31' AND (schools.SOC = '62' OR schools.SOC = '54')",0,0,0
How many percent of female heroes were published by Marvel Comics?,challenging,SELECT CAST(COUNT(CASE WHEN T2.publisher_name = 'Marvel Comics' THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(T1.id) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id INNER JOIN gender AS T3 ON T1.gender_id = T3.id WHERE T3.gender = 'Female',SELECT (SELECT (SELECT COUNT(*) FROM superhero JOIN gender ON superhero.gender_id = gender.id JOIN publisher ON superhero.publisher_id = publisher.id WHERE gender.gender = 'Female' AND publisher.publisher_name = 'Marvel Comics') * 100 / (SELECT COUNT(*) FROM superhero JOIN publisher ON superhero.publisher_id = publisher.id WHERE publisher.publisher_name = 'Marvel Comics') ) AS percent,SELECT (SELECT (SELECT COUNT(*) FROM superhero JOIN gender ON superhero.gender_id = gender.id JOIN publisher ON superhero.publisher_id = publisher.id WHERE gender.gender = 'Female' AND publisher.publisher_name = 'Marvel Comics') * 100.0 / (SELECT COUNT(*) FROM superhero JOIN publisher ON superhero.publisher_id = publisher.id WHERE publisher.publisher_name = 'Marvel Comics')) AS percent,SELECT ( SELECT ( (SELECT COUNT(*) FROM superhero WHERE gender_id = 2 AND publisher_id = (SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics')) * 1.0) / (SELECT COUNT(*) FROM superhero WHERE publisher_id = (SELECT id FROM publisher WHERE publisher_name = 'Marvel Comics')) * 100 ) as percentage,0,0,0
