,Qid,Question,Db_Id,Difficulty,Query Gold,Repeated,Query Generated,Most Frequent Query
0,306,Which molecules have triple bonds and list all the elements they contain.,toxicology,challenging,"SELECT DISTINCT T1.molecule_id, T2.element FROM bond AS T1 INNER JOIN atom AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '#'",7,"SELECT DISTINCT a.molecule_id, m.label, a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON a.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' 
SELECT DISTINCT a.molecule_id, m.label, a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON a.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' 
SELECT DISTINCT a.molecule_id, m.label, a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON a.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' 
SELECT DISTINCT a.element  FROM atom a  JOIN connected c ON a.atom_id = c.atom_id  JOIN bond b ON c.bond_id = b.bond_id  WHERE b.bond_type = 'triple' 
SELECT DISTINCT a.molecule_id, m.label, a.element  FROM atom a  JOIN connected c ON a.atom_id = c.atom_id  JOIN bond b ON c.bond_id = b.bond_id  JOIN molecule m ON a.molecule_id = m.molecule_id  WHERE b.bond_type = 'triple'
SELECT DISTINCT a.molecule_id, m.label, a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON a.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' 
SELECT DISTINCT a.molecule_id, m.label, a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON a.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' ","SELECT DISTINCT a.molecule_id, m.label, a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON a.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' "
1,1261,How many patients with a normal RF don't have thrombosis?,thrombosis_prediction,simple,SELECT COUNT(DISTINCT T1.ID) FROM Examination AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.RF < 20 AND T1.Thrombosis = 0,7,"SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE examination.diagnosis = 'normal RF' AND examination.thrombosis = 'no'
SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE examination.diagnosis = 'normal RF' AND examination.thrombosis = 'no'
SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE examination.diagnosis = 'normal RF' AND examination.thrombosis = 'no'
SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE examination.diagnosis = 'normal RF' AND examination.thrombosis = 'no'
SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE examination.diagnosis = 'normal RF' AND examination.thrombosis = 'no'
SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE examination.diagnosis = 'normal RF' AND examination.thrombosis = 'no'
SELECT COUNT(*)  FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE examination.diagnosis = 'normal RF'  AND examination.thrombosis = 'no' ",SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE examination.diagnosis = 'normal RF' AND examination.thrombosis = 'no'
2,601,What is the score and the link type ID for post ID 395?,codebase_community,simple,"SELECT T1.Score, T2.LinkTypeId FROM posts AS T1 INNER JOIN postLinks AS T2 ON T1.Id = T2.PostId WHERE T2.PostId = 395",7,"SELECT pl.linktypeid, p.score  FROM posts AS p  JOIN postlinks AS pl ON p.id = pl.postid  WHERE p.id = 395
SELECT postlinks.linktypeid, posts.score FROM posts JOIN postlinks ON posts.id = postlinks.postid WHERE posts.id = 395
SELECT pl.linktypeid, p.score FROM posts AS p JOIN postlinks AS pl ON p.id = pl.postid WHERE p.id = 395
SELECT postlinks.linktypeid, posts.score FROM posts JOIN postlinks ON posts.id = postlinks.postid WHERE posts.id = 395
SELECT pl.linktypeid, p.score FROM posts AS p JOIN postlinks AS pl ON p.id = pl.postid WHERE p.id = 395
SELECT postlinks.linktypeid, posts.score FROM posts JOIN postlinks ON posts.id = postlinks.postid WHERE posts.id = 395
SELECT pl.linktypeid, p.score FROM posts AS p JOIN postlinks AS pl ON p.id = pl.postid WHERE p.id = 395","SELECT postlinks.linktypeid, posts.score FROM posts JOIN postlinks ON posts.id = postlinks.postid WHERE posts.id = 395"
3,245,What is the average number of bonds the atoms with the element iodine have?,toxicology,moderate,SELECT CAST(COUNT(T2.bond_id) AS REAL) / COUNT(T1.atom_id) FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T1.element = 'i',7,"SELECT AVG(bond_count) FROM (SELECT a.atom_id, COUNT(c.bond_id) as bond_count FROM atom a JOIN connected c ON a.atom_id = c.atom_id WHERE a.element = 'iodine' GROUP BY a.atom_id)
SELECT AVG(bond_count) FROM (SELECT a.atom_id, COUNT(c.bond_id) as bond_count FROM atom a JOIN connected c ON a.atom_id = c.atom_id WHERE a.element = 'iodine' GROUP BY a.atom_id)
SELECT AVG(bond_count) FROM (SELECT a.atom_id, COUNT(c.bond_id) as bond_count FROM atom a JOIN connected c ON a.atom_id = c.atom_id WHERE a.element = 'iodine' GROUP BY a.atom_id)
SELECT AVG(bond_count) FROM (SELECT a.atom_id, COUNT(c.bond_id) as bond_count FROM atom a JOIN connected c ON a.atom_id = c.atom_id WHERE a.element = 'iodine' GROUP BY a.atom_id)
SELECT AVG(bond_count) FROM (SELECT a.atom_id, COUNT(c.bond_id) as bond_count FROM atom a JOIN connected c ON a.atom_id = c.atom_id WHERE a.element = 'iodine' GROUP BY a.atom_id)
SELECT AVG(bond_count) FROM (SELECT a.atom_id, COUNT(c.bond_id) as bond_count FROM atom a JOIN connected c ON a.atom_id = c.atom_id WHERE a.element = 'iodine' GROUP BY a.atom_id)
SELECT AVG(bond_count) FROM (SELECT a.atom_id, COUNT(c.bond_id) as bond_count FROM atom a JOIN connected c ON a.atom_id = c.atom_id WHERE a.element = 'iodine' GROUP BY a.atom_id)","SELECT AVG(bond_count) FROM (SELECT a.atom_id, COUNT(c.bond_id) as bond_count FROM atom a JOIN connected c ON a.atom_id = c.atom_id WHERE a.element = 'iodine' GROUP BY a.atom_id)"
4,215,How many atoms with iodine and with sulfur type elements are there in single bond molecules?,toxicology,challenging,"SELECT COUNT(DISTINCT CASE WHEN T1.element = 'i' THEN T1.atom_id ELSE NULL END) AS iodine_nums , COUNT(DISTINCT CASE WHEN T1.element = 's' THEN T1.atom_id ELSE NULL END) AS sulfur_nums FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id INNER JOIN bond AS T3 ON T2.bond_id = T3.bond_id WHERE T3.bond_type = '-'",7,"SELECT COUNT(*)  FROM atom  INNER JOIN connected ON atom.atom_id = connected.atom_id  INNER JOIN bond ON connected.bond_id = bond.bond_id  WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single'
SELECT COUNT(*)  FROM atom  INNER JOIN connected ON atom.atom_id = connected.atom_id  INNER JOIN bond ON connected.bond_id = bond.bond_id  WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single'
SELECT COUNT(*) FROM atom  INNER JOIN connected ON atom.atom_id = connected.atom_id  INNER JOIN bond ON connected.bond_id = bond.bond_id  WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single'
SELECT COUNT(*)  FROM atom  INNER JOIN connected ON atom.atom_id = connected.atom_id  INNER JOIN bond ON connected.bond_id = bond.bond_id  WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single'
SELECT COUNT(*)  FROM atom  INNER JOIN connected ON atom.atom_id = connected.atom_id  INNER JOIN bond ON connected.bond_id = bond.bond_id  WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single'
SELECT COUNT(*)  FROM atom  INNER JOIN connected ON atom.atom_id = connected.atom_id  INNER JOIN bond ON connected.bond_id = bond.bond_id  WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single'
SELECT COUNT(*)  FROM atom  INNER JOIN connected ON atom.atom_id = connected.atom_id  INNER JOIN bond ON connected.bond_id = bond.bond_id  WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single'","SELECT COUNT(*)  FROM atom  INNER JOIN connected ON atom.atom_id = connected.atom_id  INNER JOIN bond ON connected.bond_id = bond.bond_id  WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single'"
5,1299,"Among the patients with the normal level of triglyceride, how many of them have other symptoms observed?",thrombosis_prediction,simple,SELECT COUNT(T1.ID) FROM Examination AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.TG < 200 AND T1.Symptoms IS NOT NULL,7,"SELECT COUNT(*) FROM patient  JOIN examination ON patient.id = examination.id  JOIN laboratory ON patient.id = laboratory.id  WHERE laboratory.tg <= 150 AND examination.symptoms != ''
SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE tg <= 150 AND symptoms IS NOT NULL
SELECT COUNT(*) FROM patient  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE tg <= 150 AND symptoms IS NOT NULL
SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE tg <= 150 AND symptoms IS NOT NULL
SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE tg <= 150 AND symptoms IS NOT NULL
SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE tg <= 150 AND symptoms IS NOT NULL
SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE tg <= 150 AND symptoms IS NOT NULL",SELECT COUNT(*) FROM patient  INNER JOIN examination ON patient.id = examination.id  INNER JOIN laboratory ON patient.id = laboratory.id  WHERE tg <= 150 AND symptoms IS NOT NULL
6,842,Calculate the average height of all neutral superheroes.,superhero,simple,SELECT AVG(T1.height_cm) FROM superhero AS T1 INNER JOIN alignment AS T2 ON T1.alignment_id = T2.id WHERE T2.alignment = 'Neutral',7,"SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
SELECT AVG(height_cm) FROM superhero WHERE alignment_id IN (SELECT id FROM alignment WHERE alignment = 'neutral')
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
SELECT AVG(height_cm) FROM superhero WHERE alignment_id IN (SELECT id FROM alignment WHERE alignment = 'neutral')",SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
7,1149,Are there more in-patient or outpatient who were male? What is the deviation in percentage?,thrombosis_prediction,moderate,SELECT CAST(SUM(CASE WHEN Admission = '+' THEN 1 ELSE 0 END) AS REAL) * 100 / SUM(CASE WHEN Admission = '-' THEN 1 ELSE 0 END) FROM Patient WHERE SEX = 'M',7,"SELECT      patient.sex,      COUNT(*),      100.0 * COUNT(*) / (SELECT COUNT(*) FROM patient WHERE sex = 'male') - 100 AS deviation_percentage FROM      patient WHERE      patient.sex = 'male' GROUP BY      patient.admission ORDER BY      COUNT(*) DESC
SELECT      patient.sex,      COUNT(*),      (COUNT(*) - (SELECT COUNT(*) FROM patient WHERE sex = 'male')) / (SELECT COUNT(*) FROM patient WHERE sex = 'male') * 100 AS deviation FROM      patient WHERE      patient.sex = 'male' OR patient.sex = 'female' GROUP BY      patient.sex
SELECT      patient.sex,      COUNT(patient.id) AS patient_count,      (COUNT(patient.id) - (SELECT COUNT(*) FROM patient WHERE admission = 'in-patient')) / (SELECT COUNT(*) FROM patient WHERE admission = 'in-patient') * 100 AS deviation_percentage FROM      patient WHERE      patient.sex = 'male' GROUP BY      patient.admission HAVING      patient_count > (SELECT COUNT(*) FROM patient WHERE admission = 'out-patient' AND sex = 'male') 
SELECT      patient.sex,      COUNT(*),      (         SELECT              COUNT(*)          FROM              patient          WHERE              patient.sex = 'Male'              AND patient.admission = 'In-patient'     ) AS in_patient,     (         SELECT              COUNT(*)          FROM              patient          WHERE              patient.sex = 'Male'              AND patient.admission = 'Out-patient'     ) AS out_patient,     (         (             (                 SELECT                      COUNT(*)                  FROM                      patient                  WHERE                      patient.sex = 'Male'                      AND patient.admission = 'Out-patient'             ) -              (                 SELECT                      COUNT(*)                  FROM                      patient                  WHERE                      patient.sex = 'Male'                      AND patient.admission = 'In-patient'             )         ) /          (             SELECT                  COUNT(*)              FROM                  patient              WHERE                  patient.sex = 'Male'          ) * 10
SELECT      patient.sex,      COUNT(*) AS total,      (         SELECT              COUNT(*)          FROM              patient          WHERE              patient.sex = 'Male'     ) AS male_count,     (         (             (                 SELECT                      COUNT(*)                  FROM                      patient                  WHERE                      patient.sex = 'Male'             ) -              COUNT(*)         ) / COUNT(*) * 100     ) AS deviation_percentage FROM      patient WHERE      patient.sex = 'Male' GROUP BY      patient.sex
SELECT      patient.sex,      COUNT(*),      (         SELECT              COUNT(*)          FROM              patient          WHERE              patient.sex = 'Male'     ) AS total_male,     (         (             COUNT(*) - (                 SELECT                      COUNT(*)                  FROM                      patient                  WHERE                      patient.sex = 'Male'             )         ) / (             SELECT                  COUNT(*)              FROM                  patient         ) * 100     ) AS deviation_percentage FROM      patient WHERE      patient.sex = 'Male' GROUP BY      patient.sex
SELECT      patient.sex,      COUNT(*) AS total,      (         SELECT              COUNT(*)          FROM              patient          WHERE              patient.sex = 'Male'              AND patient.admission = 'In-patient'     ) AS in_patient,     (         SELECT              COUNT(*)          FROM              patient          WHERE              patient.sex = 'Male'              AND patient.admission = 'Out-patient'     ) AS out_patient,     (         (             (                 SELECT                      COUNT(*)                  FROM                      patient                  WHERE                      patient.sex = 'Male'                      AND patient.admission = 'Out-patient'             ) -              (                 SELECT                      COUNT(*)                  FROM                      patient                  WHERE                      patient.sex = 'Male'                      AND patient.admission = 'In-patient'             )         ) /          (             SELECT                  COUNT(*)              FROM                  patient              WHERE                  patient.sex = 'Male'         )     )","SELECT      patient.sex,      COUNT(*),      100.0 * COUNT(*) / (SELECT COUNT(*) FROM patient WHERE sex = 'male') - 100 AS deviation_percentage FROM      patient WHERE      patient.sex = 'male' GROUP BY      patient.admission ORDER BY      COUNT(*) DESC"
8,521,"Among the cards whose version of frame style is 1997, what is the status of the card illustrated by D. Alexander Gregory in legacy play format that has sensitive content or Wizards of the Coast?",card_games,challenging,SELECT DISTINCT T2.status FROM cards AS T1 INNER JOIN legalities AS T2 ON T2.uuid = T1.uuid WHERE T1.frameVersion = 1997 AND T1.hasContentWarning = 1 AND T1.artist = 'D. Alexander Gregory' AND T2.format = 'legacy',7,"SELECT status  FROM cards  WHERE frameversion = 1997 AND artist = 'D. Alexander Gregory' AND (availability LIKE '%Wizards of the Coast%' OR hascontentwarning = 1) AND format = 'legacy'
SELECT status  FROM cards  WHERE frameversion = 1997 AND artist = 'D. Alexander Gregory' AND (availability LIKE '%Wizards of the Coast%' OR hascontentwarning = 1) AND format = 'legacy'
SELECT status FROM cards WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND (availability LIKE '%Wizards of the Coast%' OR hascontentwarning = 'true') AND format = 'legacy'
SELECT status FROM cards WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND (availability LIKE '%Wizards of the Coast%' OR hascontentwarning = 'true') AND format = 'legacy'
SELECT status  FROM cards  WHERE frameversion = 1997 AND artist = 'D. Alexander Gregory' AND (availability LIKE '%Wizards of the Coast%' OR hascontentwarning = 1) AND format = 'legacy'
SELECT status FROM cards INNER JOIN legalities ON cards.id = legalities.id WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND hascontentwarning = 'Wizards of the Coast' AND format = 'legacy'
SELECT status  FROM cards  WHERE frameversion = '1997'  AND artist = 'D. Alexander Gregory'  AND (availability LIKE '%sensitive content%' OR availability LIKE '%Wizards of the Coast%')  AND format = 'legacy'",SELECT status  FROM cards  WHERE frameversion = 1997 AND artist = 'D. Alexander Gregory' AND (availability LIKE '%Wizards of the Coast%' OR hascontentwarning = 1) AND format = 'legacy'
9,1526,"For the customer who paid 634.8 in 2012/8/25, what was the consumption decrease rate from Year 2012 to 2013?",debit_card_specializing,challenging,"SELECT CAST(SUM(IIF(SUBSTR(Date, 1, 4) = '2012', Consumption, 0)) - SUM(IIF(SUBSTR(Date, 1, 4) = '2013', Consumption, 0)) AS FLOAT) / SUM(IIF(SUBSTR(Date, 1, 4) = '2012', Consumption, 0)) FROM yearmonth WHERE CustomerID = ( SELECT T1.CustomerID FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-25' AND T1.Price = 634.8 )",7,"SELECT (yearmonth.consumption_2012 - yearmonth.consumption_2013) / yearmonth.consumption_2012 * 100 as decrease_rate FROM (     SELECT t.customerid,             SUM(t.amount * t.price) as total_amount,             strftime('%Y', t.date) as year,             CASE                 WHEN strftime('%Y', t.date) = '2012' THEN SUM(t.amount * t.price)                 ELSE NULL             END as consumption_2012,             CASE                 WHEN strftime('%Y', t.date) = '2013' THEN SUM(t.amount * t.price)                 ELSE NULL             END as consumption_2013     FROM transactions_1k as t     WHERE t.customerid = (         SELECT c.customerid         FROM customers as c         WHERE t.amount * t.price = 634.8          AND t.date = '2012/8/25'     )     GROUP BY strftime('%Y', t.date) ) as yearmonth 
SELECT (yearmonth.consumption_2012 - yearmonth.consumption_2013) / yearmonth.consumption_2012 * 100 as decrease_rate FROM (     SELECT t1.customerid,             SUM(t1.amount) as consumption_2012,             SUM(t2.amount) as consumption_2013     FROM transactions_1k as t1     JOIN transactions_1k as t2 ON t1.customerid = t2.customerid     WHERE t1.date LIKE '2012%' AND t2.date LIKE '2013%' AND t1.customerid = (         SELECT customerid          FROM transactions_1k          WHERE amount = 634.8 AND date = '2012/8/25'     )     GROUP BY t1.customerid ) as yearmonth 
SELECT (yearmonth.consumption_2012 - yearmonth.consumption_2013) / yearmonth.consumption_2012 * 100 AS decrease_rate FROM (     SELECT t1.customerid, SUM(t1.amount) AS consumption_2012, SUM(t2.amount) AS consumption_2013     FROM transactions_1k AS t1     JOIN transactions_1k AS t2 ON t1.customerid = t2.customerid     WHERE strftime('%Y', t1.date) = '2012' AND strftime('%Y', t2.date) = '2013' AND t1.customerid = (         SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25'     )     GROUP BY t1.customerid ) AS yearmonth 
SELECT (yearmonth.consumption_2012 - yearmonth.consumption_2013) / yearmonth.consumption_2012 * 100 AS decrease_rate FROM (     SELECT t.customerid,             SUM(t.amount * t.price) as consumption_2012,             (SELECT SUM(t2.amount * t2.price)              FROM transactions_1k t2              WHERE strftime('%Y', t2.date) = '2013'              AND t2.customerid = t.customerid) as consumption_2013     FROM transactions_1k t     WHERE strftime('%Y', t.date) = '2012'     AND t.amount * t.price = 634.8     GROUP BY t.customerid ) AS yearmonth WHERE yearmonth.consumption_2012 > 0 AND yearmonth.consumption_2013 > 0
SELECT (yearmonth.consumption_2012 - yearmonth.consumption_2013) / yearmonth.consumption_2012 * 100 AS decrease_rate FROM (     SELECT t1.customerid, SUM(t1.amount) AS consumption_2012, SUM(t2.amount) AS consumption_2013     FROM transactions_1k AS t1     JOIN transactions_1k AS t2 ON t1.customerid = t2.customerid     WHERE strftime('%Y', t1.date) = '2012' AND strftime('%Y', t2.date) = '2013' AND t1.customerid = (         SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25'     )     GROUP BY t1.customerid ) AS yearmonth 
SELECT (yearmonth.consumption_2012 - yearmonth.consumption_2013) / yearmonth.consumption_2012 * 100 AS decrease_rate FROM (     SELECT t1.customerid, SUM(t1.amount) AS consumption_2012, SUM(t2.amount) AS consumption_2013     FROM transactions_1k AS t1     JOIN transactions_1k AS t2 ON t1.customerid = t2.customerid AND t1.productid = t2.productid     WHERE t1.date LIKE '2012%' AND t2.date LIKE '2013%' AND t1.customerid = (         SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25'     )     GROUP BY t1.customerid ) AS yearmonth 
SELECT (yearmonth.consumption_2012 - yearmonth.consumption_2013) / yearmonth.consumption_2012 * 100 AS decrease_rate FROM (     SELECT t1.customerid, SUM(t1.amount) AS consumption_2012, SUM(t2.amount) AS consumption_2013     FROM transactions_1k AS t1     JOIN transactions_1k AS t2 ON t1.customerid = t2.customerid     WHERE strftime('%Y', t1.date) = '2012' AND strftime('%Y', t2.date) = '2013' AND t1.customerid = (         SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25'     )     GROUP BY t1.customerid ) AS yearmonth ","SELECT (yearmonth.consumption_2012 - yearmonth.consumption_2013) / yearmonth.consumption_2012 * 100 AS decrease_rate FROM (     SELECT t1.customerid, SUM(t1.amount) AS consumption_2012, SUM(t2.amount) AS consumption_2013     FROM transactions_1k AS t1     JOIN transactions_1k AS t2 ON t1.customerid = t2.customerid     WHERE strftime('%Y', t1.date) = '2012' AND strftime('%Y', t2.date) = '2013' AND t1.customerid = (         SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25'     )     GROUP BY t1.customerid ) AS yearmonth "
