Unnamed: 0,Qid,Question,Db_Id,Difficulty,Query Gold,Repeated,Query Generated,Most Frequent Query,Execution Accuracy
0,306,Which molecules have triple bonds and list all the elements they contain.,toxicology,challenging,"SELECT DISTINCT T1.molecule_id, T2.element FROM bond AS T1 INNER JOIN atom AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '#'",7,"SELECT DISTINCT element FROM atom a, bond b, connected c, molecule m WHERE a.atom_id = c.atom_id AND b.bond_id = c.bond_id AND m.molecule_id = a.molecule_id AND b.bond_type = 'triple'
SELECT DISTINCT element FROM atom a, bond b, connected c, molecule m WHERE a.atom_id = c.atom_id AND b.bond_id = c.bond_id AND b.bond_type = 'triple' AND m.molecule_id = a.molecule_id AND m.molecule_id = b.molecule_id
SELECT DISTINCT element FROM atom a, bond b, connected c, molecule m WHERE a.atom_id = c.atom_id AND b.bond_id = c.bond_id AND b.bond_type = 'triple' AND a.molecule_id = m.molecule_id
SELECT DISTINCT element FROM atom a, bond b, connected c, molecule m WHERE a.atom_id = c.atom_id AND b.bond_id = c.bond_id AND m.molecule_id = a.molecule_id AND b.bond_type = 'triple'
SELECT DISTINCT element FROM atom WHERE molecule_id IN (     SELECT molecule_id     FROM bond     WHERE bond_type = 'triple' ) ORDER BY element
SELECT DISTINCT element FROM atom WHERE molecule_id IN (     SELECT molecule_id     FROM bond     WHERE bond_type = 'triple' ) ORDER BY element
SELECT DISTINCT element FROM atom WHERE molecule_id IN (     SELECT molecule_id     FROM bond     WHERE bond_type = 'triple' )","SELECT DISTINCT element FROM atom a, bond b, connected c, molecule m WHERE a.atom_id = c.atom_id AND b.bond_id = c.bond_id AND m.molecule_id = a.molecule_id AND b.bond_type = 'triple'",0.0
1,1261,How many patients with a normal RF don't have thrombosis?,thrombosis_prediction,simple,SELECT COUNT(DISTINCT T1.ID) FROM Examination AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.RF < 20 AND T1.Thrombosis = 0,7,"SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM examination WHERE rf = 'normal') AND id NOT IN (SELECT id FROM laboratory WHERE thrombosis = 'yes')
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM examination WHERE rf = 'normal') AND id NOT IN (SELECT id FROM laboratory WHERE thrombosis = 'yes')
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM examination WHERE rf = 'normal') AND id NOT IN (SELECT id FROM laboratory WHERE thrombosis = 'yes')
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM examination WHERE rf = 'normal') AND id NOT IN (SELECT id FROM laboratory WHERE thrombosis = 'yes')
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM examination WHERE rf = 'normal') AND id NOT IN (SELECT id FROM laboratory WHERE thrombosis = 'yes')
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM examination WHERE rf = 'normal') AND id NOT IN (SELECT id FROM laboratory WHERE thrombosis = 'yes')
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM examination WHERE rf = 'normal') AND id NOT IN (SELECT id FROM laboratory WHERE thrombosis = 'yes')",SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM examination WHERE rf = 'normal') AND id NOT IN (SELECT id FROM laboratory WHERE thrombosis = 'yes'),0.0
2,601,What is the score and the link type ID for post ID 395?,codebase_community,simple,"SELECT T1.Score, T2.LinkTypeId FROM posts AS T1 INNER JOIN postLinks AS T2 ON T1.Id = T2.PostId WHERE T2.PostId = 395",7,"SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395","SELECT score, linktypeid FROM postlinks WHERE postid = 395",0.0
3,245,What is the average number of bonds the atoms with the element iodine have?,toxicology,moderate,SELECT CAST(COUNT(T2.bond_id) AS REAL) / COUNT(T1.atom_id) FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T1.element = 'i',7,"SELECT AVG(bond_count) FROM (     SELECT COUNT(*) AS bond_count     FROM connected     WHERE atom_id IN (         SELECT atom_id         FROM atom         WHERE element = 'I'     )     GROUP BY atom_id )
SELECT AVG(bond_count) FROM (     SELECT COUNT(*) AS bond_count     FROM connected     WHERE atom_id IN (         SELECT atom_id         FROM atom         WHERE element = 'I'     )     GROUP BY atom_id )
SELECT AVG(bond_count) FROM (     SELECT COUNT(*) AS bond_count     FROM connected     WHERE atom_id IN (         SELECT atom_id         FROM atom         WHERE element = 'I'     )     GROUP BY atom_id )
SELECT AVG(bond_count) FROM (     SELECT COUNT(*) AS bond_count     FROM atom     JOIN connected ON atom.atom_id = connected.atom_id     WHERE atom.element = 'I'     GROUP BY atom.atom_id )
SELECT AVG(bond_count) FROM (     SELECT COUNT(*) AS bond_count     FROM connected     WHERE atom_id IN (         SELECT atom_id         FROM atom         WHERE element = 'I'     )     GROUP BY atom_id )
SELECT AVG(bond_count) FROM (     SELECT COUNT(*) AS bond_count     FROM connected     WHERE atom_id IN (         SELECT atom_id         FROM atom         WHERE element = 'I'     )     GROUP BY atom_id )
SELECT AVG(bond_count) FROM (     SELECT COUNT(*) AS bond_count     FROM connected     WHERE atom_id IN (         SELECT atom_id         FROM atom         WHERE element = 'I'     )     GROUP BY atom_id )",SELECT AVG(bond_count) FROM (     SELECT COUNT(*) AS bond_count     FROM connected     WHERE atom_id IN (         SELECT atom_id         FROM atom         WHERE element = 'I'     )     GROUP BY atom_id ),0.0
4,215,How many atoms with iodine and with sulfur type elements are there in single bond molecules?,toxicology,challenging,"SELECT COUNT(DISTINCT CASE WHEN T1.element = 'i' THEN T1.atom_id ELSE NULL END) AS iodine_nums , COUNT(DISTINCT CASE WHEN T1.element = 's' THEN T1.atom_id ELSE NULL END) AS sulfur_nums FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id INNER JOIN bond AS T3 ON T2.bond_id = T3.bond_id WHERE T3.bond_type = '-'",7,"SELECT COUNT(*) FROM atom WHERE element IN ('I', 'S') AND atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id IN (         SELECT bond_id         FROM bond         WHERE bond_type = 'single'     ) )
SELECT COUNT(*) FROM atom a, bond b, connected c WHERE a.molecule_id = b.molecule_id AND a.molecule_id = c.molecule_id AND a.atom_id = c.atom_id AND a.atom_id = c.atom_id2 AND b.bond_type = 'single' AND (a.element = 'I' OR a.element = 'S')
SELECT COUNT(*) FROM atom WHERE element IN ('I', 'S') AND atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id IN (         SELECT bond_id         FROM bond         WHERE bond_type = 'single'     ) )
SELECT COUNT(*) FROM atom WHERE element IN ('I', 'S') AND atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id IN (         SELECT bond_id         FROM bond         WHERE bond_type = 'single'     ) )
SELECT COUNT(*) FROM atom WHERE element = 'I' OR element = 'S' AND atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id IN (         SELECT bond_id         FROM bond         WHERE bond_type = 'single'     ) )
SELECT COUNT(*) FROM atom a, bond b, connected c, molecule m WHERE a.molecule_id = m.molecule_id AND b.molecule_id = m.molecule_id AND c.molecule_id = m.molecule_id AND a.atom_id = c.atom_id AND c.atom_id2 = b.atom_id AND a.element = 'I' AND b.bond_type = 'single' AND c.bond_id = b.bond_id
SELECT COUNT(*) FROM atom WHERE element IN ('I', 'S') AND atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id IN (         SELECT bond_id         FROM bond         WHERE bond_type = 'single'     ) )","SELECT COUNT(*) FROM atom WHERE element IN ('I', 'S') AND atom_id IN (     SELECT atom_id     FROM connected     WHERE bond_id IN (         SELECT bond_id         FROM bond         WHERE bond_type = 'single'     ) )",0.0
5,1299,"Among the patients with the normal level of triglyceride, how many of them have other symptoms observed?",thrombosis_prediction,simple,SELECT COUNT(T1.ID) FROM Examination AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.TG < 200 AND T1.Symptoms IS NOT NULL,7,"SELECT COUNT(*) FROM examination WHERE examination.symptoms = 'other symptoms' AND examination.diagnosis = 'normal level of triglyceride'
SELECT COUNT(*) FROM examination WHERE examination.symptoms IS NOT NULL AND examination.diagnosis = 'normal'
SELECT COUNT(*) FROM examination WHERE examination.symptoms IS NOT NULL AND examination.diagnosis = 'normal'
SELECT COUNT(*) FROM examination WHERE examination.symptoms IS NOT NULL AND examination.symptoms != '' AND examination.symptoms != 'None' AND examination.symptoms != 'No' AND examination.symptoms != 'No symptoms' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != 'No symptoms observed' AND examination.symptoms != '
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM examination WHERE symptoms IS NOT NULL) AND id IN (SELECT id FROM laboratory WHERE tg IS NOT NULL)
SELECT COUNT(*) FROM examination WHERE examination.symptoms IS NOT NULL AND examination.diagnosis = 'normal'
SELECT COUNT(*) FROM patient WHERE id IN (SELECT id FROM examination WHERE symptoms IS NOT NULL) AND id IN (SELECT id FROM laboratory WHERE tg = 'normal')",SELECT COUNT(*) FROM examination WHERE examination.symptoms IS NOT NULL AND examination.diagnosis = 'normal',0.0
6,842,Calculate the average height of all neutral superheroes.,superhero,simple,SELECT AVG(T1.height_cm) FROM superhero AS T1 INNER JOIN alignment AS T2 ON T1.alignment_id = T2.id WHERE T2.alignment = 'Neutral',7,"SELECT AVG(height_cm) FROM superhero WHERE alignment_id = 1
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = 1
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = 1
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = 1
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = 1
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = 1
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = 1",SELECT AVG(height_cm) FROM superhero WHERE alignment_id = 1,0.0
7,1149,Are there more in-patient or outpatient who were male? What is the deviation in percentage?,thrombosis_prediction,moderate,SELECT CAST(SUM(CASE WHEN Admission = '+' THEN 1 ELSE 0 END) AS REAL) * 100 / SUM(CASE WHEN Admission = '-' THEN 1 ELSE 0 END) FROM Patient WHERE SEX = 'M',7,"SELECT COUNT(*) FROM patient WHERE sex = 'male'
SELECT COUNT(*) FROM patient WHERE sex = 'male'
SELECT COUNT(*) FROM patient WHERE sex = 'male'
SELECT COUNT(*) FROM patient WHERE sex = 'male'
SELECT COUNT(*) FROM patient WHERE sex = 'male'
SELECT COUNT(*) FROM patient WHERE sex = 'male'
SELECT COUNT(*) FROM patient WHERE sex = 'male'",SELECT COUNT(*) FROM patient WHERE sex = 'male',0.0
8,521,"Among the cards whose version of frame style is 1997, what is the status of the card illustrated by D. Alexander Gregory in legacy play format that has sensitive content or Wizards of the Coast?",card_games,challenging,SELECT DISTINCT T2.status FROM cards AS T1 INNER JOIN legalities AS T2 ON T2.uuid = T1.uuid WHERE T1.frameVersion = 1997 AND T1.hasContentWarning = 1 AND T1.artist = 'D. Alexander Gregory' AND T2.format = 'legacy',7,"SELECT cards.name, cards.id, cards.artist, cards.flavortext, cards.frameversion, cards.layout, cards.manacost, cards.multiverseid, cards.name, cards.number, cards.originaltext, cards.originaltype, cards.power, cards.rarity, cards.text, cards.toughness, cards.type, cards.uuid, cards.watermark, legalities.status, sets.code, sets.name, sets.releasedate, sets.type, set_translations.language, set_translations.translation, foreign_data.flavortext, foreign_data.language, foreign_data.name, foreign_data.text, foreign_data.type, rulings.date, rulings.text FROM cards JOIN legalities ON cards.id = legalities.id JOIN sets ON cards.setcode = sets.code JOIN set_translations ON cards.setcode = set_translations.setcode JOIN foreign_data ON cards.id = foreign_data.id JOIN rulings ON cards.id = rulings.id WHERE cards.frameversion = '1997' AND legalities.format = 'legacy' AND cards.hascontentwarning = 1 AND cards.hasfoil = 1 AND cards.isfullart = 1 AND cards.isreprint = 1 AND cards.isreserved = 1
SELECT cards.name, cards.text, cards.flavortext, cards.flavorname, cards.flavortext, cards.layout, cards.manacost, cards.power, cards.toughness, cards.loyalty, cards.colors, cards.coloridentity, cards.colorindicator, cards.keywords, cards.types, cards.subtypes, cards.supertypes, cards.rarity, cards.isreprint, cards.isreserved, cards.istimeshifted, cards.isfullart, cards.istextless, cards.isoversized, cards.ispromo, cards.isalternative, cards.isstarter, cards.isstoryspotlight, cards.hasfoil, cards.hasnonfoil, cards.hascontentwarning, cards.hasalternativedecklimit, cards.isoriginaltextless, cards.isoriginalfullart, cards.isoriginalstarter, cards.isoriginaltimeshifted, cards.isoriginaloversized, cards.isoriginalpromo, cards.isoriginalalternative, cards.isoriginalstarter, cards.isoriginalstoryspotlight, cards.isoriginalhasfoil, cards.isoriginalhasnonfoil, cards.isoriginalhascontentwarning, cards.isoriginalhasalternativedecklimit, cards.isoriginalisoriginaltextless, cards.isoriginalisoriginalfullart, cards.isoriginalisoriginalstarter, cards.isoriginalisoriginaltimeshifted, cards.isoriginalis
SELECT cards.name, cards.id, cards.artist, cards.flavortext, cards.frameversion, cards.layout, cards.manacost, cards.multiverseid, cards.name, cards.number, cards.originalreleasedate, cards.originaltext, cards.originaltype, cards.power, cards.rarity, cards.text, cards.toughness, cards.type, cards.uuid, cards.watermark, legalities.format, legalities.status, sets.code, sets.name, sets.releasedate, sets.type, set_translations.language, set_translations.translation, foreign_data.flavortext, foreign_data.language, foreign_data.name, foreign_data.text, foreign_data.type, rulings.date, rulings.text FROM cards JOIN legalities ON cards.id = legalities.id JOIN sets ON cards.setcode = sets.code JOIN set_translations ON sets.code = set_translations.setcode JOIN foreign_data ON cards.id = foreign_data.id JOIN rulings ON cards.id = rulings.id WHERE cards.frameversion = '1997' AND legalities.format = 'legacy' AND legalities.status = 'legal' AND cards.hascontentwarning = 1 AND cards.isreprint = 0 AND cards.isreserved = 
SELECT cards.name, cards.artist, cards.flavortext, cards.text, cards.type, cards.colors, cards.coloridentity, cards.layout, cards.frameversion, cards.istextless, cards.istimeshifted, cards.isreprint, cards.isreserved, cards.isoversized, cards.ispromo, cards.isfullart, cards.isalternative, cards.isstarter, cards.isstoryspotlight, cards.hascontentwarning, cards.hasfoil, cards.hasnonfoil, cards.hasalternativedecklimit, cards.isoriginaltextless, cards.isoriginalfullart, cards.isoriginaltimeshifted, cards.isoriginalreprint, cards.isoriginalreserved, cards.isoriginaloversized, cards.isoriginalpromo, cards.isoriginalstarter, cards.isoriginalstoryspotlight, cards.hasoriginalcontentwarning, cards.hasoriginalfoil, cards.hasoriginalnonfoil, cards.hasoriginalalternativedecklimit, cards.isoriginaltextless, cards.isoriginalfullart, cards.isoriginaltimeshifted, cards.isoriginalreprint, cards.isoriginalreserved, cards.isoriginaloversized, cards.isoriginalpromo, cards.isoriginalstarter, cards.isoriginalstoryspotlight, cards.hasoriginalcontentwarning, cards.hasoriginalfoil, cards.hasoriginalnonfoil, cards.hasoriginalalternative
SELECT cards.name, cards.flavortext, cards.text, cards.type, cards.rarity, cards.artist, cards.layout, cards.frameversion, cards.istextless, cards.istimeshifted, cards.isreprint, cards.isreserved, cards.isoversized, cards.ispromo, cards.isfullart, cards.isfoil, cards.isnonfoil, cards.hasfoil, cards.hasnonfoil, cards.hasalternativedecklimit, cards.hascontentwarning, cards.isalternative, cards.isstarter, cards.isstoryspotlight, cards.istimeshifted, cards.istextless, cards.istimeshifted, cards.istextless, cards.istimeshifted, cards.istextless, cards.istimeshifted, cards.istextless, cards.istimeshifted, cards.istextless, cards.istimeshifted, cards.istextless, cards.istimeshifted, cards.istextless, cards.istimeshifted, cards.istextless, cards.istimeshifted, cards.istextless, cards.istimeshifted, cards.istextless, cards.istimeshifted, cards.istextless, cards.istimeshifted, cards.istextless, cards.istimeshifted, cards.istextless, cards.
SELECT cards.name, cards.artist, cards.flavortext, cards.text, cards.type, cards.rarity, cards.layout, cards.manacost, cards.power, cards.toughness, cards.loyalty, cards.colors, cards.coloridentity, cards.colorindicator, cards.keywords, cards.frameversion, cards.frameeffects, cards.istextless, cards.isoversized, cards.isreprint, cards.isreserved, cards.istimeshifted, cards.isfullart, cards.ispromo, cards.isalternative, cards.isstarter, cards.isstoryspotlight, cards.iscontentwarning, cards.hasfoil, cards.hasnonfoil, cards.hasalternativedecklimit, cards.hascontentwarning, cards.isoriginaltextless, cards.isoriginalfullart, cards.isoriginalpromo, cards.isoriginalstarter, cards.isoriginalstoryspotlight, cards.isoriginalcontentwarning, cards.isoriginalfoil, cards.isoriginalnonfoil, cards.isoriginalalternativedecklimit, cards.isoriginalcontentwarning, cards.isoriginaltextless, cards.isoriginalfullart, cards.isoriginalpromo, cards.isoriginalstarter, cards.isoriginalstoryspotlight, cards.isoriginalcontentwarning, cards.isoriginalfoil, cards.isoriginalnonfoil, cards.isoriginalalternativedecklimit, cards.isoriginalcontentwarning, cards
SELECT * FROM cards WHERE frameversion = '1997' AND status = 'legacy' AND hascontentwarning = 'Wizards of the Coast' AND artist = 'D. Alexander Gregory'","SELECT cards.name, cards.id, cards.artist, cards.flavortext, cards.frameversion, cards.layout, cards.manacost, cards.multiverseid, cards.name, cards.number, cards.originaltext, cards.originaltype, cards.power, cards.rarity, cards.text, cards.toughness, cards.type, cards.uuid, cards.watermark, legalities.status, sets.code, sets.name, sets.releasedate, sets.type, set_translations.language, set_translations.translation, foreign_data.flavortext, foreign_data.language, foreign_data.name, foreign_data.text, foreign_data.type, rulings.date, rulings.text FROM cards JOIN legalities ON cards.id = legalities.id JOIN sets ON cards.setcode = sets.code JOIN set_translations ON cards.setcode = set_translations.setcode JOIN foreign_data ON cards.id = foreign_data.id JOIN rulings ON cards.id = rulings.id WHERE cards.frameversion = '1997' AND legalities.format = 'legacy' AND cards.hascontentwarning = 1 AND cards.hasfoil = 1 AND cards.isfullart = 1 AND cards.isreprint = 1 AND cards.isreserved = 1",0.0
9,1526,"For the customer who paid 634.8 in 2012/8/25, what was the consumption decrease rate from Year 2012 to 2013?",debit_card_specializing,challenging,"SELECT CAST(SUM(IIF(SUBSTR(Date, 1, 4) = '2012', Consumption, 0)) - SUM(IIF(SUBSTR(Date, 1, 4) = '2013', Consumption, 0)) AS FLOAT) / SUM(IIF(SUBSTR(Date, 1, 4) = '2012', Consumption, 0)) FROM yearmonth WHERE CustomerID = ( SELECT T1.CustomerID FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-25' AND T1.Price = 634.8 )",7,"SELECT (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25') AND date = '2013/1/1') - (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25') AND date = '2012/1/1') FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25'
SELECT (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE date = '2012/8/25' AND amount = 634.8) AND date = '2013/1/1') - (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE date = '2012/8/25' AND amount = 634.8) AND date = '2012/1/1') FROM transactions_1k WHERE date = '2012/8/25' AND amount = 634.8
SELECT (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25') AND date = '2013/1/1') - (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25') AND date = '2012/1/1') FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25'
SELECT (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25') AND date = '2013/1/1') - (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25') AND date = '2012/1/1') FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25'
SELECT (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25') AND date = '2013/1/1') - (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25') AND date = '2012/1/1') FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25'
SELECT (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25') AND date = '2013/1/1') - (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25') AND date = '2012/1/1') FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25'
SELECT (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE date = '2012/8/25' AND amount = 634.8) AND date = '2013/1/1') - (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE date = '2012/8/25' AND amount = 634.8) AND date = '2012/1/1') FROM transactions_1k WHERE date = '2012/8/25' AND amount = 634.8",SELECT (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25') AND date = '2013/1/1') - (SELECT consumption FROM yearmonth WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25') AND date = '2012/1/1') FROM transactions_1k WHERE amount = 634.8 AND date = '2012/8/25',0.0
