Unnamed: 0,Qid,Question,Db_Id,Difficulty,Query Gold,Repeated,Query Generated,Most Frequent Query,Execution Accuracy
0,306,Which molecules have triple bonds and list all the elements they contain.,toxicology,challenging,"SELECT DISTINCT T1.molecule_id, T2.element FROM bond AS T1 INNER JOIN atom AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '#'",7,"SELECT a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON b.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' GROUP BY m.molecule_id
SELECT a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON b.molecule_id = m.molecule_id WHERE b.bond_type = 'triple'
SELECT a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON b.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' GROUP BY m.molecule_id
SELECT a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON b.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' GROUP BY m.molecule_id
SELECT a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON b.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' GROUP BY m.molecule_id
SELECT a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON b.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' GROUP BY m.molecule_id
SELECT a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON b.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' GROUP BY m.molecule_id",SELECT a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON b.molecule_id = m.molecule_id WHERE b.bond_type = 'triple' GROUP BY m.molecule_id,0.0
1,1261,How many patients with a normal RF don't have thrombosis?,thrombosis_prediction,simple,SELECT COUNT(DISTINCT T1.ID) FROM Examination AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.RF < 20 AND T1.Thrombosis = 0,7,"SELECT COUNT(*) FROM patient JOIN examination ON patient.id = examination.id JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.rf = 'normal' AND examination.thrombosis = 'no'
SELECT COUNT(*) FROM patient JOIN examination ON patient.id = examination.id JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.rf = 'normal' AND examination.thrombosis = 'no'
SELECT COUNT(*) FROM patient JOIN examination ON patient.id = examination.id JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.rf = 'normal' AND examination.thrombosis = 'no'
SELECT COUNT(*) FROM patient JOIN examination ON patient.id = examination.id JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.rf = 'normal' AND examination.thrombosis = 'no'
SELECT COUNT(*) FROM patient JOIN examination ON patient.id = examination.id JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.rf = 'normal' AND examination.thrombosis = 'no'
SELECT COUNT(*) FROM patient JOIN examination ON patient.id = examination.id JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.rf = 'normal' AND examination.thrombosis = 'no'
SELECT COUNT(*) FROM patient JOIN examination ON patient.id = examination.id JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.rf = 'normal' AND examination.thrombosis = 'no'",SELECT COUNT(*) FROM patient JOIN examination ON patient.id = examination.id JOIN laboratory ON patient.id = laboratory.id WHERE laboratory.rf = 'normal' AND examination.thrombosis = 'no',0.0
2,601,What is the score and the link type ID for post ID 395?,codebase_community,simple,"SELECT T1.Score, T2.LinkTypeId FROM posts AS T1 INNER JOIN postLinks AS T2 ON T1.Id = T2.PostId WHERE T2.PostId = 395",7,"SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395","SELECT score, linktypeid FROM postlinks WHERE postid = 395",0.0
3,245,What is the average number of bonds the atoms with the element iodine have?,toxicology,moderate,SELECT CAST(COUNT(T2.bond_id) AS REAL) / COUNT(T1.atom_id) FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T1.element = 'i',7,"SELECT AVG(bond_count) FROM (     SELECT COUNT(b.bond_id) AS bond_count     FROM atom a     JOIN connected c ON a.atom_id = c.atom_id     JOIN bond b ON c.bond_id = b.bond_id     WHERE a.element = 'iodine'     GROUP BY a.atom_id )
SELECT AVG(bond_count) FROM (     SELECT COUNT(b.bond_id) AS bond_count     FROM atom a     JOIN connected c ON a.atom_id = c.atom_id     JOIN bond b ON c.bond_id = b.bond_id     WHERE a.element = 'iodine'     GROUP BY a.atom_id )
SELECT AVG(bond_count) FROM (     SELECT COUNT(b.bond_id) AS bond_count     FROM atom a     JOIN connected c ON a.atom_id = c.atom_id     JOIN bond b ON c.bond_id = b.bond_id     WHERE a.element = 'iodine'     GROUP BY a.atom_id )
SELECT AVG(bond_count) FROM (     SELECT COUNT(b.bond_id) AS bond_count     FROM atom a     JOIN connected c ON a.atom_id = c.atom_id     JOIN bond b ON c.bond_id = b.bond_id     WHERE a.element = 'iodine'     GROUP BY a.atom_id )
SELECT AVG(bond_count) FROM (   SELECT COUNT(b.bond_id) AS bond_count   FROM atom a   JOIN connected c ON a.atom_id = c.atom_id   JOIN bond b ON c.bond_id = b.bond_id   WHERE a.element = 'iodine'   GROUP BY a.atom_id )
SELECT AVG(bond_count) FROM (     SELECT COUNT(b.bond_id) AS bond_count     FROM atom a     JOIN connected c ON a.atom_id = c.atom_id     JOIN bond b ON c.bond_id = b.bond_id     WHERE a.element = 'iodine'     GROUP BY a.atom_id )
SELECT AVG(bond_count) FROM (   SELECT COUNT(b.bond_id) AS bond_count   FROM atom a   JOIN connected c ON a.atom_id = c.atom_id   JOIN bond b ON c.bond_id = b.bond_id   WHERE a.element = 'iodine'   GROUP BY a.atom_id )",SELECT AVG(bond_count) FROM (     SELECT COUNT(b.bond_id) AS bond_count     FROM atom a     JOIN connected c ON a.atom_id = c.atom_id     JOIN bond b ON c.bond_id = b.bond_id     WHERE a.element = 'iodine'     GROUP BY a.atom_id ),0.0
4,215,How many atoms with iodine and with sulfur type elements are there in single bond molecules?,toxicology,challenging,"SELECT COUNT(DISTINCT CASE WHEN T1.element = 'i' THEN T1.atom_id ELSE NULL END) AS iodine_nums , COUNT(DISTINCT CASE WHEN T1.element = 's' THEN T1.atom_id ELSE NULL END) AS sulfur_nums FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id INNER JOIN bond AS T3 ON T2.bond_id = T3.bond_id WHERE T3.bond_type = '-'",7,"SELECT COUNT(*) FROM atom JOIN bond ON atom.molecule_id = bond.molecule_id JOIN connected ON atom.atom_id = connected.atom_id WHERE atom.element IN ('iodine', 'sulfur') AND bond.bond_type = 'single'
SELECT COUNT(*) FROM atom JOIN bond ON atom.molecule_id = bond.molecule_id JOIN connected ON atom.atom_id = connected.atom_id WHERE atom.element IN ('iodine', 'sulfur') AND bond.bond_type = 'single'
SELECT COUNT(*) FROM atom JOIN bond ON atom.molecule_id = bond.molecule_id JOIN connected ON atom.atom_id = connected.atom_id WHERE atom.element IN ('iodine', 'sulfur') AND bond.bond_type = 'single'
SELECT COUNT(*) FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element IN ('iodine', 'sulfur') AND bond.bond_type = 'single' AND EXISTS (     SELECT 1     FROM atom AS atom2     JOIN connected AS connected2 ON atom2.atom_id = connected2.atom_id2     WHERE connected2.atom_id = atom.atom_id     AND atom2.element IN ('iodine', 'sulfur') )
SELECT COUNT(*) FROM atom JOIN bond ON atom.molecule_id = bond.molecule_id JOIN connected ON atom.atom_id = connected.atom_id WHERE atom.element IN ('iodine', 'sulfur') AND bond.bond_type = 'single'
SELECT COUNT(*) FROM atom JOIN bond ON atom.molecule_id = bond.molecule_id JOIN connected ON atom.atom_id = connected.atom_id WHERE atom.element IN ('iodine', 'sulfur') AND bond.bond_type = 'single' AND EXISTS (SELECT 1 FROM atom AS a2 WHERE a2.atom_id = connected.atom_id2 AND a2.element IN ('iodine', 'sulfur'))
SELECT COUNT(*) FROM atom JOIN bond ON atom.molecule_id = bond.molecule_id JOIN connected ON atom.atom_id = connected.atom_id WHERE atom.element IN ('iodine', 'sulfur') AND bond.bond_type = 'single' AND EXISTS (     SELECT 1     FROM atom AS a2     JOIN connected AS c2 ON a2.atom_id = c2.atom_id2     WHERE c2.bond_id = bond.bond_id     AND a2.element IN ('iodine', 'sulfur') )","SELECT COUNT(*) FROM atom JOIN bond ON atom.molecule_id = bond.molecule_id JOIN connected ON atom.atom_id = connected.atom_id WHERE atom.element IN ('iodine', 'sulfur') AND bond.bond_type = 'single'",0.0
5,1299,"Among the patients with the normal level of triglyceride, how many of them have other symptoms observed?",thrombosis_prediction,simple,SELECT COUNT(T1.ID) FROM Examination AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.TG < 200 AND T1.Symptoms IS NOT NULL,7,"SELECT COUNT(*) FROM examination JOIN patient ON examination.id = patient.id JOIN laboratory ON examination.id = laboratory.id WHERE laboratory.tg = 'normal' AND examination.symptoms IS NOT NULL
SELECT COUNT(*) FROM examination JOIN patient ON examination.id = patient.id JOIN laboratory ON examination.id = laboratory.id WHERE laboratory.tg = 'normal' AND examination.symptoms IS NOT NULL
SELECT COUNT(*) FROM examination JOIN patient ON examination.id = patient.id JOIN laboratory ON examination.id = laboratory.id WHERE laboratory.tg = 'normal' AND examination.symptoms IS NOT NULL
SELECT COUNT(*) FROM examination JOIN patient ON examination.id = patient.id JOIN laboratory ON examination.id = laboratory.id WHERE laboratory.tg = 'normal' AND examination.symptoms IS NOT NULL
SELECT COUNT(*) FROM examination JOIN patient ON examination.id = patient.id JOIN laboratory ON examination.id = laboratory.id WHERE laboratory.tg = 'normal' AND examination.symptoms IS NOT NULL
SELECT COUNT(*) FROM examination JOIN patient ON examination.id = patient.id JOIN laboratory ON examination.id = laboratory.id WHERE laboratory.tg = 'normal' AND examination.symptoms IS NOT NULL
SELECT COUNT(*) FROM examination JOIN patient ON examination.id = patient.id JOIN laboratory ON examination.id = laboratory.id WHERE laboratory.tg = 'normal' AND examination.symptoms IS NOT NULL",SELECT COUNT(*) FROM examination JOIN patient ON examination.id = patient.id JOIN laboratory ON examination.id = laboratory.id WHERE laboratory.tg = 'normal' AND examination.symptoms IS NOT NULL,0.0
6,842,Calculate the average height of all neutral superheroes.,superhero,simple,SELECT AVG(T1.height_cm) FROM superhero AS T1 INNER JOIN alignment AS T2 ON T1.alignment_id = T2.id WHERE T2.alignment = 'Neutral',7,"SELECT AVG(height_cm) FROM superhero JOIN alignment ON superhero.alignment_id = alignment.id WHERE alignment.alignment = 'neutral'
SELECT AVG(height_cm) FROM superhero JOIN alignment ON superhero.alignment_id = alignment.id WHERE alignment.alignment = 'neutral'
SELECT AVG(height_cm) FROM superhero JOIN alignment ON superhero.alignment_id = alignment.id WHERE alignment.alignment = 'neutral'
SELECT AVG(height_cm) FROM superhero JOIN alignment ON superhero.alignment_id = alignment.id WHERE alignment.alignment = 'neutral'
SELECT AVG(height_cm) FROM superhero JOIN alignment ON superhero.alignment_id = alignment.id WHERE alignment.alignment = 'neutral'
SELECT AVG(height_cm) FROM superhero JOIN alignment ON superhero.alignment_id = alignment.id WHERE alignment.alignment = 'neutral'
SELECT AVG(height_cm) FROM superhero JOIN alignment ON superhero.alignment_id = alignment.id WHERE alignment.alignment = 'neutral'",SELECT AVG(height_cm) FROM superhero JOIN alignment ON superhero.alignment_id = alignment.id WHERE alignment.alignment = 'neutral',0.0
7,1149,Are there more in-patient or outpatient who were male? What is the deviation in percentage?,thrombosis_prediction,moderate,SELECT CAST(SUM(CASE WHEN Admission = '+' THEN 1 ELSE 0 END) AS REAL) * 100 / SUM(CASE WHEN Admission = '-' THEN 1 ELSE 0 END) FROM Patient WHERE SEX = 'M',7,"NULL
NULL
NULL
SELECT COUNT(*) FROM patient WHERE admission = 'in-patient' AND sex = 'male') AS in_patient_male,     (SELECT COUNT(*) FROM patient WHERE admission = 'outpatient' AND sex = 'male') AS outpatient_male,     ABS((in_patient_male - outpatient_male) / ((in_patient_male + outpatient_male) / 2.0)) * 100 AS deviation_percentage
SELECT COUNT(*) FROM patient WHERE sex = 'male' AND admission = 'in-patient') AS in_patient_male,     (SELECT COUNT(*) FROM patient WHERE sex = 'male' AND admission = 'outpatient') AS outpatient_male,     ABS((in_patient_male - outpatient_male) / ((in_patient_male + outpatient_male) / 2.0)) * 100 AS deviation_percentage
NULL
NULL",,0.0
8,521,"Among the cards whose version of frame style is 1997, what is the status of the card illustrated by D. Alexander Gregory in legacy play format that has sensitive content or Wizards of the Coast?",card_games,challenging,SELECT DISTINCT T2.status FROM cards AS T1 INNER JOIN legalities AS T2 ON T2.uuid = T1.uuid WHERE T1.frameVersion = 1997 AND T1.hasContentWarning = 1 AND T1.artist = 'D. Alexander Gregory' AND T2.format = 'legacy',7,"SELECT status FROM cards JOIN legalities ON cards.id = legalities.id WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND format = 'legacy' AND (hascontentwarning = 1 OR artist = 'Wizards of the Coast')
SELECT status FROM cards JOIN legalities ON cards.id = legalities.id WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND format = 'legacy' AND (hascontentwarning = 1 OR artist = 'Wizards of the Coast')
SELECT status FROM cards JOIN legalities ON cards.id = legalities.id WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND format = 'legacy' AND (hascontentwarning = 1 OR artist = 'Wizards of the Coast')
SELECT status FROM cards JOIN legalities ON cards.id = legalities.id WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND format = 'legacy' AND (hascontentwarning = 1 OR artist = 'Wizards of the Coast')
SELECT status FROM cards JOIN legalities ON cards.id = legalities.id WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND format = 'legacy' AND (hascontentwarning = 1 OR artist = 'Wizards of the Coast')
SELECT status FROM cards JOIN legalities ON cards.id = legalities.id WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND format = 'legacy' AND (hascontentwarning = 1 OR artist = 'Wizards of the Coast')
SELECT status FROM cards JOIN legalities ON cards.id = legalities.id WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND format = 'legacy' AND (hascontentwarning = 1 OR artist = 'Wizards of the Coast')",SELECT status FROM cards JOIN legalities ON cards.id = legalities.id WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND format = 'legacy' AND (hascontentwarning = 1 OR artist = 'Wizards of the Coast'),0.0
9,1526,"For the customer who paid 634.8 in 2012/8/25, what was the consumption decrease rate from Year 2012 to 2013?",debit_card_specializing,challenging,"SELECT CAST(SUM(IIF(SUBSTR(Date, 1, 4) = '2012', Consumption, 0)) - SUM(IIF(SUBSTR(Date, 1, 4) = '2013', Consumption, 0)) AS FLOAT) / SUM(IIF(SUBSTR(Date, 1, 4) = '2012', Consumption, 0)) FROM yearmonth WHERE CustomerID = ( SELECT T1.CustomerID FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-25' AND T1.Price = 634.8 )",7,"SELECT ((SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012') - SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2013')) / SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012')) AS consumption_decrease_rate FROM transactions_1k WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012-08-25') AND strftime('%Y', date) IN ('2012', '2013')
SELECT ((SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012') - SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2013')) / SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012')) AS consumption_decrease_rate FROM transactions_1k WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012-08-25') GROUP BY customerid
SELECT ((SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012') - SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2013')) / SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012')) AS consumption_decrease_rate FROM transactions_1k WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012-08-25') GROUP BY customerid
SELECT ((SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012') - SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2013')) / SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012')) AS consumption_decrease_rate FROM transactions_1k WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012-08-25') GROUP BY customerid
SELECT ((SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012') - SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2013')) / SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012')) AS consumption_decrease_rate FROM transactions_1k WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012-08-25') GROUP BY customerid
SELECT ((SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012') - SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2013')) / SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012')) AS consumption_decrease_rate FROM transactions_1k WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012-08-25') GROUP BY customerid
SELECT ((SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012') - SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2013')) / SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012')) AS consumption_decrease_rate FROM transactions_1k WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012-08-25') GROUP BY customerid","SELECT ((SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012') - SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2013')) / SUM(consumption) FILTER (WHERE strftime('%Y', date) = '2012')) AS consumption_decrease_rate FROM transactions_1k WHERE customerid = (SELECT customerid FROM transactions_1k WHERE amount = 634.8 AND date = '2012-08-25') GROUP BY customerid",0.0
