,Qid,Question,Db_Id,Difficulty,Query Gold,Repeated,Query Generated,Most Frequent Query
0,306,Which molecules have triple bonds and list all the elements they contain.,toxicology,challenging,"SELECT DISTINCT T1.molecule_id, T2.element FROM bond AS T1 INNER JOIN atom AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '#'",7,"SELECT m.label, a.element  FROM molecule m  JOIN atom a ON m.molecule_id = a.molecule_id  JOIN connected c ON a.atom_id = c.atom_id  JOIN bond b ON c.bond_id = b.bond_id  WHERE b.bond_type = 'triple'  GROUP BY m.label, a.element
SELECT m.label, a.element FROM molecule m JOIN atom a ON m.molecule_id = a.molecule_id JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id WHERE b.bond_type = 'triple'
SELECT m.label, a.element FROM molecule m JOIN atom a ON m.molecule_id = a.molecule_id JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id WHERE b.bond_type = 'triple'
SELECT m.label, a.element  FROM molecule m  JOIN atom a ON m.molecule_id = a.molecule_id  JOIN connected c ON a.atom_id = c.atom_id  JOIN bond b ON c.bond_id = b.bond_id  WHERE b.bond_type = 'triple'  GROUP BY m.label, a.element
SELECT m.label, a.element  FROM molecule m  JOIN atom a ON m.molecule_id = a.molecule_id  JOIN connected c ON a.atom_id = c.atom_id  JOIN bond b ON c.bond_id = b.bond_id  WHERE b.bond_type = 'triple'  GROUP BY m.label, a.element
SELECT m.label, a.element FROM molecule m JOIN atom a ON m.molecule_id = a.molecule_id JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id WHERE b.bond_type = 'triple'
SELECT m.label, a.element  FROM molecule m  JOIN atom a ON m.molecule_id = a.molecule_id  JOIN connected c ON a.atom_id = c.atom_id  JOIN bond b ON c.bond_id = b.bond_id  WHERE b.bond_type = 'triple'  GROUP BY m.label, a.element","SELECT m.label, a.element  FROM molecule m  JOIN atom a ON m.molecule_id = a.molecule_id  JOIN connected c ON a.atom_id = c.atom_id  JOIN bond b ON c.bond_id = b.bond_id  WHERE b.bond_type = 'triple'  GROUP BY m.label, a.element"
1,1261,How many patients with a normal RF don't have thrombosis?,thrombosis_prediction,simple,SELECT COUNT(DISTINCT T1.ID) FROM Examination AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.RF < 20 AND T1.Thrombosis = 0,7,"SELECT COUNT(*) FROM patient p JOIN laboratory l ON p.id = l.id WHERE l.rf = 'normal' AND l.thrombosis = 'no'
SELECT COUNT(*) FROM patient p JOIN laboratory l ON p.id = l.id WHERE l.rf = 'normal' AND l.thrombosis = 'no'
SELECT COUNT(*) FROM patient p JOIN laboratory l ON p.id = l.id WHERE l.rf = 'normal' AND l.thrombosis = 'no'
SELECT COUNT(*) FROM patient p JOIN laboratory l ON p.id = l.id WHERE l.rf = 'normal' AND l.thrombosis = 'no'
SELECT COUNT(*) FROM patient p JOIN laboratory l ON p.id = l.id WHERE l.rf = 'normal' AND l.thrombosis = 'no'
SELECT COUNT(*) FROM patient p JOIN laboratory l ON p.id = l.id WHERE l.rf = 'normal' AND l.thrombosis = 'no'
SELECT COUNT(*) FROM patient p JOIN laboratory l ON p.id = l.id WHERE l.rf = 'normal' AND l.thrombosis = 'no'",SELECT COUNT(*) FROM patient p JOIN laboratory l ON p.id = l.id WHERE l.rf = 'normal' AND l.thrombosis = 'no'
2,601,What is the score and the link type ID for post ID 395?,codebase_community,simple,"SELECT T1.Score, T2.LinkTypeId FROM posts AS T1 INNER JOIN postLinks AS T2 ON T1.Id = T2.PostId WHERE T2.PostId = 395",7,"SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395
SELECT score, linktypeid FROM postlinks WHERE postid = 395","SELECT score, linktypeid FROM postlinks WHERE postid = 395"
3,245,What is the average number of bonds the atoms with the element iodine have?,toxicology,moderate,SELECT CAST(COUNT(T2.bond_id) AS REAL) / COUNT(T1.atom_id) FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T1.element = 'i',7,"SELECT AVG(num_bonds) AS average_bonds FROM (     SELECT molecule_id, COUNT(bond_id) AS num_bonds     FROM connected     JOIN bond ON connected.bond_id = bond.bond_id     WHERE connected.atom_id IN (         SELECT atom_id         FROM atom         WHERE element = 'iodine'     )     GROUP BY molecule_id )
SELECT AVG(num_bonds) FROM (SELECT molecule_id, COUNT(*) AS num_bonds FROM connected JOIN bond ON connected.bond_id = bond.bond_id WHERE connected.atom_id IN (SELECT atom_id FROM atom WHERE element = 'iodine') GROUP BY molecule_id)
SELECT AVG(num_bonds) FROM (SELECT molecule_id, COUNT(bond_id) AS num_bonds FROM connected JOIN bond ON connected.bond_id = bond.bond_id WHERE connected.atom_id IN (SELECT atom_id FROM atom WHERE element = 'iodine') GROUP BY molecule_id)
SELECT AVG(num_bonds) FROM (SELECT molecule_id, COUNT(*) AS num_bonds FROM connected JOIN bond ON connected.bond_id = bond.bond_id WHERE connected.atom_id IN (SELECT atom_id FROM atom WHERE element = 'iodine') GROUP BY molecule_id)
SELECT AVG(num_bonds) FROM (SELECT molecule_id, COUNT(bond_id) AS num_bonds FROM connected JOIN bond ON connected.bond_id = bond.bond_id WHERE connected.atom_id IN (SELECT atom_id FROM atom WHERE element = 'iodine') GROUP BY molecule_id)
SELECT AVG(num_bonds) FROM (SELECT molecule_id, COUNT(*) AS num_bonds FROM connected JOIN bond ON connected.bond_id = bond.bond_id WHERE connected.atom_id IN (SELECT atom_id FROM atom WHERE element = 'iodine') GROUP BY molecule_id)
SELECT AVG(num_bonds) FROM (SELECT molecule_id, COUNT(*) AS num_bonds FROM connected JOIN bond ON connected.bond_id = bond.bond_id WHERE connected.atom_id IN (SELECT atom_id FROM atom WHERE element = 'iodine') GROUP BY molecule_id)","SELECT AVG(num_bonds) FROM (SELECT molecule_id, COUNT(*) AS num_bonds FROM connected JOIN bond ON connected.bond_id = bond.bond_id WHERE connected.atom_id IN (SELECT atom_id FROM atom WHERE element = 'iodine') GROUP BY molecule_id)"
4,215,How many atoms with iodine and with sulfur type elements are there in single bond molecules?,toxicology,challenging,"SELECT COUNT(DISTINCT CASE WHEN T1.element = 'i' THEN T1.atom_id ELSE NULL END) AS iodine_nums , COUNT(DISTINCT CASE WHEN T1.element = 's' THEN T1.atom_id ELSE NULL END) AS sulfur_nums FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id INNER JOIN bond AS T3 ON T2.bond_id = T3.bond_id WHERE T3.bond_type = '-'",7,"SELECT COUNT(*) FROM (SELECT DISTINCT atom.atom_id FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single')
SELECT COUNT(*) FROM (SELECT DISTINCT atom.atom_id FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single')
SELECT COUNT(*) FROM (SELECT DISTINCT atom.atom_id FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single')
SELECT COUNT(*) FROM (SELECT DISTINCT atom.atom_id FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single')
SELECT COUNT(*) FROM (SELECT DISTINCT atom.atom_id FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single')
SELECT COUNT(*) FROM (SELECT DISTINCT atom.atom_id FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single')
SELECT COUNT(*) FROM (SELECT DISTINCT atom.atom_id FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single')","SELECT COUNT(*) FROM (SELECT DISTINCT atom.atom_id FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id WHERE atom.element IN ('I', 'S') AND bond.bond_type = 'single')"
5,1299,"Among the patients with the normal level of triglyceride, how many of them have other symptoms observed?",thrombosis_prediction,simple,SELECT COUNT(T1.ID) FROM Examination AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.TG < 200 AND T1.Symptoms IS NOT NULL,7,"SELECT COUNT(*) FROM patient p JOIN examination e ON p.id = e.id WHERE e.symptoms IS NOT NULL AND e.tg = 'normal'
SELECT COUNT(*) FROM patient p JOIN examination e ON p.id = e.id WHERE e.symptoms IS NOT NULL AND e.tg = 'normal'
SELECT COUNT(*) FROM patient p JOIN examination e ON p.id = e.id WHERE e.symptoms IS NOT NULL AND e.tg = 'normal'
SELECT COUNT(*) FROM patient p JOIN examination e ON p.id = e.id WHERE e.symptoms IS NOT NULL AND e.tg = 'normal'
SELECT COUNT(*) FROM patient p JOIN examination e ON p.id = e.id WHERE e.symptoms IS NOT NULL AND e.tg = 'normal'
SELECT COUNT(*) FROM patient p JOIN examination e ON p.id = e.id WHERE e.symptoms IS NOT NULL AND e.tg = 'normal'
SELECT COUNT(*) FROM patient p JOIN examination e ON p.id = e.id WHERE e.symptoms IS NOT NULL AND e.tg = 'normal'",SELECT COUNT(*) FROM patient p JOIN examination e ON p.id = e.id WHERE e.symptoms IS NOT NULL AND e.tg = 'normal'
6,842,Calculate the average height of all neutral superheroes.,superhero,simple,SELECT AVG(T1.height_cm) FROM superhero AS T1 INNER JOIN alignment AS T2 ON T1.alignment_id = T2.id WHERE T2.alignment = 'Neutral',7,"SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')",SELECT AVG(height_cm) FROM superhero WHERE alignment_id = (SELECT id FROM alignment WHERE alignment = 'neutral')
7,1149,Are there more in-patient or outpatient who were male? What is the deviation in percentage?,thrombosis_prediction,moderate,SELECT CAST(SUM(CASE WHEN Admission = '+' THEN 1 ELSE 0 END) AS REAL) * 100 / SUM(CASE WHEN Admission = '-' THEN 1 ELSE 0 END) FROM Patient WHERE SEX = 'M',7,"SELECT sex, COUNT(*) AS count FROM (SELECT p.sex, p.id, l.id AS lab_id FROM patient p JOIN laboratory l ON p.id = l.id) WHERE sex = 'male' GROUP BY sex
SELECT sex, COUNT(*) AS count FROM (SELECT p.sex, p.id, l.id AS lab_id FROM patient p JOIN laboratory l ON p.id = l.id) WHERE sex = 'male' GROUP BY sex
SELECT sex, COUNT(*) AS count FROM (SELECT p.sex, p.id, l.id AS lab_id FROM patient p JOIN laboratory l ON p.id = l.id) WHERE sex = 'male' GROUP BY sex
SELECT sex, COUNT(*) AS count FROM (SELECT p.sex, p.id, l.id AS lab_id FROM patient p JOIN laboratory l ON p.id = l.id) WHERE sex = 'male' GROUP BY sex HAVING COUNT(*) > 0
SELECT sex, COUNT(*) AS count FROM (SELECT p.sex, p.id, l.id AS lab_id FROM patient p JOIN laboratory l ON p.id = l.id) WHERE sex = 'male' GROUP BY sex
SELECT sex, COUNT(*) AS count FROM (SELECT p.sex, p.id, l.id AS lab_id FROM patient p JOIN laboratory l ON p.id = l.id) WHERE sex = 'male' GROUP BY sex
SELECT sex, COUNT(*) AS count FROM (SELECT p.sex, p.id, l.id AS lab_id FROM patient p JOIN laboratory l ON p.id = l.id) WHERE sex = 'male' GROUP BY sex","SELECT sex, COUNT(*) AS count FROM (SELECT p.sex, p.id, l.id AS lab_id FROM patient p JOIN laboratory l ON p.id = l.id) WHERE sex = 'male' GROUP BY sex"
8,521,"Among the cards whose version of frame style is 1997, what is the status of the card illustrated by D. Alexander Gregory in legacy play format that has sensitive content or Wizards of the Coast?",card_games,challenging,SELECT DISTINCT T2.status FROM cards AS T1 INNER JOIN legalities AS T2 ON T2.uuid = T1.uuid WHERE T1.frameVersion = 1997 AND T1.hasContentWarning = 1 AND T1.artist = 'D. Alexander Gregory' AND T2.format = 'legacy',7,"SELECT status FROM cards WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND hascontentwarning = 1 OR Wizards_of_the_Coast = 1
SELECT status FROM cards WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND hascontentwarning = 1 OR Wizards_of_the_Coast = 1
SELECT status FROM cards WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND hascontentwarning = 1 OR Wizards_of_the_Coast = 1
SELECT status FROM cards WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND hascontentwarning = 1 OR Wizards_of_the_Coast = 1
SELECT status FROM cards WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND hascontentwarning = 1 OR Wizards_of_the_Coast = 1
SELECT status FROM cards WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND hascontentwarning = 1 OR Wizards_of_the_Coast = 1
SELECT status FROM cards WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND hascontentwarning = 1 OR Wizards_of_the_Coast = 1",SELECT status FROM cards WHERE frameversion = '1997' AND artist = 'D. Alexander Gregory' AND hascontentwarning = 1 OR Wizards_of_the_Coast = 1
9,1526,"For the customer who paid 634.8 in 2012/8/25, what was the consumption decrease rate from Year 2012 to 2013?",debit_card_specializing,challenging,"SELECT CAST(SUM(IIF(SUBSTR(Date, 1, 4) = '2012', Consumption, 0)) - SUM(IIF(SUBSTR(Date, 1, 4) = '2013', Consumption, 0)) AS FLOAT) / SUM(IIF(SUBSTR(Date, 1, 4) = '2012', Consumption, 0)) FROM yearmonth WHERE CustomerID = ( SELECT T1.CustomerID FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-25' AND T1.Price = 634.8 )",7,"SELECT (consumption_2013 - consumption_2012) / consumption_2012 * 100 AS consumption_decrease_rate FROM (     SELECT          ym1.customerid,         ym1.consumption AS consumption_2012,         ym2.consumption AS consumption_2013     FROM          yearmonth ym1     JOIN          yearmonth ym2 ON ym1.customerid = ym2.customerid AND strftime('%Y', ym1.date) = '2012' AND strftime('%Y', ym2.date) = '2013'     WHERE          ym1.date = '2012/8/25' AND ym2.date = '2013/8/25' ) WHERE      customerid = (         SELECT customerid          FROM transactions_1k          WHERE amount = 634.8 AND date = '2012/8/25'     )
SELECT (SELECT consumption FROM yearmonth WHERE customerid = 'customerid' AND date = '2012/8/25') - (SELECT consumption FROM yearmonth WHERE customerid = 'customerid' AND date = '2013/8/25') AS consumption_decrease_rate FROM transactions_1k WHERE customerid = 'customerid' AND date = '2012/8/25' AND amount = 634.8
SELECT (consumption_2013 - consumption_2012) / consumption_2012 * 100 AS consumption_decrease_rate FROM (     SELECT          ym1.customerid,         ym1.consumption AS consumption_2012,         ym2.consumption AS consumption_2013     FROM          yearmonth ym1     JOIN          yearmonth ym2 ON ym1.customerid = ym2.customerid AND strftime('%Y', ym2.date) = '2013'     WHERE          strftime('%Y', ym1.date) = '2012' AND ym1.customerid IN (             SELECT customerid              FROM transactions_1k              WHERE amount = 634.8 AND date = '2012/8/25'         ) ) 
SELECT (SELECT consumption FROM yearmonth WHERE customerid = 'customerid' AND date = '2012/8/25') - (SELECT consumption FROM yearmonth WHERE customerid = 'customerid' AND date = '2013/8/25') AS consumption_decrease_rate FROM transactions_1k WHERE customerid = 'customerid' AND date = '2012/8/25' AND amount = 634.8
SELECT (SELECT consumption FROM yearmonth WHERE customerid = 'customerid' AND date = '2012/8/25') - (SELECT consumption FROM yearmonth WHERE customerid = 'customerid' AND date = '2013/8/25') AS consumption_decrease_rate FROM transactions_1k WHERE customerid = 'customerid' AND date = '2012/8/25' AND amount = 634.8
SELECT (consumption_2013 - consumption_2012) / consumption_2012 * 100 AS consumption_decrease_rate FROM (     SELECT          ym1.customerid,         ym1.consumption AS consumption_2012,         ym2.consumption AS consumption_2013     FROM          yearmonth ym1     JOIN          yearmonth ym2 ON ym1.customerid = ym2.customerid AND strftime('%Y', ym1.date) = '2012' AND strftime('%Y', ym2.date) = '2013'     WHERE          ym1.date = '2012/8/25' AND ym2.date = '2013/8/25' ) WHERE      customerid = (         SELECT customerid          FROM transactions_1k          WHERE amount = 634.8 AND date = '2012/8/25'     )
SELECT (SELECT consumption FROM yearmonth WHERE customerid = 'customerid' AND date = '2012/8/25') - (SELECT consumption FROM yearmonth WHERE customerid = 'customerid' AND date = '2013/8/25') AS consumption_decrease_rate FROM transactions_1k WHERE customerid = 'customerid' AND date = '2012/8/25' AND amount = 634.8",SELECT (SELECT consumption FROM yearmonth WHERE customerid = 'customerid' AND date = '2012/8/25') - (SELECT consumption FROM yearmonth WHERE customerid = 'customerid' AND date = '2013/8/25') AS consumption_decrease_rate FROM transactions_1k WHERE customerid = 'customerid' AND date = '2012/8/25' AND amount = 634.8
