,Qid,Question,Db_Id,Difficulty,Query Gold,Repeated,Query Generated,Most Frequent Query
0,189,"Among the players whose preferred foot was the left foot when attacking, how many of them would remain in his position when the team attacked?",european_football_2,moderate,SELECT COUNT(player_api_id) FROM Player_Attributes WHERE preferred_foot = 'left' AND attacking_work_rate = 'low',7,"NULL
SELECT player_attributes.player_api_id, player_attributes.player_fifa_api_id, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_attributes.gk_positioning, player_attributes.gk_reflexes, player.player_name
SELECT player_attributes.player_api_id, player_attributes.player_fifa_api_id, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_attributes.gk_positioning, player_attributes.gk_reflexes FROM player_attributes INNER JOIN
SELECT player_attributes.player_api_id, player_attributes.player_fifa_api_id, player_attributes.date, player_attributes.overall_rating, player_attributes.potential, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_
SELECT player_attributes.player_api_id, player_attributes.player_fifa_api_id, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_attributes.gk_positioning, player_attributes.gk_reflexes FROM player_attributes INNER JOIN
SELECT player_attributes.player_api_id, player_attributes.player_fifa_api_id, player_attributes.date, player_attributes.overall_rating, player_attributes.potential, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_
SELECT player_attributes.player_api_id, player_attributes.player_fifa_api_id, player_attributes.date, player_attributes.overall_rating, player_attributes.potential, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_","SELECT player_attributes.player_api_id, player_attributes.player_fifa_api_id, player_attributes.date, player_attributes.overall_rating, player_attributes.potential, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_"
1,92,"Among the sets whose expansion type is Commander, which set has the highest total number of cards including promotional and related supplemental products but excluding Alchemy modifications? Indicate the id of the set.",card_games,challenging,SELECT id FROM sets WHERE type = 'commander' ORDER BY totalSetSize DESC LIMIT 1,7,"SELECT setcode, COUNT(*) as total_cards FROM cards WHERE setcode IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Commander' ) AND setcode NOT IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Alchemy' ) GROUP BY setcode ORDER BY total_cards DESC LIMIT 1
SELECT setcode, COUNT(*) AS total_cards FROM cards WHERE setcode IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Commander' ) AND setcode NOT IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Alchemy' ) GROUP BY setcode ORDER BY total_cards DESC LIMIT 1
SELECT setcode, COUNT(*) FROM cards WHERE setcode IN (SELECT setcode FROM sets WHERE expansiontype = 'Commander') GROUP BY setcode ORDER BY COUNT(*) DESC LIMIT 1
SELECT setcode, COUNT(*) AS total_cards FROM cards WHERE setcode IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Commander' ) AND setcode NOT IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Alchemy' ) GROUP BY setcode ORDER BY total_cards DESC LIMIT 1
SELECT setcode, COUNT(*) AS total_cards FROM cards WHERE setcode IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Commander' ) AND setcode NOT IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Alchemy' ) GROUP BY setcode ORDER BY total_cards DESC LIMIT 1
SELECT setcode, COUNT(*) AS total_cards FROM cards WHERE setcode IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Commander' ) AND setcode NOT IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Alchemy' ) GROUP BY setcode ORDER BY total_cards DESC LIMIT 1
SELECT setcode, COUNT(*) AS total_cards FROM cards WHERE setcode IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Commander' ) AND (     availability NOT LIKE '%Alchemy%'     OR availability IS NULL ) GROUP BY setcode ORDER BY total_cards DESC LIMIT 1","SELECT setcode, COUNT(*) AS total_cards FROM cards WHERE setcode IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Commander' ) AND setcode NOT IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Alchemy' ) GROUP BY setcode ORDER BY total_cards DESC LIMIT 1"
2,99,"Among the users who have more than 100 upvotes, how many of them have more then 1 downvotes?",codebase_community,simple,SELECT COUNT(Id) FROM users WHERE Upvotes > 100 AND Downvotes > 1,7,"SELECT COUNT(*) FROM users WHERE upvotes > 100 AND downvotes > 1
SELECT COUNT(*) FROM users WHERE upvotes > 100 AND downvotes > 1
SELECT COUNT(*) FROM users WHERE upvotes > 100 AND downvotes > 1
SELECT COUNT(*) FROM users WHERE upvotes > 100 AND downvotes > 1
SELECT COUNT(*) FROM users WHERE upvotes > 100 AND downvotes > 1
SELECT COUNT(*) FROM users WHERE upvotes > 100 AND downvotes > 1
SELECT COUNT(*) FROM users WHERE upvotes > 100 AND downvotes > 1",SELECT COUNT(*) FROM users WHERE upvotes > 100 AND downvotes > 1
3,38,What is the element of toxicology for the atom with the ID of TR000_1?,toxicology,challenging,SELECT T.element FROM atom AS T WHERE T.atom_id = 'TR000_1',7,"SELECT element FROM atom WHERE atom_id = 'TR000_1'
SELECT element FROM atom WHERE atom_id = 'TR000_1'
SELECT element FROM atom WHERE atom_id = 'TR000_1'
SELECT element FROM atom WHERE atom_id = 'TR000_1'
SELECT element FROM atom WHERE atom_id = 'TR000_1'
SELECT element FROM atom WHERE atom_id = 'TR000_1'
SELECT element FROM atom WHERE atom_id = 'TR000_1'",SELECT element FROM atom WHERE atom_id = 'TR000_1'
4,58,What are the cards in set 10E with converted mana of 5 have translation and what are the languages?,card_games,simple,"SELECT id, language FROM set_translations WHERE id = ( SELECT id FROM cards WHERE convertedManaCost = 5 ) AND setCode = '10E'",7,"SELECT cards.name, foreign_data.language, foreign_data.text FROM cards JOIN foreign_data ON cards.id = foreign_data.id WHERE cards.setcode = '10E' AND cards.convertedmanacost = 5
SELECT cards.name, foreign_data.language FROM cards JOIN foreign_data ON cards.id = foreign_data.id WHERE cards.setcode = '10E' AND cards.convertedmanacost = 5
SELECT cards.name, foreign_data.language FROM cards JOIN foreign_data ON cards.id = foreign_data.id WHERE cards.setcode = '10E' AND cards.convertedmanacost = 5
SELECT cards.name, foreign_data.language FROM cards JOIN foreign_data ON cards.id = foreign_data.id WHERE cards.setcode = '10E' AND cards.convertedmanacost = 5
SELECT cards.name, foreign_data.language FROM cards JOIN foreign_data ON cards.id = foreign_data.id WHERE cards.setcode = '10E' AND cards.convertedmanacost = 5
SELECT cards.name, foreign_data.language FROM cards JOIN foreign_data ON cards.id = foreign_data.id WHERE cards.setcode = '10E' AND cards.convertedmanacost = 5
SELECT c.name, c.convertedmanacost, f.language, f.name FROM cards c JOIN foreign_data f ON c.id = f.id WHERE c.setcode = '10E' AND c.convertedmanacost = 5","SELECT cards.name, foreign_data.language FROM cards JOIN foreign_data ON cards.id = foreign_data.id WHERE cards.setcode = '10E' AND cards.convertedmanacost = 5"
5,155,Which year was the first Singapore Grand Prix?,formula_1,simple,SELECT year FROM races WHERE name = 'Singapore Grand Prix' ORDER BY year ASC LIMIT 1,7,"SELECT year FROM races WHERE name = 'Singapore Grand Prix' ORDER BY year ASC LIMIT 1
SELECT year FROM races WHERE name = 'Singapore Grand Prix' ORDER BY year ASC LIMIT 1
SELECT year FROM races WHERE name = 'Singapore Grand Prix' ORDER BY year ASC LIMIT 1
SELECT year FROM races WHERE name = 'Singapore Grand Prix' ORDER BY year LIMIT 1
SELECT year FROM races WHERE name = 'Singapore Grand Prix' ORDER BY year LIMIT 1
SELECT year FROM races WHERE name = 'Singapore Grand Prix' ORDER BY year ASC LIMIT 1
SELECT year FROM races WHERE name = 'Singapore Grand Prix' ORDER BY year ASC LIMIT 1",SELECT year FROM races WHERE name = 'Singapore Grand Prix' ORDER BY year ASC LIMIT 1
6,220,Calculate the amount budgeted for 'April Speaker' event. List all the budgeted categories for said event in an ascending order based on their amount budgeted.,student_club,moderate,"SELECT T2.category, SUM(T2.amount) FROM event AS T1 JOIN budget AS T2 ON T1.event_id = T2.link_to_event WHERE T1.event_name = 'April Speaker' GROUP BY T2.category ORDER BY SUM(T2.amount) ASC",7,"SELECT amount FROM budget WHERE category = 'April Speaker' ORDER BY amount ASC
SELECT amount FROM budget WHERE category = 'April Speaker' ORDER BY amount ASC
SELECT amount FROM budget WHERE category = 'April Speaker' ORDER BY amount ASC
SELECT amount FROM budget WHERE category = 'April Speaker' ORDER BY amount ASC
SELECT amount FROM budget WHERE category = 'April Speaker' ORDER BY amount ASC
SELECT amount FROM budget WHERE category = 'April Speaker' ORDER BY amount ASC
SELECT amount FROM budget WHERE category = 'April Speaker' ORDER BY amount ASC",SELECT amount FROM budget WHERE category = 'April Speaker' ORDER BY amount ASC
7,156,How many races were there in 2005? Name all the races in descending order.,formula_1,simple,SELECT name FROM races WHERE year = 2005 ORDER BY name DESC,7,"SELECT COUNT(*) FROM races WHERE year = 2005
SELECT COUNT(*) FROM races WHERE year = 2005
SELECT COUNT(*) FROM races WHERE year = 2005
SELECT COUNT(*) FROM races WHERE year = 2005
SELECT COUNT(*) FROM races WHERE year = 2005
SELECT COUNT(*) FROM races WHERE year = 2005
SELECT COUNT(*) FROM races WHERE year = 2005",SELECT COUNT(*) FROM races WHERE year = 2005
8,208,What was the notes of the fundraising on 2019/9/14?,student_club,simple,SELECT notes FROM income WHERE source = 'Fundraising' AND date_received = '2019-09-14',7,"SELECT notes FROM event WHERE event_date = '2019/9/14'
SELECT notes FROM event WHERE event_date = '2019/9/14'
SELECT notes FROM event WHERE event_date = '2019/9/14'
SELECT notes FROM event WHERE event_date = '2019/9/14'
SELECT notes FROM event WHERE event_date = '2019/9/14'
SELECT notes FROM event WHERE event_date = '2019/9/14'
SELECT event.notes FROM event WHERE event.event_date = '2019/9/14'",SELECT notes FROM event WHERE event_date = '2019/9/14'
9,103,What is the title for the post which got the highest score comment?,codebase_community,simple,SELECT Title FROM posts WHERE Id = ( SELECT PostId FROM comments ORDER BY Score DESC LIMIT 1 ),7,"SELECT posts.title FROM posts JOIN comments ON posts.id = comments.postid WHERE comments.score = (SELECT MAX(score) FROM comments)
SELECT posts.title FROM posts JOIN comments ON posts.id = comments.postid WHERE comments.score = (SELECT MAX(score) FROM comments)
SELECT posts.title FROM posts INNER JOIN comments ON posts.id = comments.postid WHERE comments.score = (SELECT MAX(score) FROM comments)
SELECT posts.title FROM posts JOIN comments ON posts.id = comments.postid WHERE comments.score = (SELECT MAX(score) FROM comments)
SELECT posts.title FROM posts JOIN comments ON posts.id = comments.postid WHERE comments.score = (SELECT MAX(score) FROM comments)
SELECT posts.title FROM posts JOIN comments ON posts.id = comments.postid WHERE comments.score = (SELECT MAX(score) FROM comments)
SELECT posts.title FROM posts INNER JOIN comments ON posts.id = comments.postid WHERE comments.score = (SELECT MAX(score) FROM comments)",SELECT posts.title FROM posts JOIN comments ON posts.id = comments.postid WHERE comments.score = (SELECT MAX(score) FROM comments)
