Unnamed: 0,Qid,Question,Hardness,Query Gold,Repeated,Query Generated,db_id
0,854,List the names of orchestras that have no performance.,hard,SELECT Orchestra FROM orchestra WHERE Orchestra_ID NOT IN (SELECT Orchestra_ID FROM performance),7,"SELECT name FROM orchestra WHERE conductor_id IS NULL
SELECT name FROM orchestra WHERE conductor_id IS NULL
SELECT name FROM orchestra WHERE conductor_id IS NULL
SELECT name FROM orchestra WHERE conductor_id IS NULL
SELECT name FROM orchestra WHERE conductor_id IS NULL
SELECT name FROM orchestra WHERE conductor_id IS NULL
SELECT name FROM orchestra WHERE conductor_id IS NULL",orchestra
1,852,List the record company shared by the most number of orchestras.,hard,SELECT Record_Company FROM orchestra GROUP BY Record_Company ORDER BY COUNT(*) DESC LIMIT 1,7,"SELECT * FROM orchestra WHERE record_company = 'shared by the most number of orchestras.conductor' 
SELECT * FROM orchestra WHERE record_company = 'shared by the most number of orchestras.conductor' 
SELECT * FROM orchestra WHERE record_company = 'shared by the most number of orchestras.conductor' 
SELECT * FROM orchestra WHERE record_company = 'shared by the most number of orchestras.conductor' 
SELECT * FROM orchestra WHERE record_company = 'shared by the most number of orchestras.conductor' 
SELECT * FROM orchestra WHERE record_company = 'your_record_company'
SELECT * FROM orchestra WHERE record_company = 'shared by the most number of orchestras.conductor' ",orchestra
2,927,Find the first names that are used for professionals or owners but are not used as dog names.,hard,SELECT first_name FROM Professionals UNION SELECT first_name FROM Owners EXCEPT SELECT name FROM Dogs,7,"SELECT first_name FROM owners WHERE first_name NOT IN (SELECT name FROM dogs) AND first_name NOT IN (SELECT first_name FROM professionals)
SELECT first_name FROM owners WHERE first_name NOT IN (SELECT name FROM dogs) AND first_name NOT IN (SELECT first_name FROM professionals)
SELECT first_name FROM owners WHERE first_name NOT IN (SELECT name FROM dogs) AND first_name NOT IN (SELECT first_name FROM professionals) 
SELECT first_name FROM owners WHERE first_name NOT IN (SELECT name FROM dogs) AND first_name NOT IN (SELECT first_name FROM professionals)
SELECT first_name FROM owners WHERE first_name NOT IN (SELECT name FROM dogs) AND first_name NOT IN (SELECT first_name FROM professionals)
SELECT first_name FROM owners WHERE first_name NOT IN (SELECT name FROM dogs) AND first_name NOT IN (SELECT first_name FROM professionals)
SELECT first_name FROM owners WHERE first_name NOT IN (SELECT name FROM dogs) AND first_name NOT IN (SELECT first_name FROM professionals) ",dog_kennels
3,655,What is the money rank of the poker player with the highest earnings?,medium,SELECT Money_Rank FROM poker_player ORDER BY Earnings DESC LIMIT 1,7,"SELECT * FROM poker_player WHERE money_rank = (SELECT MAX(money_rank) FROM poker_player)
SELECT money_rank FROM poker_player WHERE earnings = (SELECT MAX(earnings) FROM poker_player)
SELECT * FROM poker_player WHERE people_id = (SELECT people_id FROM people WHERE nationality = 'USA')
SELECT * FROM poker_player WHERE money_rank = (SELECT MAX(money_rank) FROM poker_player)
SELECT * FROM poker_player WHERE earnings = (SELECT MAX(earnings) FROM poker_player)
SELECT * FROM poker_player WHERE money_rank = (SELECT MAX(money_rank) FROM poker_player)
SELECT * FROM poker_player WHERE money_rank = (SELECT MAX(money_rank) FROM poker_player)",poker_player
4,95,Which model of the car has the minimum horsepower?,hard,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,7,"SELECT * FROM cars_data WHERE horsepower = (SELECT MIN(horsepower) FROM cars_data)
SELECT * FROM cars_data WHERE horsepower = (SELECT MIN(horsepower) FROM cars_data)
SELECT modelid, maker, model FROM model_list WHERE horsepower = (SELECT MIN(horsepower) FROM cars_data)
SELECT modelid, maker, model FROM model_list WHERE horsepower = (SELECT MIN(horsepower) FROM cars_data)
SELECT * FROM cars_data WHERE horsepower = (SELECT MIN(horsepower) FROM cars_data)
SELECT modelid, maker, model FROM model_list WHERE horsepower = (SELECT MIN(horsepower) FROM cars_data)
SELECT modelid, maker, model FROM model_list WHERE horsepower = (SELECT MIN(horsepower) FROM cars_data)",car_1
5,210,Return the number of flights arriving in Aberdeen.,medium,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",7,"SELECT COUNT(*) FROM flights WHERE destairport = 'Aberdeen'
SELECT COUNT(*) FROM flights WHERE destairport = 'Aberdeen'
SELECT COUNT(*) FROM flights WHERE destairport = 'Aberdeen'
SELECT COUNT(*) FROM flights WHERE destairport = 'Aberdeen'
SELECT COUNT(*) FROM flights WHERE destairport = 'Aberdeen'
SELECT COUNT(*) FROM flights WHERE destairport = 'Aberdeen'
SELECT COUNT(*) FROM flights WHERE destairport = 'Aberdeen'",flight_2
6,111,What is the accelerate of the car make amc hornet sportabout (sw)?,medium,SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';,7,"SELECT accelerate FROM cars_data WHERE makeid = 'sw' 
SELECT accelerate FROM cars_data WHERE make = 'AMC Hornet Sportabout (SW)' 
SELECT accelerate FROM cars_data WHERE makeid = 'sw' AND model = 'sportabout' 
SELECT accelerate FROM cars_data WHERE makeid = 'sw' 
SELECT accelerate FROM cars_data WHERE make = 'amc hornet sportabout (sw)' 
SELECT accelerate FROM cars_data WHERE makeid = 'sw' 
SELECT accelerate FROM cars_data WHERE make = 'amc hornet sportabout (sw)' ",car_1
7,582,What is the description for the section named h?,easy,SELECT section_description FROM Sections WHERE section_name  =  'h',7,"SELECT * FROM addresses WHERE name = 'h'
SELECT * FROM <table_name> WHERE <column_name> = <value> 
SELECT * FROM addresses
SELECT * FROM addresses WHERE name = 'h?addresses'
NULL
SELECT * FROM addresses WHERE section_name = 'h?addresses' 
SELECT * FROM addresses WHERE name = 'h?addresses'",student_transcripts_tracking
8,282,What are the names of the employees who never received any evaluation?,hard,SELECT name FROM employee WHERE Employee_ID NOT IN (SELECT Employee_ID FROM evaluation),7,"SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM hiring WHERE is_full_time = 1) 
SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM hiring WHERE is_full_time = 1)
SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM evaluation)
SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM evaluation)
SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM hiring WHERE is_full_time = 1)
SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM evaluation)
SELECT name FROM employee WHERE employee_id NOT IN (SELECT employee_id FROM hiring WHERE is_full_time = 1)",employee_hire_evaluation
9,63,Find the id of students who do not have a cat pet.,hard,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',7,"SELECT stuid FROM student WHERE NOT EXISTS (SELECT 1 FROM has_pet WHERE stuid = student.stuid) 
SELECT stuid FROM student WHERE stuid NOT IN (SELECT stuid FROM has_pet WHERE petid IN (SELECT petid FROM pets WHERE pettype = 'cat'))
SELECT stuid FROM student WHERE NOT EXISTS (SELECT * FROM has_pet WHERE stuid = student.stuid) 
SELECT stuid FROM student WHERE NOT EXISTS (SELECT 1 FROM has_pet WHERE stuid = student.stuid) 
SELECT stuid FROM student WHERE stuid NOT IN (SELECT stuid FROM has_pet WHERE petid IN (SELECT petid FROM pets WHERE pettype = 'cat'))
SELECT stuid FROM student WHERE NOT EXISTS (SELECT * FROM has_pet WHERE stuid = student.stuid) 
SELECT stuid FROM student WHERE NOT EXISTS (SELECT * FROM has_pet WHERE stuid = student.stuid) ",pets_1
