Unnamed: 0,Qid,Question,Hardness,Query Gold,Repeated,Query Generated,db_id
0,543,Which semesters do not have any student enrolled? List the semester name.,hard,SELECT semester_name FROM Semesters WHERE semester_id NOT IN( SELECT semester_id FROM Student_Enrolment ),7,"SELECT semester_name FROM semesters WHERE semester_id NOT IN (SELECT semester_id FROM student_enrolment)
SELECT semester_name FROM semesters WHERE semester_id NOT IN (SELECT semester_id FROM student_enrolment)
SELECT semester_name FROM semesters WHERE semester_id NOT IN (     SELECT semester_id     FROM student_enrolment )
SELECT semester_name FROM semesters WHERE semester_id NOT IN (SELECT semester_id FROM student_enrolment)
SELECT semester_name FROM semesters WHERE semester_id NOT IN (SELECT semester_id FROM student_enrolment)
SELECT semester_name FROM semesters WHERE semester_id NOT IN (   SELECT semester_id   FROM student_enrolment )
SELECT semester_name FROM semesters WHERE semester_id NOT IN (SELECT semester_id FROM student_enrolment)",student_transcripts_tracking
1,745,What is the number of nations that use English and Dutch?,easy,"SELECT COUNT(*) FROM (SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""English"" INTERSECT SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""Dutch"")",7,"SELECT COUNT(*) FROM countrylanguage WHERE language IN ('English', 'Dutch')
SELECT COUNT(*) FROM countrylanguage WHERE language IN ('English', 'Dutch')
SELECT COUNT(*) FROM countrylanguage WHERE language IN ('English', 'Dutch')
SELECT COUNT(*) FROM countrylanguage WHERE language IN ('English', 'Dutch')
SELECT COUNT(*) FROM countrylanguage WHERE language IN ('English', 'Dutch')
SELECT COUNT(*) FROM countrylanguage WHERE language IN ('English', 'Dutch')
SELECT COUNT(*) FROM countrylanguage WHERE language IN ('English', 'Dutch')",world_1
2,1026,List the name of singers that do not have any song.,hard,SELECT Name FROM singer WHERE Singer_ID NOT IN (SELECT Singer_ID FROM song),7,"SELECT name FROM singer WHERE singer_id NOT IN (SELECT singer_id FROM song)
SELECT name FROM singer WHERE singer_id NOT IN (SELECT singer_id FROM song)
SELECT name FROM singer WHERE singer_id NOT IN (SELECT singer_id FROM song)
SELECT name FROM singer WHERE singer_id NOT IN (SELECT DISTINCT singer_id FROM song)
SELECT name FROM singer WHERE singer_id NOT IN (SELECT singer_id FROM song)
SELECT name FROM singer WHERE singer_id NOT IN (SELECT singer_id FROM song)
SELECT name FROM singer WHERE singer_id NOT IN (SELECT singer_id FROM song)",singer
3,809,Give the names of countries that are in Europe and have a population equal to 80000.,medium,"SELECT Name FROM country WHERE continent  =  ""Europe"" AND Population  =  ""80000""",7,"SELECT name FROM country WHERE continent = 'Europe' AND population = 80000
SELECT name FROM country WHERE continent = 'Europe' AND population = 80000
SELECT name FROM country WHERE continent = 'Europe' AND population = 80000
SELECT name FROM country WHERE continent = 'Europe' AND population = 80000
SELECT name FROM country WHERE continent = 'Europe' AND population = 80000
SELECT name FROM country WHERE continent = 'Europe' AND population = 80000
SELECT name FROM country WHERE continent = 'Europe' AND population = 80000",world_1
4,924,Which dogs have not cost their owner more than 1000 for treatment ? List the dog names .,hard,select name from dogs where dog_id not in ( select dog_id from treatments group by dog_id having sum(cost_of_treatment)  >  1000 ),7,"SELECT dogs.name, breeds.breed_name FROM dogs JOIN breeds ON dogs.breed_code = breeds.breed_code JOIN charges ON dogs.dog_id = charges.dog_id WHERE charges.charge_amount <= 1000
SELECT dogs.name, breeds.breed_name FROM dogs JOIN breeds ON dogs.breed_code = breeds.breed_code JOIN charges ON dogs.dog_id = charges.dog_id WHERE charges.charge_amount <= 1000
SELECT dogs.name, breeds.breed_name FROM dogs JOIN breeds ON dogs.breed_code = breeds.breed_code JOIN charges ON dogs.dog_id = charges.dog_id WHERE charges.charge_amount <= 1000
SELECT dogs.name, breeds.breed_name FROM dogs JOIN breeds ON dogs.breed_code = breeds.breed_code JOIN charges ON dogs.dog_id = charges.dog_id WHERE charges.charge_amount <= 1000
SELECT dogs.name, breeds.breed_name FROM dogs JOIN breeds ON dogs.breed_code = breeds.breed_code JOIN charges ON dogs.dog_id = charges.dog_id WHERE charges.charge_amount <= 1000
SELECT dogs.name, breeds.breed_name FROM dogs JOIN breeds ON dogs.breed_code = breeds.breed_code JOIN charges ON dogs.dog_id = charges.dog_id WHERE charges.charge_amount <= 1000
SELECT dogs.name, breeds.breed_name FROM dogs JOIN breeds ON dogs.breed_code = breeds.breed_code JOIN charges ON dogs.dog_id = charges.dog_id WHERE charges.charge_amount <= 1000",dog_kennels
5,456,"What are the full names of all players, sorted by birth date?",medium,"SELECT first_name ,  last_name FROM players ORDER BY birth_date",7,"SELECT first_name || ' ' || last_name AS full_name FROM players ORDER BY birth_date
SELECT first_name || ' ' || last_name AS full_name FROM players ORDER BY birth_date
SELECT first_name || ' ' || last_name AS full_name FROM players ORDER BY birth_date
SELECT first_name || ' ' || last_name AS full_name FROM players ORDER BY birth_date
SELECT first_name || ' ' || last_name AS full_name FROM players ORDER BY birth_date
SELECT first_name || ' ' || last_name AS full_name FROM players ORDER BY birth_date
SELECT first_name || ' ' || last_name AS full_name FROM players ORDER BY birth_date",wta_1
6,476,What is the code of the country with the most players?,hard,SELECT country_code FROM players GROUP BY country_code ORDER BY count(*) DESC LIMIT 1,7,"SELECT country_code FROM players GROUP BY country_code ORDER BY COUNT(*) DESC LIMIT 1
SELECT country_code FROM players GROUP BY country_code ORDER BY COUNT(*) DESC LIMIT 1
SELECT country_code FROM players GROUP BY country_code ORDER BY COUNT(*) DESC LIMIT 1
SELECT country_code FROM players GROUP BY country_code ORDER BY COUNT(*) DESC LIMIT 1
SELECT country_code FROM players GROUP BY country_code ORDER BY COUNT(*) DESC LIMIT 1
SELECT country_code FROM players GROUP BY country_code ORDER BY COUNT(*) DESC LIMIT 1
SELECT country_code FROM players GROUP BY country_code ORDER BY COUNT(*) DESC LIMIT 1",wta_1
7,1000,How many singers are there?,easy,SELECT count(*) FROM singer,7,"SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer",singer
8,517,How many departments offer any degree?,easy,SELECT count(DISTINCT department_id) FROM Degree_Programs,7,"SELECT COUNT(DISTINCT department_id) FROM degree_programs
SELECT COUNT(DISTINCT department_id) FROM degree_programs
SELECT COUNT(DISTINCT department_id) FROM degree_programs
SELECT COUNT(DISTINCT department_id) FROM degree_programs
SELECT COUNT(*) FROM departments
SELECT COUNT(DISTINCT department_id) FROM degree_programs
SELECT COUNT(DISTINCT department_id) FROM degree_programs",student_transcripts_tracking
9,874,How many high schoolers are there in grade 9 or 10?,medium,SELECT count(*) FROM Highschooler WHERE grade  =  9 OR grade  =  10,7,"SELECT COUNT(*) FROM highschooler WHERE grade = 9 OR grade = 10
SELECT COUNT(*) FROM highschooler WHERE grade = 9 OR grade = 10
SELECT COUNT(*) FROM highschooler WHERE grade = 9 OR grade = 10
SELECT COUNT(*) FROM highschooler WHERE grade = 9 OR grade = 10
SELECT COUNT(*) FROM highschooler WHERE grade = 9 OR grade = 10
SELECT COUNT(*) FROM highschooler WHERE grade = 9 OR grade = 10
SELECT COUNT(*) FROM highschooler WHERE grade = 9 OR grade = 10",network_1
10,868,What grade is Kyle in?,easy,"SELECT grade FROM Highschooler WHERE name  =  ""Kyle""",7,"SELECT grade FROM highschooler WHERE name = 'Kyle'
SELECT grade FROM highschooler WHERE name = 'Kyle'
SELECT grade FROM highschooler WHERE name = 'Kyle'
SELECT grade FROM highschooler WHERE name = 'Kyle'
SELECT grade FROM highschooler WHERE name = 'Kyle'
SELECT grade FROM highschooler WHERE name = 'Kyle'
SELECT grade FROM highschooler WHERE name = 'Kyle'",network_1
11,914,Find the average grade of all students who have some friends.,hard,SELECT avg(grade) FROM Highschooler WHERE id IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id),7,"SELECT AVG(grade) FROM highschooler WHERE id IN (     SELECT student_id     FROM friend     GROUP BY student_id     HAVING COUNT(*) > 0 )
SELECT AVG(grade) FROM highschooler WHERE id IN (SELECT student_id FROM friend GROUP BY student_id HAVING COUNT(*) > 0)
SELECT AVG(grade) FROM highschooler WHERE id IN (SELECT DISTINCT student_id FROM friend)
SELECT AVG(grade) FROM highschooler WHERE id IN (     SELECT student_id     FROM friend     GROUP BY student_id     HAVING COUNT(*) > 0 )
SELECT AVG(grade) FROM highschooler WHERE id IN (     SELECT DISTINCT student_id     FROM friend     WHERE friend_id IN (         SELECT id         FROM highschooler     ) )
SELECT AVG(grade) FROM highschooler WHERE id IN (     SELECT student_id     FROM friend     GROUP BY student_id     HAVING COUNT(*) > 0 )
SELECT AVG(grade) FROM highschooler WHERE id IN (     SELECT student_id     FROM friend     GROUP BY student_id     HAVING COUNT(*) > 0 )",network_1
12,462,Which year had the most matches?,hard,SELECT YEAR FROM matches GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,7,"SELECT year, COUNT(*) AS matches_count FROM matches GROUP BY year ORDER BY matches_count DESC LIMIT 1
SELECT year, COUNT(*) AS matches_count FROM matches GROUP BY year ORDER BY matches_count DESC LIMIT 1
SELECT year, COUNT(*) AS num_matches FROM matches GROUP BY year ORDER BY num_matches DESC LIMIT 1
SELECT year, COUNT(*) AS match_count FROM matches GROUP BY year ORDER BY match_count DESC LIMIT 1
SELECT year, COUNT(*) AS match_count FROM matches GROUP BY year ORDER BY match_count DESC LIMIT 1
SELECT year, COUNT(*) AS matches_count FROM matches GROUP BY year ORDER BY matches_count DESC LIMIT 1
SELECT year, COUNT(*) AS matches_count FROM matches GROUP BY year ORDER BY matches_count DESC LIMIT 1",wta_1
13,465,Find the name of the winner who has the highest rank points and participated in the Australian Open tourney.,hard,SELECT winner_name FROM matches WHERE tourney_name  =  'Australian Open' ORDER BY winner_rank_points DESC LIMIT 1,7,"SELECT first_name, last_name FROM players WHERE player_id = (     SELECT winner_id     FROM matches     WHERE tourney_name = 'Australian Open'     ORDER BY winner_rank_points DESC     LIMIT 1 )
SELECT first_name, last_name FROM players WHERE player_id = (     SELECT winner_id     FROM matches     WHERE tourney_name = 'Australian Open'     ORDER BY winner_rank_points DESC     LIMIT 1 )
SELECT first_name, last_name FROM players WHERE player_id = (     SELECT winner_id     FROM matches     WHERE tourney_name = 'Australian Open'     ORDER BY winner_rank_points DESC     LIMIT 1 )
SELECT first_name, last_name FROM players WHERE player_id = (     SELECT winner_id     FROM matches     WHERE tourney_name = 'Australian Open'     ORDER BY winner_rank_points DESC     LIMIT 1 )
SELECT first_name, last_name FROM players WHERE player_id = (     SELECT player_id     FROM rankings     WHERE ranking_points = (         SELECT MAX(ranking_points)         FROM rankings         WHERE tourney_id = (             SELECT tourney_id             FROM matches             WHERE tourney_name = 'Australian Open'         )     ) )
SELECT first_name, last_name FROM players WHERE player_id = (     SELECT winner_id     FROM matches     WHERE tourney_name = 'Australian Open'     ORDER BY winner_rank_points DESC     LIMIT 1 )
SELECT first_name, last_name FROM players WHERE player_id = (SELECT winner_id FROM matches WHERE tourney_name = 'Australian Open' ORDER BY winner_rank_points DESC LIMIT 1)",wta_1
14,31,Show names for all stadiums except for stadiums having a concert in year 2014.,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,7,"SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)",concert_singer
15,39,what is the name and nation of the singer who have a song having 'Hey' in its name?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",7,"SELECT singer.name, singer.country FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country FROM singer INNER JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id INNER JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.concert_name LIKE '%Hey%'
SELECT singer.name, singer.country FROM singer INNER JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id INNER JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.concert_name LIKE '%Hey%'
SELECT singer.name, singer.country FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE singer.song_name LIKE '%Hey%'",concert_singer
