,Qid,Question,db_id,Hardness,Query Gold,Repeated,Query Generated,
0,753,Which regions speak Dutch or English?,world_1,hard,"SELECT DISTINCT T1.Region FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""English"" OR T2.Language  =  ""Dutch""",7,"SELECT DISTINCT region FROM country WHERE language = 'Dutch' OR language = 'English'
SELECT DISTINCT region FROM country WHERE language = 'Dutch' OR language = 'English'
SELECT DISTINCT region FROM country WHERE language = 'Dutch' OR language = 'English'
SELECT DISTINCT region FROM country WHERE language = 'Dutch' OR language = 'English'
SELECT DISTINCT region FROM country WHERE language = 'Dutch' OR language = 'English'
SELECT DISTINCT region FROM country WHERE language = 'Dutch' OR language = 'English'
SELECT DISTINCT region FROM country WHERE language = 'Dutch' OR language = 'English'",
1,32,What are the names of all stadiums that did not have a concert in 2014?,concert_singer,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,7,"SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id AND c.year = 2014 WHERE c.concert_id IS NULL
SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id AND c.year = 2014 WHERE c.concert_id IS NULL
SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id AND c.year = 2014 WHERE c.concert_id IS NULL
SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id AND c.year = 2014 WHERE c.concert_id IS NULL
SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id AND c.year = 2014 WHERE c.concert_id IS NULL
SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id AND c.year = 2014 WHERE c.concert_id IS NULL
SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id AND c.year = 2014 WHERE c.concert_id IS NULL",
2,219,How many United Airlines flights go to City 'Aberdeen'?,flight_2,hard,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRLINES AS T3 ON T3.uid  =  T1.Airline WHERE T2.City  =  ""Aberdeen"" AND T3.Airline  =  ""United Airlines""",7,"SELECT COUNT(*) FROM flights WHERE destairport IN (SELECT airportcode FROM airports WHERE city = 'Aberdeen') AND airline IN (SELECT airline FROM airlines WHERE abbreviation = 'UA')
SELECT COUNT(*) FROM flights WHERE destairport IN (SELECT airportcode FROM airports WHERE city = 'Aberdeen') AND airline IN (SELECT airline FROM airlines WHERE abbreviation = 'UA')
SELECT COUNT(*) FROM flights WHERE destairport IN (SELECT airportcode FROM airports WHERE city = 'Aberdeen') AND airline IN (SELECT airline FROM airlines WHERE abbreviation = 'UA')
SELECT COUNT(*) FROM flights WHERE destairport IN (SELECT airportcode FROM airports WHERE city = 'Aberdeen') AND airline IN (SELECT airline FROM airlines WHERE abbreviation = 'UA')
SELECT COUNT(*) FROM flights WHERE destairport IN (SELECT airportcode FROM airports WHERE city = 'Aberdeen') AND airline IN (SELECT airline FROM airlines WHERE abbreviation = 'UA')
SELECT COUNT(*) FROM flights WHERE destairport IN (SELECT airportcode FROM airports WHERE city = 'Aberdeen') AND airline IN (SELECT airline FROM airlines WHERE abbreviation = 'UA')
SELECT COUNT(*) FROM flights WHERE destairport IN (SELECT airportcode FROM airports WHERE city = 'Aberdeen') AND airline IN (SELECT airline FROM airlines WHERE abbreviation = 'UA')",
3,506,What are the notes of the death events which has substring 'East'?,battle_death,medium,SELECT note FROM death WHERE note LIKE '%East%',7,"SELECT death.note FROM death JOIN battle ON death.id = battle.id WHERE battle.name LIKE '%East%'
SELECT death.note FROM death JOIN battle ON death.id = battle.id WHERE battle.name LIKE '%East%'
SELECT death.note FROM death JOIN battle ON death.id = battle.id WHERE battle.name LIKE '%East%'
SELECT death.note FROM death JOIN battle ON death.id = battle.id WHERE battle.name LIKE '%East%'
SELECT death.note FROM death JOIN battle ON death.id = battle.id WHERE battle.name LIKE '%East%'
SELECT death.note FROM death JOIN battle ON death.id = battle.id WHERE battle.name LIKE '%East%'
SELECT death.note FROM death JOIN battle ON death.id = battle.id WHERE battle.name LIKE '%East%'",
4,610,"What is the series name of the TV Channel that shows the cartoon ""The Rise of the Blue Beetle""?",tvshow,medium,"SELECT T1.series_name FROM TV_Channel AS T1 JOIN Cartoon AS T2 ON T1.id = T2.Channel WHERE T2.Title = ""The Rise of the Blue Beetle!"";",7,"SELECT series_name FROM tv_channel JOIN cartoon ON tv_channel.id = cartoon.channel WHERE cartoon.title = '
SELECT series_name FROM tv_channel JOIN cartoon ON tv_channel.id = cartoon.channel WHERE cartoon.title = '
SELECT series_name FROM tv_channel JOIN cartoon ON tv_channel.id = cartoon.channel WHERE cartoon.title = '
SELECT series_name FROM tv_channel JOIN cartoon ON tv_channel.id = cartoon.channel WHERE cartoon.title = '
SELECT series_name FROM tv_channel JOIN cartoon ON tv_channel.id = cartoon.channel WHERE cartoon.title = '
SELECT series_name FROM tv_channel JOIN cartoon ON tv_channel.id = cartoon.channel WHERE cartoon.title = '
SELECT series_name FROM tv_channel JOIN cartoon ON tv_channel.id = cartoon.channel WHERE cartoon.title = '",
5,1027,What is the sname of every sing that does not have any song?,singer,hard,SELECT Name FROM singer WHERE Singer_ID NOT IN (SELECT Singer_ID FROM song),7,"SELECT s.name FROM singer s LEFT JOIN song so ON s.singer_id = so.singer_id WHERE so.song_id IS NULL
SELECT s.name FROM singer s LEFT JOIN song so ON s.singer_id = so.singer_id WHERE so.song_id IS NULL
SELECT s.name FROM singer s LEFT JOIN song so ON s.singer_id = so.singer_id WHERE so.song_id IS NULL
SELECT s.name FROM singer s LEFT JOIN song so ON s.singer_id = so.singer_id WHERE so.song_id IS NULL
SELECT s.name FROM singer s LEFT JOIN song so ON s.singer_id = so.singer_id WHERE so.song_id IS NULL
SELECT s.name FROM singer s LEFT JOIN song so ON s.singer_id = so.singer_id WHERE so.song_id IS NULL
SELECT s.name FROM singer s LEFT JOIN song so ON s.singer_id = so.singer_id WHERE so.song_id IS NULL",
6,257,Find the name of airports which do not have any flight in and out.,flight_2,hard,SELECT AirportName FROM Airports WHERE AirportCode NOT IN (SELECT SourceAirport FROM Flights UNION SELECT DestAirport FROM Flights),7,"SELECT DISTINCT a.airportname FROM airports a LEFT JOIN flights f1 ON a.airportcode = f1.sourceairport LEFT JOIN flights f2 ON a.airportcode = f2.destairport WHERE f1.sourceairport IS NULL AND f2.destairport IS NULL
SELECT DISTINCT a.airportname FROM airports a LEFT JOIN flights f1 ON a.airportcode = f1.sourceairport LEFT JOIN flights f2 ON a.airportcode = f2.destairport WHERE f1.sourceairport IS NULL AND f2.destairport IS NULL
SELECT DISTINCT a.airportname FROM airports a LEFT JOIN flights f1 ON a.airportcode = f1.sourceairport LEFT JOIN flights f2 ON a.airportcode = f2.destairport WHERE f1.sourceairport IS NULL AND f2.destairport IS NULL
SELECT DISTINCT a.airportname FROM airports a LEFT JOIN flights f1 ON a.airportcode = f1.sourceairport LEFT JOIN flights f2 ON a.airportcode = f2.destairport WHERE f1.sourceairport IS NULL AND f2.destairport IS NULL
SELECT DISTINCT a.airportname FROM airports a LEFT JOIN flights f1 ON a.airportcode = f1.sourceairport LEFT JOIN flights f2 ON a.airportcode = f2.destairport WHERE f1.sourceairport IS NULL AND f2.destairport IS NULL
SELECT DISTINCT a.airportname FROM airports a LEFT JOIN flights f1 ON a.airportcode = f1.sourceairport LEFT JOIN flights f2 ON a.airportcode = f2.destairport WHERE f1.sourceairport IS NULL AND f2.destairport IS NULL
SELECT DISTINCT a.airportname FROM airports a LEFT JOIN flights f1 ON a.airportcode = f1.sourceairport LEFT JOIN flights f2 ON a.airportcode = f2.destairport WHERE f1.sourceairport IS NULL AND f2.destairport IS NULL",
7,413,What is the average age of the visitors whose membership level is not higher than 4?,museum_visit,easy,SELECT avg(age) FROM visitor WHERE Level_of_membership  <=  4,7,"SELECT AVG(v.age) FROM visitor v JOIN visit vi ON v.id = vi.visitor_id WHERE v.level_of_membership <= 4
SELECT AVG(v.age) FROM visitor v JOIN visit vi ON v.id = vi.visitor_id WHERE v.level_of_membership <= 4
SELECT AVG(v.age) FROM visitor v JOIN visit vi ON v.id = vi.visitor_id WHERE v.level_of_membership <= 4
SELECT AVG(v.age) FROM visitor v JOIN visit vi ON v.id = vi.visitor_id WHERE v.level_of_membership <= 4
SELECT AVG(v.age) FROM visitor v JOIN visit vi ON v.id = vi.visitor_id WHERE v.level_of_membership <= 4
SELECT AVG(v.age) FROM visitor v JOIN visit vi ON v.id = vi.visitor_id WHERE v.level_of_membership <= 4
SELECT AVG(v.age) FROM visitor v JOIN visit vi ON v.id = vi.visitor_id WHERE v.level_of_membership <= 4",
8,463,Find the name and rank points of the winner who won the most times.,wta_1,hard,"SELECT winner_name ,  winner_rank_points FROM matches GROUP BY winner_name ORDER BY count(*) DESC LIMIT 1",7,"SELECT winner_name, winner_rank_points  FROM matches  WHERE winner_id IN (     SELECT winner_id      FROM matches      GROUP BY winner_id      ORDER BY COUNT(*) DESC      LIMIT 1 )
SELECT winner_name, winner_rank_points  FROM matches  WHERE winner_id IN (     SELECT winner_id      FROM matches      GROUP BY winner_id      ORDER BY COUNT(*) DESC      LIMIT 1 )
SELECT winner_name, winner_rank_points  FROM matches  WHERE winner_id IN (     SELECT winner_id      FROM matches      GROUP BY winner_id      ORDER BY COUNT(*) DESC      LIMIT 1 )
SELECT winner_name, winner_rank_points  FROM matches  WHERE winner_id IN (     SELECT winner_id      FROM matches      GROUP BY winner_id      ORDER BY COUNT(*) DESC      LIMIT 1 )
SELECT winner_name, winner_rank_points  FROM matches  WHERE winner_id IN (     SELECT winner_id      FROM matches      GROUP BY winner_id      ORDER BY COUNT(*) DESC      LIMIT 1 )
SELECT winner_name, winner_rank_points  FROM matches  WHERE winner_id IN (     SELECT winner_id      FROM matches      GROUP BY winner_id      ORDER BY COUNT(*) DESC      LIMIT 1 )
SELECT winner_name, winner_rank_points  FROM matches  WHERE winner_id IN (     SELECT winner_id      FROM matches      GROUP BY winner_id      ORDER BY COUNT(*) DESC      LIMIT 1 )",
9,842,Show the names of conductors that have conducted more than one orchestras.,orchestra,medium,SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID HAVING COUNT(*)  >  1,7,"SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id HAVING COUNT(o.orchestra_id) > 1
SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id HAVING COUNT(o.orchestra_id) > 1
SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id HAVING COUNT(o.orchestra_id) > 1
SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id HAVING COUNT(o.orchestra_id) > 1
SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id HAVING COUNT(o.orchestra_id) > 1
SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id HAVING COUNT(o.orchestra_id) > 1
SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id HAVING COUNT(o.orchestra_id) > 1",
