,Qid,Question,Db_Id,hardness,Query Gold,Repeated,Query Generated,Most Frequent Query
0,550,What are the last name of the students who live in North Carolina but have not registered in any degree programs?,student_transcripts_tracking,extra,SELECT T1.last_name FROM Students AS T1 JOIN Addresses AS T2 ON T1.current_address_id  =  T2.address_id WHERE T2.state_province_county  =  'NorthCarolina' EXCEPT SELECT DISTINCT T3.last_name FROM Students AS T3 JOIN Student_Enrolment AS T4 ON T3.student_id  =  T4.student_id,7,"SELECT last_name FROM students WHERE current_address_id IN (SELECT address_id FROM addresses WHERE state_province_county = 'North Carolina') AND student_id NOT IN (SELECT student_id FROM student_enrolment)
SELECT last_name FROM students WHERE current_address_id IN (     SELECT address_id     FROM addresses     WHERE state_province_county = 'North Carolina' ) AND student_id NOT IN (     SELECT student_id     FROM student_enrolment )
SELECT last_name FROM students WHERE current_address_id IN (     SELECT address_id     FROM addresses     WHERE state_province_county = 'North Carolina' ) AND student_id NOT IN (     SELECT student_id     FROM student_enrolment )
SELECT last_name FROM students WHERE current_address_id IN (     SELECT address_id     FROM addresses     WHERE state_province_county = 'North Carolina' ) AND student_id NOT IN (     SELECT student_id     FROM student_enrolment )
SELECT last_name FROM students WHERE current_address_id IN (     SELECT address_id     FROM addresses     WHERE state_province_county = 'North Carolina' ) AND student_id NOT IN (     SELECT student_id     FROM student_enrolment )
SELECT last_name FROM students WHERE current_address_id IN (     SELECT address_id     FROM addresses     WHERE state_province_county = 'North Carolina' ) AND student_id NOT IN (     SELECT student_id     FROM student_enrolment )
SELECT last_name FROM students WHERE current_address_id IN (     SELECT address_id     FROM addresses     WHERE state_province_county = 'North Carolina' ) AND student_id NOT IN (     SELECT student_id     FROM student_enrolment )",SELECT last_name FROM students WHERE current_address_id IN (     SELECT address_id     FROM addresses     WHERE state_province_county = 'North Carolina' ) AND student_id NOT IN (     SELECT student_id     FROM student_enrolment )
1,976,How much does the most recent treatment cost?,dog_kennels,medium,SELECT cost_of_treatment FROM Treatments ORDER BY date_of_treatment DESC LIMIT 1,7,"SELECT MAX(cost_of_treatment) FROM treatments
SELECT MAX(cost_of_treatment) FROM treatments
SELECT MAX(cost_of_treatment) FROM treatments
SELECT MAX(cost_of_treatment) FROM treatments
SELECT MAX(cost_of_treatment) FROM treatments
SELECT MAX(cost_of_treatment) FROM treatments
SELECT MAX(cost_of_treatment) FROM treatments",SELECT MAX(cost_of_treatment) FROM treatments
2,499,What are the ids and names of the battles that led to more than 10 people killed in total.,battle_death,hard,"SELECT T1.id ,  T1.name FROM battle AS T1 JOIN ship AS T2 ON T1.id  =  T2.lost_in_battle JOIN death AS T3 ON T2.id  =  T3.caused_by_ship_id GROUP BY T1.id HAVING sum(T3.killed)  >  10",7,"SELECT battle.id, battle.name FROM battle JOIN death ON death.caused_by_ship_id = battle.id GROUP BY battle.id HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name FROM battle JOIN death ON death.caused_by_ship_id = battle.id GROUP BY battle.id HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name FROM battle JOIN death ON death.caused_by_ship_id = ship.id WHERE death.killed > 10
SELECT battle.id, battle.name FROM battle JOIN death ON battle.id = death.caused_by_ship_id GROUP BY battle.id HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name FROM battle WHERE battle.id IN (     SELECT death.caused_by_ship_id     FROM death     GROUP BY death.caused_by_ship_id     HAVING SUM(death.killed) > 10 )
SELECT battle.id, battle.name FROM battle JOIN death ON death.caused_by_ship_id = battle.id GROUP BY battle.id HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name FROM battle WHERE battle.id IN (     SELECT death.caused_by_ship_id     FROM death     GROUP BY death.caused_by_ship_id     HAVING SUM(death.killed) > 10 )","SELECT battle.id, battle.name FROM battle JOIN death ON death.caused_by_ship_id = battle.id GROUP BY battle.id HAVING SUM(death.killed) > 10"
3,238,Which airlines have departing flights from both APG and CVO airports?,flight_2,extra,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG"" INTERSECT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO""",7,"SELECT DISTINCT f1.airline FROM flights f1 JOIN flights f2 ON f1.airline = f2.airline WHERE f1.sourceairport = 'APG' AND f2.sourceairport = 'CVO'
SELECT DISTINCT f1.airline FROM flights f1 JOIN flights f2 ON f1.airline = f2.airline WHERE f1.sourceairport = 'APG' AND f2.sourceairport = 'CVO'
SELECT DISTINCT f1.airline FROM flights f1 JOIN flights f2 ON f1.airline = f2.airline WHERE f1.sourceairport = 'APG' AND f2.sourceairport = 'CVO'
SELECT DISTINCT f1.airline FROM flights f1 JOIN flights f2 ON f1.airline = f2.airline WHERE f1.sourceairport = 'APG' AND f2.sourceairport = 'CVO'
SELECT DISTINCT f1.airline FROM flights f1 JOIN flights f2 ON f1.airline = f2.airline WHERE f1.sourceairport = 'APG' AND f2.sourceairport = 'CVO'
SELECT DISTINCT f1.airline FROM flights f1 JOIN flights f2 ON f1.airline = f2.airline WHERE f1.sourceairport = 'APG' AND f2.sourceairport = 'CVO'
SELECT DISTINCT f1.airline, f1.flightno, f1.sourceairport, f1.destairport FROM flights f1 JOIN flights f2 ON f1.airline = f2.airline WHERE f1.sourceairport = 'APG' AND f2.sourceairport = 'CVO'",SELECT DISTINCT f1.airline FROM flights f1 JOIN flights f2 ON f1.airline = f2.airline WHERE f1.sourceairport = 'APG' AND f2.sourceairport = 'CVO'
4,445,Find the name of tourney that has more than 10 matches.,wta_1,easy,SELECT tourney_name FROM matches GROUP BY tourney_name HAVING count(*)  >  10,7,"SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(*) > 10
SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(*) > 10
SELECT tourney_name FROM matches WHERE matches.tourney_name > 10
SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(*) > 10
SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(*) > 10
SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(*) > 10
SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(*) > 10",SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(*) > 10
5,844,Show the name of the conductor that has conducted the most number of orchestras.,orchestra,extra,SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID ORDER BY COUNT(*) DESC LIMIT 1,7,"SELECT conductor.name FROM conductor INNER JOIN orchestra ON conductor.conductor_id = orchestra.conductor_id GROUP BY conductor.name ORDER BY COUNT(orchestra.orchestra_id) DESC LIMIT 1
SELECT conductor.name FROM conductor JOIN orchestra ON conductor.conductor_id = orchestra.conductor_id GROUP BY conductor.name ORDER BY COUNT(orchestra.orchestra_id) DESC LIMIT 1
SELECT conductor.name FROM conductor JOIN orchestra ON conductor.conductor_id = orchestra.conductor_id GROUP BY conductor.name ORDER BY COUNT(orchestra.orchestra_id) DESC LIMIT 1
SELECT conductor.name FROM conductor JOIN orchestra ON conductor.conductor_id = orchestra.conductor_id GROUP BY conductor.name ORDER BY COUNT(orchestra.orchestra_id) DESC LIMIT 1
SELECT conductor.name FROM conductor INNER JOIN orchestra ON conductor.conductor_id = orchestra.conductor_id GROUP BY conductor.name ORDER BY COUNT(orchestra.conductor_id) DESC LIMIT 1
SELECT conductor.name FROM conductor JOIN orchestra ON conductor.conductor_id = orchestra.conductor_id GROUP BY conductor.name ORDER BY COUNT(orchestra.orchestra_id) DESC LIMIT 1
SELECT conductor.name FROM conductor JOIN orchestra ON conductor.conductor_id = orchestra.conductor_id GROUP BY conductor.name ORDER BY COUNT(orchestra.orchestra_id) DESC LIMIT 1",SELECT conductor.name FROM conductor JOIN orchestra ON conductor.conductor_id = orchestra.conductor_id GROUP BY conductor.name ORDER BY COUNT(orchestra.orchestra_id) DESC LIMIT 1
6,205,How many flights have destination ATO?,flight_2,easy,"SELECT count(*) FROM FLIGHTS WHERE DestAirport  =  ""ATO""",7,"SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'",SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
7,427,Find the number of visitors who did not visit any museum opened after 2010.,museum_visit,extra,SELECT count(*) FROM visitor WHERE id NOT IN (SELECT t2.visitor_id FROM museum AS t1 JOIN visit AS t2 ON t1.Museum_ID  =  t2.Museum_ID WHERE t1.open_year  >  2010),7,"SELECT COUNT(*) FROM visitor WHERE id NOT IN (SELECT visitor_id FROM visit WHERE museum_id IN (SELECT museum_id FROM museum WHERE open_year > 2010))
SELECT COUNT(*) FROM visitor WHERE id NOT IN (SELECT visitor_id FROM visit WHERE museum_id IN (SELECT museum_id FROM museum WHERE open_year > 2010))
SELECT COUNT(*) FROM visitor WHERE id NOT IN (SELECT visitor_id FROM visit WHERE museum_id IN (SELECT museum_id FROM museum WHERE open_year > 2010))
SELECT COUNT(*) FROM visitor WHERE id NOT IN (     SELECT visitor_id     FROM visit     JOIN museum ON visit.museum_id = museum.museum_id     WHERE open_year > 2010 )
SELECT COUNT(*) FROM visitor WHERE id NOT IN (SELECT visitor_id FROM visit WHERE museum_id IN (SELECT museum_id FROM museum WHERE open_year > 2010))
SELECT COUNT(*) FROM visitor WHERE id NOT IN (SELECT visitor_id FROM visit WHERE museum_id IN (SELECT museum_id FROM museum WHERE open_year > 2010))
SELECT COUNT(*) FROM visitor WHERE id NOT IN (SELECT visitor_id FROM visit WHERE museum_id IN (SELECT museum_id FROM museum WHERE open_year > 2010))",SELECT COUNT(*) FROM visitor WHERE id NOT IN (SELECT visitor_id FROM visit WHERE museum_id IN (SELECT museum_id FROM museum WHERE open_year > 2010))
8,919,Find the states where both owners and professionals live.,dog_kennels,hard,SELECT state FROM Owners INTERSECT SELECT state FROM Professionals,7,"SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM professionals ) 
SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM professionals ) 
SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM professionals ) 
SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM professionals ) 
SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM professionals ) 
SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM professionals )
SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM professionals ) ",SELECT DISTINCT state FROM owners WHERE state IN (     SELECT state     FROM professionals ) 
9,71,Find the average and maximum age for each type of pet.,pets_1,medium,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",7,"SELECT AVG(age), MAX(age) FROM student GROUP BY major
SELECT AVG(age), MAX(age) FROM student GROUP BY major
SELECT AVG(age), MAX(age) FROM student GROUP BY pettype
SELECT AVG(age), MAX(age) FROM student GROUP BY major
SELECT AVG(age), MAX(age), pettype FROM student, has_pet, pets WHERE student.stuid = has_pet.stuid AND has_pet.petid = pets.petid GROUP BY pettype
SELECT AVG(age), MAX(age) FROM student GROUP BY major
SELECT AVG(age), MAX(age) FROM student GROUP BY major","SELECT AVG(age), MAX(age) FROM student GROUP BY major"
