,Qid,Question,Db_Id,hardness,Query Gold,Repeated,Query Generated,Most Frequent Query
0,550,What are the last name of the students who live in North Carolina but have not registered in any degree programs?,student_transcripts_tracking,extra,SELECT T1.last_name FROM Students AS T1 JOIN Addresses AS T2 ON T1.current_address_id  =  T2.address_id WHERE T2.state_province_county  =  'NorthCarolina' EXCEPT SELECT DISTINCT T3.last_name FROM Students AS T3 JOIN Student_Enrolment AS T4 ON T3.student_id  =  T4.student_id,7,"SELECT students.last_name FROM students LEFT JOIN student_enrolment ON students.student
SELECT students.last_name FROM students LEFT JOIN student_enrolment ON students.student
SELECT students.last_name FROM students LEFT JOIN student_enrolment ON students.student
SELECT students.last_name  FROM students  INNER JOIN addresses ON students.current
SELECT students.last_name FROM students LEFT JOIN student_enrolment ON students.student
SELECT students.last_name FROM students LEFT JOIN student_enrolment ON students.student
SELECT students.last_name FROM students LEFT JOIN student_enrolment ON students.student",SELECT students.last_name FROM students LEFT JOIN student_enrolment ON students.student
1,976,How much does the most recent treatment cost?,dog_kennels,medium,SELECT cost_of_treatment FROM Treatments ORDER BY date_of_treatment DESC LIMIT 1,7,"SELECT MAX(treatment_types.treatment_type_description), MAX(treatments.cost_of_treatment) FROM treatments INNER JOIN treatment_types ON treatments.treatment_type_code = treatment_types.treatment_type_code
SELECT MAX(treatment_types.treatment_type_description), MAX(treatments.cost_of_treatment) FROM treatments INNER JOIN treatment_types ON treatments.treatment_type_code = treatment_types.treatment_type_code
SELECT MAX(treatment_types.treatment_type_description), MAX(treatments.cost_of_treatment) FROM treatments INNER JOIN treatment_types ON treatments.treatment_type_code = treatment_types.treatment_type_code
SELECT MAX(treatment_types.treatment_type_description), MAX(treatments.cost_of_treatment) FROM treatments INNER JOIN treatment_types ON treatments.treatment_type_code = treatment_types.treatment_type_code
SELECT MAX(treatment_types.treatment_type_description), MAX(treatments.cost_of_treatment) FROM treatments INNER JOIN treatment_types ON treatments.treatment_type_code = treatment_types.treatment_type_code
SELECT MAX(treatment_types.treatment_type_description), MAX(treatments.cost_of_treatment) FROM treatments INNER JOIN treatment_types ON treatments.treatment_type_code = treatment_types.treatment_type_code
SELECT MAX(treatment_types.treatment_type_description), MAX(treatments.cost_of_treatment) FROM treatments INNER JOIN treatment_types ON treatments.treatment_type_code = treatment_types.treatment_type_code","SELECT MAX(treatment_types.treatment_type_description), MAX(treatments.cost_of_treatment) FROM treatments INNER JOIN treatment_types ON treatments.treatment_type_code = treatment_types.treatment_type_code"
2,499,What are the ids and names of the battles that led to more than 10 people killed in total.,battle_death,hard,"SELECT T1.id ,  T1.name FROM battle AS T1 JOIN ship AS T2 ON T1.id  =  T2.lost_in_battle JOIN death AS T3 ON T2.id  =  T3.caused_by_ship_id GROUP BY T1.id HAVING sum(T3.killed)  >  10",7,"SELECT battle.id, battle.name FROM battle JOIN death ON battle.id = death.caused_by_ship_id JOIN ship ON death.caused_by_ship_id = ship.id GROUP BY battle.id, battle.name HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name FROM battle JOIN death ON battle.id = death.caused_by_ship_id JOIN ship ON death.caused_by_ship_id = ship.id GROUP BY battle.id, battle.name HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name  FROM battle  JOIN death ON battle.id = death.caused_by_ship_id  JOIN ship ON death.caused_by_ship_id = ship.id  GROUP BY battle.id, battle.name  HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name  FROM battle  JOIN death ON battle.id = death.caused_by_ship_id  JOIN ship ON death.caused_by_ship_id = ship.id  GROUP BY battle.id, battle.name  HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name  FROM battle  JOIN death ON battle.id = death.caused_by_ship_id  JOIN ship ON death.caused_by_ship_id = ship.id  GROUP BY battle.id, battle.name  HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name  FROM battle  JOIN death ON battle.id = death.caused_by_ship_id  JOIN ship ON death.caused_by_ship_id = ship.id  GROUP BY battle.id, battle.name  HAVING SUM(death.killed) > 10
SELECT battle.id, battle.name FROM battle JOIN death ON battle.id = death.caused_by_ship_id JOIN ship ON death.caused_by_ship_id = ship.id GROUP BY battle.id, battle.name HAVING SUM(death.killed) > 10","SELECT battle.id, battle.name  FROM battle  JOIN death ON battle.id = death.caused_by_ship_id  JOIN ship ON death.caused_by_ship_id = ship.id  GROUP BY battle.id, battle.name  HAVING SUM(death.killed) > 10"
3,238,Which airlines have departing flights from both APG and CVO airports?,flight_2,extra,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG"" INTERSECT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO""",7,"SELECT DISTINCT airlines.airline FROM airlines JOIN flights ON airlines.abbreviation = flights.airline WHERE flights.sourceairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO') AND flights.destairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO')
SELECT DISTINCT airlines.airline  FROM airlines  JOIN flights ON airlines.abbreviation = flights.airline  WHERE flights.sourceairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO') AND flights.destairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO')
SELECT DISTINCT airlines.airline FROM airlines JOIN flights ON airlines.abbreviation = flights.airline WHERE flights.sourceairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO') AND flights.destairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO')
SELECT DISTINCT airlines.airline  FROM airlines  JOIN flights ON airlines.abbreviation = flights.airline  WHERE flights.sourceairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO') AND flights.destairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO')
SELECT DISTINCT f.airline  FROM flights AS f  JOIN airlines AS a ON f.airline = a.abbreviation  WHERE f.sourceairport IN (SELECT airportcode FROM airports WHERE airportcode IN ('APG', 'CVO'))
SELECT DISTINCT airlines.airline FROM airlines JOIN flights ON airlines.abbreviation = flights.airline WHERE flights.sourceairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO') AND flights.destairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO')
SELECT DISTINCT airlines.airline  FROM airlines  JOIN flights ON airlines.abbreviation = flights.airline  WHERE flights.sourceairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO') AND flights.destairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO')",SELECT DISTINCT airlines.airline FROM airlines JOIN flights ON airlines.abbreviation = flights.airline WHERE flights.sourceairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO') AND flights.destairport IN (SELECT airportcode FROM airports WHERE airportcode = 'APG' OR airportcode = 'CVO')
4,445,Find the name of tourney that has more than 10 matches.,wta_1,easy,SELECT tourney_name FROM matches GROUP BY tourney_name HAVING count(*)  >  10,7,"SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(match_num) > 10
SELECT DISTINCT matches.tourney_name  FROM matches  GROUP BY matches.tourney_name  HAVING COUNT(matches.match_num) > 10
SELECT DISTINCT matches.tourney_name  FROM matches  GROUP BY matches.tourney_name  HAVING COUNT(matches.match_num) > 10
SELECT DISTINCT matches.tourney_name  FROM matches  GROUP BY matches.tourney_name  HAVING COUNT(matches.match_num) > 10
SELECT DISTINCT matches.tourney_name  FROM matches  GROUP BY matches.tourney_name  HAVING COUNT(matches.match_num) > 10
SELECT DISTINCT matches.tourney_name  FROM matches  GROUP BY matches.tourney_name  HAVING COUNT(matches.match_num) > 10
SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(match_num) > 10",SELECT DISTINCT matches.tourney_name  FROM matches  GROUP BY matches.tourney_name  HAVING COUNT(matches.match_num) > 10
5,844,Show the name of the conductor that has conducted the most number of orchestras.,orchestra,extra,SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID ORDER BY COUNT(*) DESC LIMIT 1,7,"SELECT c.name, COUNT(o.orchestra_id) as num_orchestras FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY num_orchestras DESC LIMIT 1
SELECT c.name, COUNT(o.orchestra_id) as num_orchestras FROM conductor as c JOIN orchestra as o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY num_orchestras DESC LIMIT 1
SELECT c.name, COUNT(o.orchestra_id) as num_orchestras FROM conductor as c JOIN orchestra as o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY num_orchestras DESC LIMIT 1
SELECT c.name, COUNT(o.orchestra_id) as num_orchestras FROM conductor as c JOIN orchestra as o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY num_orchestras DESC LIMIT 1
SELECT c.name, COUNT(o.orchestra_id) as num_orchestras FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY num_orchestras DESC LIMIT 1
SELECT c.name, COUNT(o.orchestra_id) as num_orchestras FROM conductor as c JOIN orchestra as o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY num_orchestras DESC LIMIT 1
SELECT c.name, COUNT(o.orchestra_id) as num_orchestras FROM conductor as c JOIN orchestra as o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY num_orchestras DESC LIMIT 1","SELECT c.name, COUNT(o.orchestra_id) as num_orchestras FROM conductor as c JOIN orchestra as o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY num_orchestras DESC LIMIT 1"
6,205,How many flights have destination ATO?,flight_2,easy,"SELECT count(*) FROM FLIGHTS WHERE DestAirport  =  ""ATO""",7,"SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'",SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
7,427,Find the number of visitors who did not visit any museum opened after 2010.,museum_visit,extra,SELECT count(*) FROM visitor WHERE id NOT IN (SELECT t2.visitor_id FROM museum AS t1 JOIN visit AS t2 ON t1.Museum_ID  =  t2.Museum_ID WHERE t1.open_year  >  2010),7,"SELECT COUNT(DISTINCT visitor.id)  FROM visitor  LEFT JOIN visit ON visitor.id = visit.visitor_id  LEFT JOIN museum ON visit.museum_id = museum.museum_id  WHERE museum.open_year <= 2010 OR museum.open_year IS NULL
SELECT COUNT(DISTINCT visitor.id)  FROM visitor  LEFT JOIN visit ON visitor.id = visit.visitor_id  LEFT JOIN museum ON visit.museum_id = museum.museum_id  WHERE museum.open_year <= 2010 OR museum.open_year IS NULL
SELECT COUNT(DISTINCT visitor.id)  FROM visitor  LEFT JOIN visit ON visitor.id = visit.visitor_id  LEFT JOIN museum ON visit.museum_id = museum.museum_id  WHERE museum.open_year <= 2010 OR museum.open_year IS NULL
SELECT COUNT(DISTINCT visitor.id)  FROM visitor  LEFT JOIN visit ON visitor.id = visit.visitor_id  LEFT JOIN museum ON visit.museum_id = museum.museum_id  WHERE museum.open_year <= 2010 OR museum.open_year IS NULL
SELECT COUNT(DISTINCT visitor.id) FROM visitor LEFT JOIN visit ON visitor.id = visit.visitor_id LEFT JOIN museum ON visit.museum_id = museum.museum_id WHERE museum.open_year <= 2010 OR museum.open_year IS NULL
SELECT COUNT(DISTINCT visitor.id)  FROM visitor  LEFT JOIN visit ON visitor.id = visit.visitor_id  LEFT JOIN museum ON visit.museum_id = museum.museum_id  WHERE museum.open_year <= 2010 OR museum.open_year IS NULL
SELECT COUNT(DISTINCT visitor.id) FROM visitor LEFT JOIN visit ON visitor.id = visit.visitor_id LEFT JOIN museum ON visit.museum_id = museum.museum_id WHERE museum.open_year <= 2010 OR museum.open_year IS NULL",SELECT COUNT(DISTINCT visitor.id)  FROM visitor  LEFT JOIN visit ON visitor.id = visit.visitor_id  LEFT JOIN museum ON visit.museum_id = museum.museum_id  WHERE museum.open_year <= 2010 OR museum.open_year IS NULL
8,919,Find the states where both owners and professionals live.,dog_kennels,hard,SELECT state FROM Owners INTERSECT SELECT state FROM Professionals,7,"SELECT DISTINCT owners.state  FROM owners  INNER JOIN professionals ON owners.state = professionals.state
SELECT DISTINCT owners.state  FROM owners  INNER JOIN professionals ON owners.state = professionals.state
SELECT DISTINCT owners.state  FROM owners  INNER JOIN professionals ON owners.state = professionals.state
SELECT DISTINCT owners.state  FROM owners  INNER JOIN professionals ON owners.state = professionals.state
SELECT DISTINCT owners.state  FROM owners  INNER JOIN professionals ON owners.state = professionals.state
SELECT DISTINCT owners.state  FROM owners  INNER JOIN professionals ON owners.state = professionals.state
SELECT DISTINCT owners.state  FROM owners  INNER JOIN professionals ON owners.state = professionals.state",SELECT DISTINCT owners.state  FROM owners  INNER JOIN professionals ON owners.state = professionals.state
9,71,Find the average and maximum age for each type of pet.,pets_1,medium,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",7,"SELECT p.pettype, AVG(s.age) as average_age, MAX(s.age) as max_age FROM has_pet hp JOIN pets p ON hp.petid = p.petid JOIN student s ON hp.stuid = s.stuid GROUP BY p.pettype
SELECT p.pettype, AVG(s.age) as average_age, MAX(s.age) as max_age FROM has_pet hp JOIN pets p ON hp.petid = p.petid JOIN student s ON hp.stuid = s.stuid GROUP BY p.pettype
SELECT p.pettype, AVG(s.age) AS average_age, MAX(s.age) AS max_age FROM has_pet hp JOIN pets p ON hp.petid = p.petid JOIN student s ON hp.stuid = s.stuid GROUP BY p.pettype
SELECT p.pettype, AVG(s.age) as average_age, MAX(s.age) as max_age FROM has_pet hp JOIN pets p ON hp.petid = p.petid JOIN student s ON hp.stuid = s.stuid GROUP BY p.pettype
SELECT p.pettype, AVG(s.age) as average_age, MAX(s.age) as max_age FROM has_pet hp JOIN pets p ON hp.petid = p.petid JOIN student s ON hp.stuid = s.stuid GROUP BY p.pettype
SELECT p.pettype, AVG(s.age) as average_age, MAX(s.age) as max_age FROM has_pet hp JOIN pets p ON hp.petid = p.petid JOIN student s ON hp.stuid = s.stuid GROUP BY p.pettype
SELECT p.pettype, AVG(s.age) as average_age, MAX(s.age) as max_age FROM has_pet hp JOIN pets p ON hp.petid = p.petid JOIN student s ON hp.stuid = s.stuid GROUP BY p.pettype","SELECT p.pettype, AVG(s.age) as average_age, MAX(s.age) as max_age FROM has_pet hp JOIN pets p ON hp.petid = p.petid JOIN student s ON hp.stuid = s.stuid GROUP BY p.pettype"
