,Qid,Question,Db_Id,hardness,Query Gold,Repeated,Query Generated,Most Frequent Query
0,223,Which city has most number of departing flights?,flight_2,extra,SELECT T1.City FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.SourceAirport GROUP BY T1.City ORDER BY count(*) DESC LIMIT 1,7,"SELECT airports.city, COUNT(flights.sourceairport) AS num_departing_flights FROM airports JOIN flights ON airports.airportcode = flights.sourceairport GROUP BY airports.city ORDER BY num_departing_flights DESC LIMIT 1
SELECT airports.city, COUNT(flights.sourceairport) AS num_departing_flights FROM airports JOIN flights ON airports.airportcode = flights.sourceairport GROUP BY airports.city ORDER BY num_departing_flights DESC LIMIT 1
SELECT airports.city, COUNT(flights.sourceairport) as DepartingFlights FROM airports JOIN flights ON airports.airportcode = flights.sourceairport GROUP BY airports.city ORDER BY DepartingFlights DESC LIMIT 1
SELECT airports.city, COUNT(flights.sourceairport) AS DepartingFlights FROM airports JOIN flights ON airports.airportcode = flights.sourceairport GROUP BY airports.city ORDER BY DepartingFlights DESC LIMIT 1
SELECT airports.city, COUNT(flights.sourceairport) AS DepartingFlights FROM airports JOIN flights ON airports.airportcode = flights.sourceairport GROUP BY airports.city ORDER BY DepartingFlights DESC LIMIT 1
SELECT airports.city, COUNT(flights.sourceairport) AS DepartingFlights FROM airports JOIN flights ON airports.airportcode = flights.sourceairport GROUP BY airports.city ORDER BY DepartingFlights DESC LIMIT 1
SELECT airports.city, COUNT(flights.sourceairport) as DepartingFlights FROM airports JOIN flights ON airports.airportcode = flights.sourceairport GROUP BY airports.city ORDER BY DepartingFlights DESC LIMIT 1","SELECT airports.city, COUNT(flights.sourceairport) AS DepartingFlights FROM airports JOIN flights ON airports.airportcode = flights.sourceairport GROUP BY airports.city ORDER BY DepartingFlights DESC LIMIT 1"
1,864,Show the names and grades of each high schooler.,network_1,medium,"SELECT name ,  grade FROM Highschooler",7,"SELECT name, grade FROM highschooler
SELECT highschooler.name, highschooler.grade FROM highschooler
SELECT name, grade FROM highschooler
SELECT h.name, h.grade FROM highschooler h
SELECT h.name, h.grade FROM highschooler h
SELECT name, grade FROM highschooler
SELECT h.name, h.grade FROM highschooler h","SELECT name, grade FROM highschooler"
2,476,What is the code of the country with the most players?,wta_1,hard,SELECT country_code FROM players GROUP BY country_code ORDER BY count(*) DESC LIMIT 1,7,"SELECT country_code, COUNT(*) as player_count FROM players GROUP BY country_code ORDER BY player_count DESC LIMIT 1
SELECT country_code, COUNT(*) as player_count FROM players GROUP BY country_code ORDER BY player_count DESC LIMIT 1
SELECT country_code, COUNT(*) as player_count FROM players GROUP BY country_code ORDER BY player_count DESC LIMIT 1
SELECT country_code, COUNT(*) as player_count FROM players GROUP BY country_code ORDER BY player_count DESC LIMIT 1
SELECT country_code, COUNT(*) as player_count FROM players GROUP BY country_code ORDER BY player_count DESC LIMIT 1
SELECT country_code, COUNT(*) as player_count FROM players GROUP BY country_code ORDER BY player_count DESC LIMIT 1
SELECT country_code, COUNT(*) as player_count FROM players GROUP BY country_code ORDER BY player_count DESC LIMIT 1","SELECT country_code, COUNT(*) as player_count FROM players GROUP BY country_code ORDER BY player_count DESC LIMIT 1"
3,1025,"For each singer name, what is the total sales for their songs?",singer,medium,"SELECT T1.Name ,  sum(T2.Sales) FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.Name",7,"SELECT singer.name, SUM(song.sales) as total_sales FROM singer JOIN song ON singer.singer_id = song.singer_id GROUP BY singer.name
SELECT singer.name, SUM(song.sales) as total_sales FROM singer JOIN song ON singer.singer_id = song.singer_id GROUP BY singer.name
SELECT singer.name, SUM(song.sales) as Total_Sales FROM singer JOIN song ON singer.singer_id = song.singer_id GROUP BY singer.name
SELECT singer.name, SUM(song.sales) as total_sales FROM singer JOIN song ON singer.singer_id = song.singer_id GROUP BY singer.name
SELECT singer.name, SUM(song.sales) as total_sales FROM singer JOIN song ON singer.singer_id = song.singer_id GROUP BY singer.name
SELECT s.name AS singer_name, SUM(sg.sales) AS total_sales FROM singer AS s JOIN song AS sg ON s.singer_id = sg.singer_id GROUP BY s.name
SELECT singer.name, SUM(song.sales) as total_sales FROM singer JOIN song ON singer.singer_id = song.singer_id GROUP BY singer.name","SELECT singer.name, SUM(song.sales) as total_sales FROM singer JOIN song ON singer.singer_id = song.singer_id GROUP BY singer.name"
4,464,"What is the name of the winner who has won the most matches, and how many rank points does this player have?",wta_1,hard,"SELECT winner_name ,  winner_rank_points FROM matches GROUP BY winner_name ORDER BY count(*) DESC LIMIT 1",7,"SELECT p.first_name, p.last_name, p.country_code, COUNT(m.winner_id) AS matches_won, MAX(r.ranking_points) AS max_rank_points FROM players AS p JOIN matches AS m ON p.player_id = m.winner_id JOIN rankings AS r ON p.player_id = r.player_id GROUP BY m.winner_id ORDER BY matches_won DESC, max_rank_points DESC LIMIT 1
SELECT p.first_name, p.last_name, p.country_code, COUNT(m.winner_id) AS matches_won, MAX(r.ranking_points) AS max_rank_points FROM players AS p JOIN matches AS m ON p.player_id = m.winner_id JOIN rankings AS r ON p.player_id = r.player_id GROUP BY m.winner_id ORDER BY matches_won DESC, max_rank_points DESC LIMIT 1
SELECT p.first_name, p.last_name, p.country_code, COUNT(m.winner_id) AS matches_won, SUM(m.winner_rank_points) AS total_rank_points FROM players AS p JOIN matches AS m ON p.player_id = m.winner_id GROUP BY m.winner_id ORDER BY matches_won DESC, total_rank_points DESC LIMIT 1
SELECT p.first_name, p.last_name, p.country_code, COUNT(m.winner_id) AS matches_won, SUM(m.winner_rank_points) AS total_rank_points FROM players AS p JOIN matches AS m ON p.player_id = m.winner_id GROUP BY m.winner_id ORDER BY matches_won DESC, total_rank_points DESC LIMIT 1
SELECT p.first_name, p.last_name, p.country_code, COUNT(m.winner_id) AS matches_won, m.winner_rank_points FROM players AS p JOIN matches AS m ON p.player_id = m.winner_id GROUP BY m.winner_id ORDER BY matches_won DESC, m.winner_rank_points DESC LIMIT 1
SELECT p.first_name, p.last_name, p.country_code, COUNT(m.winner_id) AS matches_won, SUM(m.winner_rank_points) AS total_rank_points FROM players AS p JOIN matches AS m ON p.player_id = m.winner_id GROUP BY m.winner_id ORDER BY matches_won DESC, total_rank_points DESC LIMIT 1
SELECT p.first_name, p.last_name, p.country_code, COUNT(m.winner_id) AS matches_won, m.winner_rank_points FROM players AS p JOIN matches AS m ON p.player_id = m.winner_id GROUP BY m.winner_id ORDER BY matches_won DESC, m.winner_rank_points DESC LIMIT 1","SELECT p.first_name, p.last_name, p.country_code, COUNT(m.winner_id) AS matches_won, SUM(m.winner_rank_points) AS total_rank_points FROM players AS p JOIN matches AS m ON p.player_id = m.winner_id GROUP BY m.winner_id ORDER BY matches_won DESC, total_rank_points DESC LIMIT 1"
5,297,How many documents do we have?,cre_Doc_Template_Mgt,easy,SELECT count(*) FROM Documents,7,"SELECT COUNT(*) FROM documents
SELECT COUNT(*) FROM documents
SELECT COUNT(*) FROM documents
SELECT COUNT(*) FROM documents
SELECT COUNT(*) FROM documents
SELECT COUNT(*) FROM documents
SELECT COUNT(*) FROM documents",SELECT COUNT(*) FROM documents
6,748,What are the names of nations where both English and French are official languages?,world_1,extra,"SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""English"" AND T2.IsOfficial  =  ""T"" INTERSECT SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""French"" AND T2.IsOfficial  =  ""T""",7,"SELECT country.name FROM country JOIN countrylanguage ON country.code = countrylanguage.countrycode WHERE countrylanguage.language IN ('English', 'French') GROUP BY country.name HAVING COUNT(DISTINCT countrylanguage.language) = 2
SELECT country.name  FROM country  JOIN countrylanguage  ON country.code = countrylanguage.countrycode  WHERE countrylanguage.language IN ('English', 'French')  GROUP BY country.name  HAVING COUNT(DISTINCT countrylanguage.language) = 2
SELECT country.name  FROM country  JOIN countrylanguage  ON country.code = countrylanguage.countrycode  WHERE countrylanguage.language IN ('English', 'French')  GROUP BY country.name  HAVING COUNT(DISTINCT countrylanguage.language) = 2
SELECT country.name  FROM country  JOIN countrylanguage  ON country.code = countrylanguage.countrycode  WHERE countrylanguage.language IN ('English', 'French')  GROUP BY country.name  HAVING COUNT(DISTINCT countrylanguage.language) = 2
SELECT country.name  FROM country  JOIN countrylanguage  ON country.code = countrylanguage.countrycode  WHERE countrylanguage.language IN ('English', 'French')  GROUP BY country.name  HAVING COUNT(DISTINCT countrylanguage.language) = 2
SELECT country.name  FROM country  JOIN countrylanguage  ON country.code = countrylanguage.countrycode  WHERE countrylanguage.language IN ('English', 'French')  GROUP BY country.name  HAVING COUNT(DISTINCT countrylanguage.language) = 2
SELECT country.name FROM country JOIN countrylanguage ON country.code = countrylanguage.countrycode WHERE countrylanguage.language IN ('English', 'French') GROUP BY country.name HAVING COUNT(DISTINCT countrylanguage.language) = 2","SELECT country.name  FROM country  JOIN countrylanguage  ON country.code = countrylanguage.countrycode  WHERE countrylanguage.language IN ('English', 'French')  GROUP BY country.name  HAVING COUNT(DISTINCT countrylanguage.language) = 2"
7,225,What is the code of airport that has the highest number of flights?,flight_2,extra,SELECT T1.AirportCode FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport OR T1.AirportCode  =  T2.SourceAirport GROUP BY T1.AirportCode ORDER BY count(*) DESC LIMIT 1,7,"SELECT sourceairport as airport_code, COUNT(*) as num_flights FROM flights GROUP BY sourceairport ORDER BY num_flights DESC LIMIT 1
SELECT sourceairport as airport_code, COUNT(*) as num_flights FROM flights GROUP BY sourceairport ORDER BY num_flights DESC LIMIT 1
SELECT sourceairport as airport_code, COUNT(*) as num_flights FROM flights GROUP BY sourceairport ORDER BY num_flights DESC LIMIT 1
SELECT sourceairport as airport_code, COUNT(*) as num_flights FROM flights GROUP BY sourceairport ORDER BY num_flights DESC LIMIT 1
SELECT sourceairport as airport_code, COUNT(*) as num_flights FROM flights GROUP BY sourceairport ORDER BY num_flights DESC LIMIT 1
SELECT sourceairport as airport_code, COUNT(*) as num_flights FROM flights GROUP BY sourceairport ORDER BY num_flights DESC LIMIT 1
SELECT sourceairport as airport_code, COUNT(*) as num_flights FROM flights GROUP BY sourceairport ORDER BY num_flights DESC LIMIT 1","SELECT sourceairport as airport_code, COUNT(*) as num_flights FROM flights GROUP BY sourceairport ORDER BY num_flights DESC LIMIT 1"
8,83,Find the last name of the student who has a cat that is age 3.,pets_1,hard,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',7,"SELECT student.lname  FROM student  JOIN has_pet ON student.stuid = has_pet.stuid  JOIN pets ON has_pet.petid = pets.petid  WHERE pets.pettype = 'cat' AND pets.pet_age = 3
SELECT student.lname  FROM student  JOIN has_pet ON student.stuid = has_pet.stuid  JOIN pets ON has_pet.petid = pets.petid  WHERE pets.pettype = 'cat' AND pets.pet_age = 3
SELECT student.lname  FROM student  JOIN has_pet ON student.stuid = has_pet.stuid  JOIN pets ON has_pet.petid = pets.petid  WHERE pets.pettype = 'cat' AND pets.pet_age = 3
SELECT student.lname  FROM student  JOIN has_pet ON student.stuid = has_pet.stuid  JOIN pets ON has_pet.petid = pets.petid  WHERE pets.pettype = 'cat' AND pets.pet_age = 3
SELECT student.lname  FROM student  JOIN has_pet ON student.stuid = has_pet.stuid  JOIN pets ON has_pet.petid = pets.petid  WHERE pets.pettype = 'cat' AND pets.pet_age = 3
SELECT student.lname  FROM student  JOIN has_pet ON student.stuid = has_pet.stuid  JOIN pets ON has_pet.petid = pets.petid  WHERE pets.pettype = 'cat' AND pets.pet_age = 3
SELECT student.lname  FROM student  JOIN has_pet ON student.stuid = has_pet.stuid  JOIN pets ON has_pet.petid = pets.petid  WHERE pets.pettype = 'cat' AND pets.pet_age = 3",SELECT student.lname  FROM student  JOIN has_pet ON student.stuid = has_pet.stuid  JOIN pets ON has_pet.petid = pets.petid  WHERE pets.pettype = 'cat' AND pets.pet_age = 3
9,331,Which template type code has most number of templates?,cre_Doc_Template_Mgt,hard,SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1,7,"SELECT template_type_code, COUNT(*) as template_count FROM templates GROUP BY template_type_code ORDER BY template_count DESC LIMIT 1
SELECT template_type_code, COUNT(*) as template_count FROM templates GROUP BY template_type_code ORDER BY template_count DESC LIMIT 1
SELECT template_type_code, COUNT(*) as template_count FROM templates GROUP BY template_type_code ORDER BY template_count DESC LIMIT 1
SELECT template_type_code, COUNT(*) as template_count FROM templates GROUP BY template_type_code ORDER BY template_count DESC LIMIT 1
SELECT template_type_code, COUNT(*) as template_count FROM templates GROUP BY template_type_code ORDER BY template_count DESC LIMIT 1
SELECT template_type_code, COUNT(*) as template_count FROM templates GROUP BY template_type_code ORDER BY template_count DESC LIMIT 1
SELECT template_type_code, COUNT(*) as template_count FROM templates GROUP BY template_type_code ORDER BY template_count DESC LIMIT 1","SELECT template_type_code, COUNT(*) as template_count FROM templates GROUP BY template_type_code ORDER BY template_count DESC LIMIT 1"
10,795,How many cities in each district have a population that is above the average population across all cities?,world_1,extra,"SELECT count(*) ,  District FROM city WHERE Population  >  (SELECT avg(Population) FROM city) GROUP BY District",7,"SELECT district, COUNT(name) AS num_cities FROM city WHERE population > (SELECT AVG(population) FROM city) GROUP BY district
SELECT district, COUNT(name) AS num_cities FROM city WHERE population > (SELECT AVG(population) FROM city) GROUP BY district
SELECT district, COUNT(name) AS num_cities FROM city WHERE population > (SELECT AVG(population) FROM city) GROUP BY district
SELECT district, COUNT(name) AS num_cities FROM city WHERE population > (SELECT AVG(population) FROM city) GROUP BY district
SELECT district, COUNT(*) as num_cities FROM city WHERE population > (SELECT AVG(population) FROM city) GROUP BY district
SELECT district, COUNT(*) as num_cities_above_avg_population FROM city WHERE population > (SELECT AVG(population) FROM city) GROUP BY district
SELECT district, COUNT(name) AS num_cities FROM city WHERE population > (SELECT AVG(population) FROM city) GROUP BY district","SELECT district, COUNT(name) AS num_cities FROM city WHERE population > (SELECT AVG(population) FROM city) GROUP BY district"
