Unnamed: 0,Qid,Question,Db_Id,hardness,Query Gold,Repeated,Query Generated,Most Frequent Query,Exact Match,Execution Accuracy
0,550,What are the last name of the students who live in North Carolina but have not registered in any degree programs?,student_transcripts_tracking,extra,SELECT T1.last_name FROM Students AS T1 JOIN Addresses AS T2 ON T1.current_address_id  =  T2.address_id WHERE T2.state_province_county  =  'NorthCarolina' EXCEPT SELECT DISTINCT T3.last_name FROM Students AS T3 JOIN Student_Enrolment AS T4 ON T3.student_id  =  T4.student_id,7,"SELECT s.last_name FROM students s JOIN addresses a ON s.current_address_id = a.address_id WHERE a.state_province_county = 'North Carolina' AND s.student_id NOT IN (     SELECT se.student_id     FROM student_enrolment se     JOIN degree_programs dp ON se.
SELECT s.last_name FROM students s JOIN addresses a ON s.current_address_id = a.address_id WHERE a.state_province_county = 'North Carolina' AND s.student_id NOT IN (     SELECT se.student_id     FROM student_enrolment se     JOIN degree_programs dp ON se.
SELECT s.last_name FROM students s JOIN addresses a ON s.current_address_id = a.address_id WHERE a.state_province_county = 'North Carolina' AND s.student_id NOT IN (     SELECT se.student_id     FROM student_enrolment se     JOIN degree_programs dp ON se.
SELECT s.last_name FROM students s JOIN addresses a ON s.current_address_id = a.address_id WHERE a.state_province_county = 'North Carolina' AND s.student_id NOT IN (     SELECT se.student_id     FROM student_enrolment se     JOIN degree_programs dp ON se
SELECT s.last_name FROM students s JOIN addresses a ON s.current_address_id = a.address_id WHERE a.state_province_county = 'North Carolina' AND s.student_id NOT IN (     SELECT se.student_id     FROM student_enrolment se     JOIN degree_programs dp ON se.
SELECT s.last_name FROM students s JOIN addresses a ON s.current_address_id = a.address_id WHERE a.state_province_county = 'North Carolina' AND s.student_id NOT IN (     SELECT se.student_id     FROM student_enrolment se     JOIN degree_programs dp ON se.
SELECT s.last_name FROM students s JOIN addresses a ON s.current_address_id = a.address_id WHERE a.state_province_county = 'North Carolina' AND s.student_id NOT IN (     SELECT se.student_id     FROM student_enrolment se     JOIN degree_programs dp ON se.",SELECT s.last_name FROM students s JOIN addresses a ON s.current_address_id = a.address_id WHERE a.state_province_county = 'North Carolina' AND s.student_id NOT IN (     SELECT se.student_id     FROM student_enrolment se     JOIN degree_programs dp ON se.,0.0,0.0
1,976,How much does the most recent treatment cost?,dog_kennels,medium,SELECT cost_of_treatment FROM Treatments ORDER BY date_of_treatment DESC LIMIT 1,7,"SELECT MAX(cost_of_treatment) FROM treatments
SELECT MAX(cost_of_treatment) FROM treatments
SELECT MAX(cost_of_treatment) FROM treatments
SELECT MAX(cost_of_treatment) FROM treatments
SELECT MAX(cost_of_treatment) FROM treatments
SELECT MAX(cost_of_treatment) FROM treatments
SELECT MAX(cost_of_treatment) FROM treatments",SELECT MAX(cost_of_treatment) FROM treatments,0.0,0.0
2,499,What are the ids and names of the battles that led to more than 10 people killed in total.,battle_death,hard,"SELECT T1.id ,  T1.name FROM battle AS T1 JOIN ship AS T2 ON T1.id  =  T2.lost_in_battle JOIN death AS T3 ON T2.id  =  T3.caused_by_ship_id GROUP BY T1.id HAVING sum(T3.killed)  >  10",7,"SELECT id, name FROM battle WHERE killed > 10
SELECT id, name FROM battle WHERE killed > 10
SELECT id, name FROM battle WHERE killed > 10
SELECT id, name FROM battle WHERE killed > 10
SELECT id, name FROM battle WHERE killed > 10
SELECT id, name FROM battle WHERE killed > 10
SELECT id, name FROM battle WHERE killed > 10","SELECT id, name FROM battle WHERE killed > 10",0.0,0.0
3,238,Which airlines have departing flights from both APG and CVO airports?,flight_2,extra,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG"" INTERSECT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO""",7,"SELECT DISTINCT f.airline FROM flights f JOIN airports a1 ON f.sourceairport = a1.airportcode AND a1.airportname = 'APG' JOIN airports a2 ON f.sourceairport = a2.airportcode AND a2.airportname = 'CVO' WHERE f.destairport IS NOT NULL
SELECT DISTINCT f.airline FROM flights f JOIN airports a1 ON f.sourceairport = a1.airportcode AND a1.airportname = 'APG' JOIN airports a2 ON f.sourceairport = a2.airportcode AND a2.airportname = 'CVO' WHERE f.destairport IS NOT NULL
SELECT DISTINCT f.airline FROM flights f JOIN airports a1 ON f.sourceairport = a1.airportcode AND a1.airportname = 'APG' JOIN airports a2 ON f.sourceairport = a2.airportcode AND a2.airportname = 'CVO' WHERE f.destairport IS NOT NULL
SELECT DISTINCT f.airline FROM flights f JOIN airports a1 ON f.sourceairport = a1.airportcode AND a1.airportname IN ('APG', 'CVO') JOIN airports a2 ON f.destairport = a2.airportcode AND a2.airportname IN ('APG', 'CVO') WHERE f.sourceairport IN (SELECT airportcode FROM airports WHERE airportname IN ('APG', 'CVO')) AND f.destairport IN (SELECT airportcode FROM airports WHERE airportname IN ('APG', 'CVO')) 
SELECT DISTINCT f.airline FROM flights f JOIN airports a1 ON f.sourceairport = a1.airportcode AND a1.airportname IN ('APG', 'CVO') JOIN airports a2 ON f.destairport = a2.airportcode AND a2.airportname IN ('APG', 'CVO') WHERE f.sourceairport IN (SELECT airportcode FROM airports WHERE airportname IN ('APG', 'CVO')) AND f.destairport IN (SELECT airportcode FROM airports WHERE airportname IN ('APG', 'CVO')) 
SELECT DISTINCT f.airline FROM flights f JOIN airports a1 ON f.sourceairport = a1.airportcode AND a1.airportname = 'APG' JOIN airports a2 ON f.sourceairport = a2.airportcode AND a2.airportname = 'CVO' WHERE f.destairport IS NOT NULL
SELECT DISTINCT f.airline FROM flights f JOIN airports a1 ON f.sourceairport = a1.airportcode AND a1.airportname = 'APG' JOIN airports a2 ON f.sourceairport = a2.airportcode AND a2.airportname = 'CVO' WHERE f.destairport IS NOT NULL",SELECT DISTINCT f.airline FROM flights f JOIN airports a1 ON f.sourceairport = a1.airportcode AND a1.airportname = 'APG' JOIN airports a2 ON f.sourceairport = a2.airportcode AND a2.airportname = 'CVO' WHERE f.destairport IS NOT NULL,0.0,1.0
4,445,Find the name of tourney that has more than 10 matches.,wta_1,easy,SELECT tourney_name FROM matches GROUP BY tourney_name HAVING count(*)  >  10,7,"SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(match_num) > 10
SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(match_num) > 10
SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(match_num) > 10
SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(match_num) > 10
SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(match_num) > 10
SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(match_num) > 10
SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(match_num) > 10",SELECT tourney_name FROM matches GROUP BY tourney_name HAVING COUNT(match_num) > 10,0.0,1.0
5,844,Show the name of the conductor that has conducted the most number of orchestras.,orchestra,extra,SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID ORDER BY COUNT(*) DESC LIMIT 1,7,"SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY COUNT(o.orchestra_id) DESC LIMIT 1
SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY COUNT(o.orchestra_id) DESC LIMIT 1
SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY COUNT(o.orchestra_id) DESC LIMIT 1
SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY COUNT(o.orchestra_id) DESC LIMIT 1
SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY COUNT(o.orchestra_id) DESC LIMIT 1
SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY COUNT(o.orchestra_id) DESC LIMIT 1
SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY COUNT(o.orchestra_id) DESC LIMIT 1",SELECT c.name FROM conductor c JOIN orchestra o ON c.conductor_id = o.conductor_id GROUP BY c.conductor_id ORDER BY COUNT(o.orchestra_id) DESC LIMIT 1,0.0,1.0
6,205,How many flights have destination ATO?,flight_2,easy,"SELECT count(*) FROM FLIGHTS WHERE DestAirport  =  ""ATO""",7,"SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'
SELECT COUNT(*) FROM flights WHERE destairport = 'ATO'",SELECT COUNT(*) FROM flights WHERE destairport = 'ATO',True,1.0
7,427,Find the number of visitors who did not visit any museum opened after 2010.,museum_visit,extra,SELECT count(*) FROM visitor WHERE id NOT IN (SELECT t2.visitor_id FROM museum AS t1 JOIN visit AS t2 ON t1.Museum_ID  =  t2.Museum_ID WHERE t1.open_year  >  2010),7,"SELECT COUNT(DISTINCT visitor.id) FROM visitor LEFT JOIN visit ON visitor.id = visit.visitor_id LEFT JOIN museum ON visit.museum_id = museum.museum_id WHERE museum.open_year <= 2010 OR visit.museum_id IS NULL
SELECT COUNT(DISTINCT visitor.id)  FROM visitor  LEFT JOIN visit ON visitor.id = visit.visitor_id  LEFT JOIN museum ON visit.museum_id = museum.museum_id  WHERE museum.open_year <= 2010 OR visit.museum_id IS NULL
SELECT COUNT(DISTINCT visitor.id) FROM visitor LEFT JOIN visit ON visitor.id = visit.visitor_id LEFT JOIN museum ON visit.museum_id = museum.museum_id WHERE museum.open_year <= 2010 OR visit.museum_id IS NULL
SELECT COUNT(DISTINCT visitor.id) FROM visitor LEFT JOIN visit ON visitor.id = visit.visitor_id LEFT JOIN museum ON visit.museum_id = museum.museum_id WHERE museum.open_year <= 2010 OR visit.museum_id IS NULL
SELECT COUNT(DISTINCT visitor.id) FROM visitor LEFT JOIN visit ON visitor.id = visit.visitor_id LEFT JOIN museum ON visit.museum_id = museum.museum_id WHERE museum.open_year <= 2010 OR visit.museum_id IS NULL
SELECT COUNT(DISTINCT visitor.id) FROM visitor LEFT JOIN visit ON visitor.id = visit.visitor_id LEFT JOIN museum ON visit.museum_id = museum.museum_id WHERE museum.open_year <= 2010 OR visit.museum_id IS NULL
SELECT COUNT(DISTINCT visitor.id) FROM visitor LEFT JOIN visit ON visitor.id = visit.visitor_id LEFT JOIN museum ON visit.museum_id = museum.museum_id WHERE museum.open_year <= 2010 OR visit.museum_id IS NULL",SELECT COUNT(DISTINCT visitor.id) FROM visitor LEFT JOIN visit ON visitor.id = visit.visitor_id LEFT JOIN museum ON visit.museum_id = museum.museum_id WHERE museum.open_year <= 2010 OR visit.museum_id IS NULL,0,0.0
8,919,Find the states where both owners and professionals live.,dog_kennels,hard,SELECT state FROM Owners INTERSECT SELECT state FROM Professionals,7,"SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state WHERE p.state IS NOT NULL AND o.state IS NOT NULL
SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state WHERE p.state IS NOT NULL AND o.state IS NOT NULL
SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state ORDER BY p.state
SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state ORDER BY p.state
SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state ORDER BY p.state
SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state
SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state WHERE p.state IS NOT NULL AND o.state IS NOT NULL",SELECT DISTINCT p.state FROM professionals p JOIN owners o ON p.state = o.state WHERE p.state IS NOT NULL AND o.state IS NOT NULL,0,1.0
9,71,Find the average and maximum age for each type of pet.,pets_1,medium,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",7,"SELECT pettype, AVG(pet_age) AS average_age, MAX(pet_age) AS maximum_age FROM pets GROUP BY pettype
SELECT pettype, AVG(pet_age) AS average_age, MAX(pet_age) AS maximum_age FROM pets GROUP BY pettype
SELECT pettype, AVG(pet_age) AS average_age, MAX(pet_age) AS maximum_age FROM pets GROUP BY pettype
SELECT pettype, AVG(pet_age) AS average_age, MAX(pet_age) AS maximum_age FROM pets GROUP BY pettype
SELECT pettype, AVG(pet_age) AS average_age, MAX(pet_age) AS maximum_age FROM pets GROUP BY pettype
SELECT pettype, AVG(pet_age) AS average_age, MAX(pet_age) AS maximum_age FROM pets GROUP BY pettype
SELECT pettype, AVG(pet_age) AS average_age, MAX(pet_age) AS maximum_age FROM pets GROUP BY pettype","SELECT pettype, AVG(pet_age) AS average_age, MAX(pet_age) AS maximum_age FROM pets GROUP BY pettype",0,0.0
